Product Name,Price,Quantity Available,Specifications
Խարտոց ալմազային 250մմ YATO YT-76080,3450,2,"Երկարություն` - 250 մմ., Աշխատանքային երկարություն` - 150 մմ․, Չափս` - G240, G400"
Դուրի հավաքածո փայտագործի համար 6կտ VOREL 25700,1800,2,"Երկարություն` - 160 մմ․, Քանակ` - 6 կտոր"
Խարտոց փայտի կիսակլոր 250մմ YATO YT-6220,2100,4,Երկարություն` - 250 մմ․
Ստեպլեր պլասTip-53 MIRAX 3142,2700,1,Սկոբի չափս` - 4-8 մմ․
Ստեպլեր Tip-53 4-14mm MIRAX 3144,6200,2,Սկոբի չափս` - 4-14 մմ․
Դուրի հավաքածու DEXX 1834-H11,7600,1,Քանակ` - 11 կտոր
Փայտագործի հավաքածու STAYER 1832-H6,7650,1,"Կտրիչի երկարություն` - 165 մմ., Քանակ` - 6 կտոր"
Ստեպլեր 4-14մմ VOREL 71050,2700,2,Սկոբի հաստություն` - 4 - 14 մմ.
Սկոբի հանիչ VOREL 71160,1650,2,
Ստեպլեր հարվածով 6-10մմ VOREL 71080,5600,2,"Երկարություն` - 300 մմ., Սկոբի չափսեր` - 6-10 մմ"
Խարտոց քառակուսի BERENT BT7116,1200,4,
Դուր հատով BERENT BT3056,1200,3,
Խարտոց YATO YG-02214,2900,2,"Ընդհանուր երկարություն` - 320 մմ., Խարտոցի երկարություն` - 200 մմ."
Խարտոց YATO YG-02213,1150,1,"Ընդհանուր երկարություն` - 325 մմ․, Խարտոցի երկարություն` - 205 մմ․"
Սկոբի հանիչ YATO YT-7011,3300,3,
Ստեպլեր VOREL 71052,2990,3,Սկոբի հաստություն` - 4 - 14 մմ.
Խարտոց տափակ 250մմ YATO YT-6219,2000,3,Երկարություն` - 250մմ
"Խարտոց բռնակով՝ կլոր, BERENT BT7120",1050,3,
Կարիչ YATO YT-7005,8850,2,
"Խարտոց բռնակով՝ կիսակլոր, BERENT BT7108",1550,4,
"Խարտոց եռանկյուն՝ 310 մմ․, BERENT BT7112",1250,3,
"Դուր՝ փայտե պոչով, 38 մմ․, YATO YT-62828",1700,2,
"Դուր՝ փայտե պոչով, 32 մմ․, YATO YT-62827",1400,3,
"Դուր՝ փայտե պոչով, 25 մմ․, YATO YT-62826",1480,3,
"Դուր՝ փայտե պոչով,19 մմ․, YATO YT-62825",1300,2,
