Product Name,Price,Quantity Available,Specifications
Գիպսաստվարաթղթի ռանդա 250*40մմ VOREL 25310,2950,2,"Աշխատանքային մասի հումք` - պողպատ 65mn, Աշխատանքային լայնություն` - 40 մմ․, Աշխատանքային երկարություն` - 250 մմ․"
Սպունգ հղկաթուղթ գունավոր մետաղները մաքրելու համար YATO YT-63740,200,19,"Չափսեր` - 75x130 մմ․, Հաստություն` - 8 ± 1 մմ․, Հումք` - նեյլոն, սիլիցիումի կարբիդ, Աշխատանքային տեսակ` - թաց և չոր, Քանակ` - 10 հատ"
Խոզանակ խողովակների ներքին և արտաքին մաքրման համար YATO YT-63705,1500,2,"Խողովակի ներքին և արտաքին տրամագիծ` - 15, 22 մմ․, Հումք` - չժանգոտվող պողպատ / PVC"
Խոզանակ խողովակների ներքին մաքրման համար 22մմ YATO YT-63703,650,2,"Խողովակի ներքին տրամագիծ` - 22 մմ․, Հումք` - չժանգոտվող պողպատ / PVC"
Խոզանակ խողովակների ներքին մաքրման համար 15մմ YATO YT-63701,650,2,"Խողովակի ներքին տրամագիծ` - 15 մմ․, Հումք` - չժանգոտվող պողպատ / PVC"
Գիպսաստվարաթղթի ռանդա 60մմ VOREL 25300,850,2,"Լայնություն` - 40 մմ․, Երկարություն` - 60 մմ․, Աշխատանքային մասի հումք` - պողպատ 65Mn"
Հղկաթուղթ մետրով N80 Klingspor LS312,1990,43.05,"Տեսակ` - N80, Լայնություն` - 115 մմ․"
Հղկաթուղթ մետրով N60 Klingspor LS312,1990,19.43,"Տեսակ` - N60, Լայնություն` - 115 մմ․"
Հղկաթուղթ մետրով N220 Klingspor LS312,1990,51.97,"Տեսակ` - N220, Լայնություն` - 115 մմ․"
Հղկաթուղթ մետրով N180 Klingspor LS312,1990,23.93,"Տեսակ` - N180, Լայնություն` - 115 մմ․"
Հղկաթուղթ մետրով N150 Klingspor LS312,1990,70.562,"Տեսակ` - N150, Լայնություն` - 115 մմ․"
Հղկաթուղթ մետրով N120 Klingspor,1990,53.75,"Տեսակ` - N120, Լայնություն` - 115 մմ․"
Հղկաթուղթ մետրով N100 Klingspor LS312,1990,45.3,"Լայնություն` - 115 մմ․, Տեսակ` - N100"
Հղկաթուղթ KLINGSPOR N60,220,53,"Չափսեր` - 230x280 մմ․, Տեսակ` - N60"
Հղկաթուղթ KLINGSPOR N2000,220,77,"Չափսեր` - 230x280 մմ․, Տեսակ` - N2000"
Հղկաթուղթ KLINGSPOR N2500,220,60,"Չափսեր` - 230x280 մմ․, Տեսակ` - N2500"
Հղկաթուղթ KLINGSPOR N800,220,21,"Չափսեր` - 230x280 մմ․, Տեսակ` - N800"
Հղկաթուղթ KLINGSPOR N500,220,41,"Չափսեր` - 230x280 մմ․, Տեսակ` - N500"
Հղկաթուղթ KLINGSPOR N400,220,55,"Չափսեր` - 230x280 մմ․, Տեսակ` - N400"
Հղկաթուղթ KLINGSPOR N360,220,27,"Չափսեր` - 230x280 մմ․, Տեսակ` - N360"
Հղկաթուղթ KLINGSPOR N220,220,34,"Չափսեր` - 230x280 մմ․, Տեսակ` - N220"
Հղկաթուղթ KLINGSPOR N1500,220,51,"Չափսեր` - 230x280 մմ․, Տեսակ` - N1500"
Հղկաթուղթ KLINGSPOR N150,220,13,"Չափսեր` - 230x280 մմ․, Տեսակ` - N150"
Հղկաթուղթ KLINGSPOR N1200,220,35,"Չափսեր` - 230x280 մմ․, Տեսակ` - N1200"
Հղկաթուղթ KLINGSPOR N1000,220,34,"Չափսեր` - 230x280 մմ․, Տեսակ` - N1000"
Հղկող սպունգ թեք N80 Atlas,600,37,"Չափսեր` - 122x86x25 մմ․, Տեսակ` - N80"
Հղկող սպունգ թեք N60 Atlas,600,59,"Չափսեր` - 122x86x25 մմ․, Տեսակ` - N60"
Հղկող սպունգ թեք N40 Atlas,600,61,"Չափսեր` - 122x86x25 մմ․, Տեսակ` - N40"
Հղկող սպունգ թեք N220 Atlas,600,44,"Չափսեր` - 122x86x25 մմ․, Տեսակ` - N220"
Հղկող սպունգ թեք N120 Atlas,600,3,"Չափսեր` - 122x86x25 մմ․, Տեսակ` - N120"
Հղկող սպունգ թեք N100 Atlas,600,53,"Չափսեր` - 122x86x25 մմ․, Տեսակ` - N100"
Հղկող սպունգ բարակ N80 Atlas,250,50,Տեսակ` - N80
Հղկող սպունգ բարակ N60 Atlas,250,53,Չափսեր` - N60
Հղկող սպունգ բարակ N180 Atlas,250,60,Տեսակ` - N180
Հղկող սպունգ բարակ N150 Atlas,250,60,Տեսակ` - N150
Հղկող սպունգ N80 Atlas,250,43,Տեսակ` - N80
Հղկող սպունգ N60 Atlas,250,115,Տեսակ` - N60
Հղկող սպունգ N220 Atlas,250,137,Տեսակ` - N220
Հղկող սպունգ N180 Atlas,250,69,Տեսակ` - N180
Հղկող սպունգ N150 Atlas,250,46,Տեսակ` - N150
Հղկող սպունգ N120 Atlas,250,79,Տեսակ` - N120
Հղկող սպունգ N100 Atlas,250,43,Տեսակ` - N100
Հղկող սպունգ N40 Atlas,250,54,Տեսակ` - N40
Հղկաթղթի կպչուն հիմք VOREL 07957,1200,2,Չափսեր` - 150x85 մմ․
Հղկաթղթի կպչուն հիմք 150մմ VOREL 07956,1200,2,Տրամագիծ` - 150 մմ․
Հղկաթղթի կպչուն հիմք 125մմ VOREL 07955,950,4,Տրամագիծ` - 125 մմ․
