Product Name,Price,Quantity Available,Specifications
Հարթաշուրթ փոքր BERENT BT1072,1150,2,Երկարություն` - 5''/125 մմ․
ժիմոկ արագասեղմ 200մմ YATO YT-64312,2100,3,"Առավելագույն չափը սեղմելիս` - 200 մմ․, Խորություն` - 85 մմ․"
tessst,1,9,test` - 1
Մալուխի վերջույթները սեղմող գործիք 0.2-6մմ YATO YT-2240,21250,1,"Երկարություն` - 180 մմ․, Մալուխի հաստություն` - 0,2-6 մմ․"
Ժիմոկ 750մմ YATO YT-64284,7350,2,Երկարություն` - 750 մմ․
Ժիմոկ 450մմ YATO YT-64314,2750,2,Երկարություն` - 450 մմ
Ժիմոկ 600մմ YATO YT-64315,3100,2,Երկարություն` - 600 մմ․
Ժիմոկ 750մմ YATO YT-64316,3800,2,Երկարություն` - 750 մմ․
Մամլակ 150մմ MIRAX 32471-15,49900,1,Լայնություն` - 150 մմ․
Հարթաշուրթ 180մմ MIRAX 22036-1-18,1550,4,Երկարություն` - 180 մմ․
Մամլակ 75մմ MIRAX 32474-70,4150,2,"Ծնոտների լայնություն` - 75 մմ., Ծնոտի առավելագույն հեռավորություն` - 35 մմ․, Հումք` - չուգուն / պողպատ"
Մամլակ 60մմ MIRAX 32474-60,3650,2,"Ծնոտների լայնություն` - 60 մմ․, Ծնոտի առավելագույն հեռավորություն` - 30 մմ., Հումք` - չուգուն / պողպատ"
Մամլակ 50մմ MIRAX 32474-50,3250,1,"Ծնոտների լայնություն` - 50 մմ., Ծնոտի առավելագույն հեռավորություն` - 30 մմ., Հումք` - չուգուն / պողպատ"
Հարթաշուրթ N7/175մմ BERENT BT1011,2500,7,"Երկարություն` - N7"" / 175 մմ․"
Ժիմոկ STAYER 3215-200,2750,2,"Երկարություն` - 200 մմ., Հումք` - պողպատ"
Հարթաշուրթ / պլասկակուպցի N8 BERENT BT1600,3100,2,Չափս` - N8
Հարթաշուրթ / պլասկակուպցի N6 BERENT BT1601,2600,4,Չափս` - N6
Հարթաշուրթ/պլասկակուպցի 4.5''-115մմ YATO YT-6613,1500,2,"Չափս` - 4,5"" (115 մմ)"
Ժիմոկ 300մմ YATO YT-64313,2150,3,"Երկարություն` - 300 մմ., Խորություն` - 63 մմ․"
Տիսկի 5՝՝-125մմ YATO YT-6506,75600,1,"Ծնոտների միջև հեռավորություն` - 125 մմ., Ծնոտների լայնություն` - 5"" (125 մմ), Ճնշման ուժ` - 15 կՆ, Ծնոտի կարծրություն` - 45-52 HRc, Քաշ` - 20 կգ․"
Տիսկի 4՝՝-100մմ YATO YT-6505,41600,1,"Ծնոտների միջև հեռավորություն` - 100 մմ., Ծնոտների լայնություն` - 4"" (100 մմ), Ճնշման ուժ` - 10 կՆ, Ծնոտի կարծրություն` - 45-52 HRc, Քաշ` - 10 կգ․"
Կլորաշուրթ / կռուգլակուպցի 6՝՝-150մմ YATO YT-1956,2850,2,"Երկարություն` - 150 մմ., Կտրման տրամագիծ պղնձի համար` - 2,6 մմ․, Կտրման տրամագիծ պողպատի համար` - 1,5 մմ․"
Ժիմոկ ալյումինի ռեյկով 900մմ VOREL 38642,7450,2,Երկարություն` - 900 մմ.
Ժիմոկ `C` 2'' YATO YT-64183,1200,2,"Սեղմիչների միջև հեռավորություն` - 50 մմ., Խորություն` - 45 մմ․"
Ժիմոկ `C` 3'' YATO YT-64184,2150,3,"Սեղմիչների միջև հեռավորություն` - 75 մմ., Խորություն` - 70 մմ․"
Ժիմոկ ժապավենով 7մ KRAFTOOL 32207-2,17900,4,"Ռեմենի երկարություն` - 7 մ․, Կորպուս` - մետաղյա, Ժապավեն` - մետաղյա"
Ժիմոկ արագ ֆիքսվող KRAFTOOL 32019-120-300,21500,4,"Երկարություն` - 300 մմ., Խորություն` - 120 մմ․, Հումք` - պողպատ և պլաստիկ"
Ժիմոկ արագ ֆիքսվող KRAFTOOL 32019-080-200,17800,2,"Երկարություն` - 200 մմ., Խորություն` - 80 մմ․, Հումք` - պողպատ և պլաստիկ"
Ժիմոկ ռեմենով 4մ KRAFTOOL 32207-1,7900,3,"Ռեմենի երկարություն` - 4 մ., Կորպուս` - պլաստիկ, Ժապավեն` - նեյլոն"
"Խողովակը ծռելու գործիք 12, 15, 22 մմ KRAFTOOL 23503-H4",36800,1,"Խողովակների տրամագիծ` - 12, 15, 22 մմ․, Ճկման անկյուն` - մինչև 180˚"
Տափակաբերան աքցան լայն եզր թեք 45° YATO YT-5140,7500,1,"Երկարություն` - 210 մմ., Տափակաբերանի եզրի չափսեր` - 80x35 մմ"
Լատունե խողովակը թեքելու գործիք 14մմ YATO YT-21843,11500,1,"Խողովակների տրամագիծը` - 9/16"" (14 մմ), Աշխատանքային անկյուն` - 180˚"
Ստրուբցինա YATO YT-64293,8900,2,Երկարություն` - 600 մմ․
Սյոմնիկ պաչևնիկների թաթիկները ներսից 12-82մմ YATO YT-2510,9800,1,Տրամագիծ` - 13-38 մմ
Լատունե խողովակը թեքելու գործիք 12մմ YATO YT-21842,8500,1,"Խողովակների տրամագիծը` - 15/32"" (12 մմ), Աշխատանքային անկյուն` - 180˚"
