Product Name,Price,Quantity Available,Specifications
Պտուտակահան փոխարինելի գլխադիրով 7 կտ YATO YT-27953,3300,1,
Պտուտակահան փոխարինելի գլխադիրով 13կտ YATO YT-27951,6350,2,Քանակ` - 13 կտոր
Պտուտակահան փոխարինելի գլխադիրով 7կտ YATO YT-27950,2150,3,"Չափս` - 1/4 "" (6,3 մմ․), Երկարություն` - 25 մմ․"
Պտուտակահան փոխարինելի գլխադիրով ճկուն 31կտ YATO YT-2780,5150,1,"Պտուտակահան երկարացված ծայրով` - 215 մմ․, Պտուտակահանի բիթեր` - 1/4 "" (5 մմ, 6 մմ, 7 մմ, 8 մմ x 2 հատ, 9 մմ, 10 մմ, 11 մմ, 12 մմ, 13 մմ․), Պտուտակային բիթեր հարթ` - 3 մմ, 3.5 մմ, 4.0 մմ, 5.5 մմ, 6.5 մմ, Ադապտոր` - 1/4"" վեցանկյունով, Քանակ` - 31 կտոր"
Պտուտակահան TEVTON 8-25042-0-15,250,3,Չափսեր` - PH0х100 մմ․
Պտուտակահան TORX 15*80 KRAFTOOL 250077-15-080,1350,3,"Տեսակ` - TORX, Գլխիկի տրամագիծ` - 15 մմ․, Ընդհանուր երկարություն` - 213 մմ․, Բռնակի երկարություն` - 88 մմ․, Հումք` - Cr-Mo պողպատ / պլաստիկ"
Ատվյորկա TORX 25*100 KRAFTOOL 250077-25-100,1500,3,"Տեսակ` - TORX, Գլխիկի տրամագիծ` - 25 մմ․, Ընդհանուր երկարություն` - 240 մմ., Բռնակի երկարություն` - 108 մմ․, Հումք` - Cr-Mo պողպատ / պլաստիկ"
Պտուտակահան TORX 30*100 KRAFTOOL 250077-30-100,1550,3,"Տեսակ` - TORX, Գլխիկի տրամագիծ` - 30 մմ., Ընդհանուր երկարություն` - 240 մմ., Բռնակի երկարություն` - 108 մմ․, Հումք` - Cr-Mo պողպատ / պլաստիկ"
Պտուտակահան փոխարինելի գլխադիրով KRAFTOՕL 26161-H13,3400,4,"Հումք` - Cr-Mo պողպատ, Բիթի տեսակներ` - PZ1/PZ2, PZ2/PZ3, PH1/PH2, H3/H4, T15/T20, SL4/SL5.5, Բիթի նստեցման չափս` - 1/4"", Հավաքածուի կտորների քանակ` - 7 կտոր"
Դիէլեկտրիկ պտուտակահանի հավաքածու 7կտ-1000Վ YATO YT-2828,5950,2,"Տեսակ` - դիէլեկտրիկ, Կարծրություն` - 56-60 ԲՈՀ, Լարում` - 1000 Վ, Քանակ` - 7 կտոր"
Պտուտակահան փոխարինելի գլխադիրով 4 կտ VOREL 64654,1650,3,
Պտուտակահանի հավաքածու հեռախ համար 6կտ KRAFTOOL 25679,6100,4,"Երկարություն` - 100 մմ., Գլխիկի չափսեր` - PH0, PH00, SL1.0, SL1.2, SL1.8, SL2.4 , Քանակ` - 6 կտոր"
Պտուտակահան փոխարինելի գլխադիրով 28կտ KRAFTOOL 25677,5900,4,"Բիթերի տեսակներ` - PH, SL, PL, HEX, Torx, Y, Բիթերի քանակ` - 28 հատ, բիթերի հումք` - պողպատ, Բռնակի հումք` - պլաստիկ"
