Product Name,Price,Quantity Available,Specifications
Սկոբ ստեպլեռի N10 BERENT BT9232,500,4,"Չափս` - 10 մմ., Քանակ` - 1000 հատ"
Սկոբ ZUBR 31625-14,650,5,Չափս` - 14 մմ․
Սկոբ կլոր ZUBR 31612-14,2990,35,"Չափս` - 14 մմ․, Քանակ` - 1000 հատ"
"Ստեպլեր լիցքավորվող 3,6Վ BERENT BT9834",18650,1,"Հզորություն` - 3,6 Վ / 1,3 Ահ, Մարտկոցի տեսակ` - Li-ion, Սկոբի տեսակ` - T-տիպ"
Ատրճանակ փրփուրի VOREL 09172,3750,3,
Սկոբ STAYER 3159-12,550,6,"Չափս` - 12 մմ., Քանակ` - 1000 հատ"
Սկոբ STAYER 3159-08,500,16,"Չափս` - 8 մմ․, Քանակ` - 1000 հատ"
Ստեպլեր STAYER 3145-z01,5300,2,Սկոբի չափս` - 4-8 մմ․
Սկոբ STAYER 3159-14,750,8,"Չափս` - 14 մմ․, Քանակ` - 1000 հատ"
Սկոբ STAYER 3159-06,450,2,"Չափս` - 6 մմ․, Քանակ` - 1000 հատ"
Սկոբ STAYER 3159-10,500,6,"Չափսեր` - 10 մմ., Քանակ` - 1000 հատ"
Սկոբ ստեպլեռի N14 YATO YT-70274,500,3,"Երկարություն` - 14 մմ․, Հաստություն` - 1,2 մմ․, Լայնություն` - 11,3 մմ․, Քանակ` - 1000 հատ"
Սկոբ ստեպլեռի N12 YATO YT-70273,470,3,"Երկարություն` - 12 մմ․, Հաստություն` - 1,2, Լայնություն` - 11,3 մմ․, Քանակ` - 1000 հատ"
Սկոբ ստեպլերի N10 YATO YT-70272,430,4,"Երկարություն` - 10 մմ․, Հաստություն` - 1,2 մմ․, Լայնություն` - 11,3 մմ․, Քանակ` - 1000 հատ"
Սկոբ ստեպլերի N6մմ YATO YT-70270,370,4,"Երկարություն` - 6 մմ․, Հաստություն` - 1,2 մմ․, Լայնություն` - 11,3 մմ․, Քանակ` - 1000 հատ"
Սկոբ ստեպլերի N14 VOREL 72140,300,4,"Չափս` - 14 մմ․, Քանակ` - 1000 հատ"
Սկոբ ստեպլերի N10 VOREL 72100,290,5,"Չափս` - 10 մմ., Քանակ` - 1000 հատ"
Սկոբ ստեպլերի N8 VOREL 72080,280,7,"Չափս` - 8 մմ․, Քանակ` - 1000 հատ"
Սկոբ ստեպլերի N6 VOREL 72060,270,7,"Չափս` - 6 մմ․, Քանակ` - 1000 հատ"
Սկոբ ստեպլեռի N8 YATO YT-70271,400,2,"Չափսեր` - N8 (1.2*11.3), Քանակ` - 1000 հատ"
Սկոբ ստեպլերի N14 YATO YT-7026,550,8,"Չափսեր` - N14 (1.2*10.6), Քանակ` - 1000 հատ"
Սկոբ ստեպլերի N12 YATO YT-7025,650,7,"Չափսեր` - N12 (1.2*10.6), Քանակ` - 1000 հատ"
Սկոբ ստեպլերի N8 YATO YT-7023,500,5,"Չափսեր` - N8 (1.2*10.6), Քանակ` - 1000 հատ"
Սկոբ ստեպլերի N6 YATO YT-7022,450,4,"Չափսեր` - N6 (1.2*10.6), Քանակ` - 1000 հատ"
Սկոբ ստեպլերի N12 VOREL 72120,350,5,"Չափս` - 12 մմ., Քանակ` - 1000 հատ"
