Product Name,Price,Quantity Available,Specifications
Հարթաչափ 80սմ-3 կոլբայով YATO YT-3023,5700,1,"Երկարություն` - 800 մմ․, Կոլբաների քանակ` - 3 հատ, Հումք` - բարձրորակ ալյումինե պրոֆիլ, Բռնակ` - առկա է, Հարվածակայուն` - այո"
Քանոն անկյուն 250 - 500 մմ YATO YT-7084,4600,2,"Չափսեր` - 250x500 մմ․, Հումք` - չժանգոտվող պողպատ"
Հարթաչափ 1500մմ-3կոլբա YATO YT-3026,9900,1,"Երկարություն` - 1500 մմ․, Կոլբաների քանակ` - 3 հատ, հարվածակայուն` - այո, Բռնակ` - առկա է"
Հարթաչափ 60սմ-3կոլբա YATO YT-3022,4600,2,"Երկարություն` - 600 մմ․, Կոլբաների քանակ` - 3 հատ, հարվածակայուն` - այո, Բռնակ` - առկա է, Հումք` - ալյումին"
Քանոն գայլիկոնով ծակելու համար 200մմ VOREL 18180,5200,3,Չափսեր` - 200x250 մմ․
Ոտք լազերային հարթաչփի 950-1500մմ YATO YT-30479,26850,1,"Բարձրություն` - 950-1500 մմ․, Մանեկի չափս` - 1/4"" (6,35 մմ․) 5/8"" (15,9 մմ․)"
Մետր երկու կրուչոկով 5մ*19մմ BERENT BT4230,1300,8,"Երկարություն` - 5 մ․, Լայնություն` - 19 մմ․"
Մետր երկու կրուչոկով 3մ*16մմ BERENT BT4229,800,9,"Երկարություն` - 3 մ․, Լայնություն` - 16 մմ․"
Լազերային հարթաչափ (3lines-30m) CROWN CT44023,51000,1,"Ինքնահարթեցման ժամանակ` - մինչև 5 վրկ․, Ինքնահարթեցման միջակայք` - ±3°, Մարտկոցի տեսակ` - Li-Ion, Մարտկոցի լարում` - 3.7 Վ․, Եռոտանու տեղադրման ամրակալ` - 5/8"", Աշխատանքային ջերմաստիճանի միջակայք` - -10°C մինչև +40°C, Պահպանման ջերմաստիճանի միջակայք` - -20°C մինչև +55°C, Չափման ճշգրտություն - ուղղահայաց ճառագայթ` - ±1 մմ․ / 7 մ․, Չափման ճշգրտություն - հորիզոնական ճառագայթ` - ±1 մմ․ / 7 մ․, Աշխատանքային միջակայք` - 30 մ․"
Լազերային մետր հարթաչափով (0.05-80մ)(+-2մմ) CROWN CT44030,19900,1,"Մարտկոցի տեսակ` - 2 x 1,5В ААА, Աշխատանքային ջերմաստիճանի միջակայք` - 0 ... +40 °C, Մեկ չափման ժամանակ` - 0,25 վրկ․, Չափման ճշգրտություն` - ±2 մմ/մ․, Չափման միջակայք` - 0,05-80 մ․, LCD-էկրան` - առկա է, Պահպանման ջերմաստիճանի միջակայք` - -20 ... +65 °C"
Ձողակարկին 125մմ SIBIN 3443,4250,2,Չափման միջակայք` - 150 մմ.
Շլանգ հարթաչափ ջրով 25մ ZUBR 3482-08-25,4700,3,Երկարություն` - 25 մ.
Շլանգ հարթաչափ 20մ ZUBR 3482-08-20,3650,3,"Երկարություն` - 20 մ., Խողովակի տրամագիծ` - 10 մմ․"
Շլանգ հարթաչափի ջրով 15մ ZUBR 3482-08-15,3200,3,"Երկարություն` - 15 մ., Խողովակի տրամագիծ` - 10 մմ․"
Շլանգ հարթաչափի ջրով 10մ ZUBR 3482-08-10,2500,2,"Երկարություն` - 15 մ., Խողովակի տրամագիծ` - 10 մմ․"
Շլանգ հարթաչափի ջրով 7մ ZUBR 3482-08-07,1950,2,"Երկարություն` - 7 մ․, Խողովակի տրամագիծ` - 10 մմ․"
Մետր 2մ ZUBR 34016-2,700,7,"Երկարություն` - 2 մ․, Լայնություն` - 16 մմ․"
Մետր ZUBR 10մ 34016-10,2600,2,"Երկարություն` - 10 մ․, Լայնություն` - 25 մմ․"
Հարթաչափ ZUBR 1075-2.5,19800,2,"Երկարություն` - 2,5 մ․"
Հարթաչափ ZUBR 1075-2.0,15900,1,Երկարություն` - 2 մ․
Տեստեր ունիվերսալ ZUBR 59710,11350,1,"Մետաղների հայտնաբերման խորություն` - 50 մմ., Լարման տակ լարերի հայտնաբերման խորություն` - 50 մմ․, Էլեկտրամագնիսական ճառագայթման որոնում` - այո"
Լազերային հարթաչափ+ոտք 5D BERENT BT4227,42500,1,
Օպտիկական մալուխի անսարքության տեղորոշիչ YATO YT-73098,14150,1,
Մետր 10/25մմ YATO YT-71189,6400,5,"Երկարություն` - 10 մ․, Լայնություն` - 25 մմ․"
Դիզելով շարժիչի կամպռեսիան չապելու գործիք 19կտ YATO YT-73072,16950,1,"Չափման միջակայք` - 0-7 ՄՊա, Չափիչի տրամագիծ` - 75 մմ․, Քանակ` - 19 կտոր"
Դիզելով շարժիչի կամպռեսիան չապելու գործիք YATO YT-7307,24850,1,"Չափման միջակայք` - 0-0,7 ՄՊա, Չափիչի տրամագիծ` - 95 մմ․"
Շարժիչի յուղի կոմպրեսիան չափիչ գործիք YATO YT-73030,9750,1,"Շլանգի երկարություն` - 185 սմ․, Չափման միջակայք` - 0-35 / 0-500 բար / PSI, Չափիչի տրամագիծ` - 80 մմ․, Քանակ` - 12 կտոր"
Մետր 8/25մմ YATO YT-71188,4950,7,"Երկարություն` - 8 մ․, Լայնություն` - 25 մմ․"
Կոմպրեսիոն ճնշման չափիչ գործիք YATO YT-7302,7450,1,"Չափման միջակայք` - 0-0,21 ՄՊա, Չափիչի տրամագիծ` - 70 մմ․, Ադապտորի չափս` - M14, M18"
Ինդիկատոր գրչանման 12-1000վ YATO YT-28320,4250,3,"Մարտկոց` - 2x1.5Վ; AAA, Լարում` - 3 Վ հաստատուն հոսանք, Հաճախականություն` - 50/60 Հց․, Լարման - ինդուկտիվ մեթոդ` - 12-1000 Վ․ փոփոխական հոսանք, Աշխատանքային ջերմաստիճան` - 0~40°C, Երկարություն` - 165 մմ․"
Ինդիկատոր տեստեր պտուտակահանի նման YATO YT-28631,1950,2,"Երկարություն` - 140 մմ., Մարտկոցի տեսակ` - 2х1,5 Վ; LR44, Լարում` - 1.5-9 Վ․ հաստատուն հոսանք, Լարման - ինդուկտիվ մեթոդ` - 70-1000 Վ․ փոփոխական հոսանք, Շարունակականության թեստ` - 0-100 ՄΩ, LED ցուցիչներ` - Այո, Չափված լարման հաճախականություն` - 50-500 Հց․, Լարման - կոնտակտային մեթոդ` - 70-250 Վ․ փոփոխական հոսանք"
