Product Name,Price,Quantity Available,Specifications
Մուրճ ռետինե բռնակով 1000գ BERENT BT3151,3450,3,"Բռնակ` - ռետինե, Քաշ` - 1000 գ․"
Կվալտ 4LB-2կգ YATO YT-45537,5450,1,Երկարություն` - 400 մմ․
Զուբիլ ձեռքի ռեզաինապատ 25-350մմ VOREL 35352,1750,3,"Երկարություն` - 350 մմ․, Լայնություն` - 25 մմ․"
Զուբիլ ռետինե պոչով 25-400մմ VOREL 35353,1900,2,"Երկարություն` - 400 մմ․, Լայնություն` - 25 մմ․"
Զուբիլ ռետինե պոչով 300մմ VOREL 35351,1650,3,"Երկարություն` - 300 մմ․, Լայնություն` - 25 մմ․"
Մուրճ ռիխտովկի 300գր VOREL 33950,1500,3,Գլխիկի տրամագիծ` - 35 մմ․
Կվալտ 5կգ SIBIN 20133-5,8600,2,Քաշ` - 5 կգ․
Կվալտ 4կգ SIBIN 20133-4,10600,5,Քաշ` - 4 կգ․
Կվալտ 3կգ SIBIN 20133-3,8750,2,Քաշ` - 3 կգ․
Կվալտ պողպատից 1կգ SIBIN 20132-1,5950,1,"Երկարություն` - 240 մմ., Քաշ` - 1 կգ․"
"Կվալտ պողպատից 1,5կգ SIBIN 20132-1,5",6600,1,"Երկարություն` - 230 մմ., Քաշ` - 1,5 կգ․"
Կվալտ պողպատից 2կգ SIBIN 20132-2,6950,2,"Երկարություն` - 240 մմ., Քաշ` - 2 կգ․"
Մուրճի բռնակ N3 ZUBR 20299-3,600,9,
Մուրճ 1500գ BERENT BT3152,4350,2,"Բռնակ` - ռետինե, Քաշ` - 1500 գ․"
Կվալտ 10LB YATO YT-45540,12500,2,Երկարություն` - 800 մմ․
Մուրճ կոշկակարի 450գ YATO YT-4525,3400,1,"Ընդհանուր երկարություն` - 335 մմ․, Գլխի երկարություն` - 135 մմ․, Գլխի տրամագիծ` - 30 մմ․, Քաշ` - 450 գ."
Ռեզինե մուրճ 510գ YATO YT-4626,4700,2,"Երկարություն` - 348 մմ․, Գլխի երկարություն` - 110 մմ․, Գլխի տրամագիծ` - 45 մմ․"
Ռեզինե մուրճ 280գ YATO YT-4624,3300,2,"Երկարություն` - 318 մմ․, Գլխի երկարություն` - 94 մմ․, Գլխի տրամագիծ` - 30 մմ․"
Զուբիլ ձեռքի 300*25 մմ YATO YT-47022,2950,3,Չափսեր` - 300*25 մմ
Զուբիլ ձեռքի 250*22 մմ YATO YT-47021,2250,3,Չափսեր` - 250*22 մմ
Զուբիլ ձեռքի 200*20 մմ YATO YT-47020,1700,3,Չափսեր` - 200*20 մմ
Մուրճ 1.5 lb BERENT BT3024,2700,1,
Մուրճ 1 lb BERENT BT3023,2300,6,
"Մուրճ 0,5 lb BERENT BT3022",2000,3,
Զուբիլ ձեռքի BERENT BT3103,800,3,"Չափսեր` - 4*8*125 մմ, Տեսակ` - սուր"
Զուբիլ ձեռքի 12մմ BERENT BT3102,1100,1,
Զուբիլ ձեռքի 10մմ BERENT BT3101,850,2,
Զուբիլ կեռնեռ BERENT BT3107,850,3,"Չափսեր` - 3*8*150 մմ, Տեսակ` - կլոր տափակ"
Զուբիլ կեռնեռ BERENT BT3105,750,2,Չափսեր` - 3*8*115մմ
"Հանիչ զուբիլների՝ պլաստմասսա, 6կտ, YATO YT-0837",3300,1,Հումք` - նեյլոն
"Հանիչ զուբիլների՝ պլաստմասսա, 5կտ, YATO YT-0836",2550,3,Հումք` - նեյլոն
"Զուբիլի հավաքածու՝ 12 կտ․, BERENT BT3110",8250,1,
"Զուբիլ՝ ձեռքի, ռեզաինապատ, BERENT BT3112",2650,5,
"Զուբիլ՝ ձեռքի, ռեզաինապատ, BERENT BT3111",2300,2,
"Զուբիլ՝ ձեռքի, ռեզաինապատ, BERENT BT3114",2750,6,Տեսակ` - սուր
"Զուբիլ՝ ձեռքի, յուրահատուկ YT-4693",900,2,Երկարություն` - 130 մմ․
"Զուբիլ՝ ձեռքի, 16*172մմ, YATO YT-47149",1000,2,"Երկարություն` - 172 մմ․, Չափ` - 16 մմ․"
"Զուբիլ՝ ձեռքի, 10*142մմ, YATO YT-47147",800,3,"Երկարություն` - 142 մմ․, Չափ` - 10 մմ․"
Մուրճ ռեզինե 780գ երկգույն YATO YT-4604,2400,2,"Չափսեր` - 63x117x341 մմ․, Քաշ` - 780 գ․"
Մուրճ ռեզինե 440գ YATO YT-4594,1500,3,
Մուրճ+հարթաշուրթ YATO YT-0643,5500,1,
Մուրճ ռեզինե սպիտակ՝ փայտի պոչ 24oz BERENT BT3244,2400,3,
Մուրճ ռեզինե սպիտակ՝ փայտի պոչ 16oz BERENT BT3243,1900,4,
Մուրճ ռեզինե սպիտակ՝ փայտի պոչ 8oz BERENT BT3242,1150,3,
Մուրճ ռեզինե սև փայտի պոչ 24oz BERENT BT3241,1150,2,
Մուրճ ռեզինե սև փայտի պոչ 16oz BERENT BT3240,1100,3,
Մուրճ ռեզինե սև փայտի պոչ 8oz BERENT BT3239,750,5,
Մուրճ կոշկակարի 500գ BERENT BT3199,2900,3,
Մուրճ կոշկակարի 250գ BERENT BT3198,2000,4,
Մուրճ պոչը ռեզինե 800գ BERENT BT3150,2950,3,
Մուրճ պոչը ռեզինե 500գ BERENT BT3149,2300,4,
Մուրճ պոչը ռեզինե 300գ BERENT BT3148,1850,4,
Մուրճ պոչը ռեզինե 200գ BERENT BT3147,1500,5,
Մուրճ պոչը ռեզինե 100գ BERENT BT3146,1450,3,
Մուրճ ռեզինե սալիկի 24OZ BERENT BT3100,1550,3,
Մուրճ ռեզինե սալիկի 16OZ BERENT BT3099,1200,4,
Մուրճ ռեզինե սալիկի 12OZ BERENT BT3098,900,1,
Մուրճ ռեզինե 35մմ BERENT BT3046,4600,3,
Մուրճ կոշկակարի 500գ փայտե պոչ BERENT BT3011,2200,3,
Մուրճ կոշկակարի 250գ BERENT BT3002,2000,3,
Մուրճ կոշկակարի 500գ BERENT BT3001,2800,4,
Մուրճ 2000գ BERENT BT3127,4950,4,
Մուրճ 1500գ BERENT BT3126,4350,3,
Մուրճ 800գ BERENT BT3124,2700,1,
Մուրճ 500գ BERENT BT3123,1950,4,
Մուրճ 300գ BERENT BT3122,1950,3,
Մուրճ 200գ BERENT BT3121,1400,3,
Մուրճ 100գ BERENT BT3120,1200,2,
Մուրճ 1000գ BERENT BT3125,3300,3,
Կվալտ 800գ BERENT BT3038,2850,2,
Կվալտ 2000գ BERENT BT3041,5550,3,
Կվալտ 1500գ BERENT BT3040,5150,4,
Կվալտ 1000գ BERENT BT3039,3550,3,
