Product Name,Price,Quantity Available,Specifications
Հեղուկ ապակի FARBITEX 1.3կգ 41-9946,990,2,"Քաշ` - 1,3 կգ․, Աշխատանքային ջերմաստիճան` - +50 °С-ից սկսած"
Ներկ դեկորատիվ 1կգ Elf Decor Sahara Silver,6000,5,Քաշ` - 1 կգ․
Մաստիկա բիտումային-ռետինե FARBITEX 2կգ 43-3456,2500,5,Քաշ` - 2 կգ․
Մաստիկա բիտումային-ռետինե FARBITEX 4կգ 43-3457,4950,5,Քաշ` - 4 կգ․
Մաստիկա բիտումային-ռետինե FARBITEX17կգ 43-3457,16500,7,Քաշ` - 17 կգ․
Մաստիկա բիտումային-հիդրոիզոլացիա 4կգ FARBITEX 43-3454,4450,4,Քաշ` - 4 կգ․
Մաստիկա բիտումային-հիդրոիզոլացիա 2կգ FARBITEX 43-3453,2350,7,Քաշ` - 2 կգ․
Մաստիկա բիտումային-հիդրոիզոլացիա 17կգ FARBITEX 43-3455,14350,11,Քաշ` - 17 կգ․
Նախաներկ հեղուկ կոնցենտրատ AURA AQUAGRUNT 1լ,3600,5,"Ծավալ` - 1 լ․, Գույն` - երկնագույն, Աշխատանքային ջերմաստիճան` - +10°С-ից բարձր, Պահպանման ջերմաստիճան` - +5°С-ից բարձր"
Նախաներկ հեղուկ կոնցենտրատ AURA AQUAGRUNT 0.5լ,1950,5,"Ծավալ` - 0,5 լ․, Գույն` - երկնագույն, Աշխատանքային ջերմաստիճան` - +10°С-ից բարձր, Պահպանման ջերմաստիճան` - +5°С-ից բարձր"
Նախաներկ հեղուկ կոնցենտրատ 3լ AURA AQUAGRUNT 3209,9700,3,"Ծավալ` - 3 լ․, Գույն` - երկնագույն, Աշխատանքային ջերմաստիճան` - +10°С-ից բարձր, Պահպանման ջերմաստիճան` - +5°С-ից բարձր"
Նախաներկ պրայմեր -բիտումային 3․5կգ FARBITEX 43-3451,4700,3,"Քաշ` - 3,5 կգ․"
Նախաներկ պրայմեր -բիտումային 16կգ FARBITEX 43-3452,17100,3,Քաշ` - 16 կգ․
Նախաներկ պրայմեր -բիտումային 1.7կգ FARBITEX 43-3450,2200,7,"Քաշ` - 1,7 կգ․"
Նախաներկ ԳՖ-021 մոխրագույն 20կգ FARBITEX 43-2141,19250,6,"Տեսակ` - ալկիդային, Չորացման ժամանակի միջակայք` - 3-24 ժամ, Աշխատանքային ջերմաստիճանի միջակայք` - +5 մինչև +30 °С, Պահպանման ջեմաստիճան` - -40 մինչև +40 °С, Աշխատանքային տիրույթ` - փայտ, մետաղ, Գույն` - մոխրագույն, Քաշ` - 20 կգ․"
Օլիֆ 3լ FARBITEX,5000,2,Ծավալ` - 3 լ․
Օլիֆ 1լ FARBITEX,1700,12,Ծավալ` - 1 լ․
