Product Name,Price,Quantity Available,Specifications
Խոզանակ ZUBR 01825-14,1800,4,Չափսեր` - 4 х 14 սմ․
Խոզանակ ZUBR 01825-12,1150,9,Չափսեր` - 3 х 12 սմ․
Խոզանակ ZUBR 01825-10,980,3,Չափսեր` - 3 х 10 սմ․
Խոզանակ ZUBR 01809-17,1150,6,Չափսեր` - 75x170 մմ․
Խոզանակ ZUBR 01809-15,950,5,Չափսեր` - 70х150 մմ․
Խոզանակ մակլավեց ZUBR 01809-14,850,2,"Հաստություն` - 50 մմ., Լայնություն` - 130 մմ․"
Խոզանակ կլոր STAYER 0185-11,1550,4,"Տեսակ` - կլոր, Լայնություն` - 110 մմ․, Բռնակի նյութ` - պլաստիկ"
Խոզանակ մակլավեց STAYER 01831-14,800,4,"Հաստություն` - 52 մմ․, Լայնություն` - 140 մմ."
Խոզանակ մակլավեց STAYER 01831-17,1150,3,"Հաստություն` - 70 մմ․, Լայնություն` - 170 մմ․"
Խոզանակ մակլավեց STAYER 0184-13,1100,4,"Հաստություն` - 50 մմ., Լայնություն` - 130 մմ․"
Խոզանակ մակլավեց STAYER 0184-15,990,3,"Հաստություն` - 70 մմ․, Լայնություն` - 150 մմ․"
Խոզանակ մակլավեց STAYER 0184-17,1300,9,"Հաստություն` - 75 մմ., Լայնություն` - 170 մմ․"
Վալիկ STAYER 0321-18,2200,7,"Տրամագիծ` - 48 մմ․, Երկարություն` - 180 մմ․, Մազի երկարություն` - 18 մմ․, Վալիկի անցքի տրամագիծ` - 8 մմ․"
Վրձին STAYER 0124-18,550,14,"Լայնություն` - 20 մմ., Բռնակի նյութ` - փայտ"
Վրձին STAYER 0124-14,350,15,"Լայնություն` - 15 մմ., Բռնակի նյութ` - փայտ"
Վրձին STAYER 0124-10,350,18,"Լայնություն` - 11 մմ., Բռնակի նյութ` - փայտ"
Վրձին STAYER 0124-06,350,13,"Լայնություն` - 8 մմ․, Բռնակի նյութ` - փայտ"
Վրձին STAYER 0124-02,230,22,
խոզանակ տափակ ZUBR 4-01001-038,300,11,"Լայնություն` - 38 մմ․, Բռնակի նյութ` - փայտ"
Խոզանակ կլոր STAYER N30 0141-30,400,17,"Տեսակ` - կլոր, Լայնություն` - 30 մմ., Բռնակի նյութ` - փայտ"
Խոզանակ կլոր STAYER 0141-55,1150,8,"Տեսակ` - կլոր, Լայնություն` - 55 մմ․, Բռնակի նյութ` - փայտ"
Խոզանակ կլոր STAYER 0141-45,1000,4,"Տեսակ` - կլոր, Լայնություն` - 45 մմ․, Բռնակի նյութ` - փայտ"
Խոզանակ կլոր STAYER 0141-70,1900,9,"Տեսակ` - կլոր, Լայնություն` - 70 մմ․, Բռնակի նյութ` - փայտ"
Խոզանակ կլոր STAYER 0141-65,1550,4,"Տեսակ` - կլոր, Լայնություն` - 65 մմ., Բռնակի նյութ` - փայտ"
Խոզանակ կլոր STAYER 0141-60,1450,6,"Տեսակ` - կլոր, Լայնություն` - 60 մմ․, Բռնակի նյութ` - փայտ"
Խոզանակ կլոր STAYER 0141-40,700,23,"Տեսակ` - կլոր, Լայնություն` - 40 մմ․, Բռնակի նյութ` - փայտ"
Խոզանակ կլոր STAYER 0141-35,550,6,"Տեսակ` - կլոր, Լայնություն` - 35 մմ․, Բռնակի նյութ` - փայտ"
Խոզանակ կլոր STAYER 0141-25,350,11,"Տեսակ` - կլոր, Լայնություն` - 25 մմ․, Բռնակի նյութ` - փայտ"
"Խոզանակ՝ տափակ, ZUBR 01099-38",300,5,"Լայնություն` - 38 մմ․, Երկարություն` - 190 մմ․, Բռնակի նյութ` - փայտ"
"Խոզանակ՝ տափակ, STAYER 01085-50",400,15,"Լայնություն` - 50 մմ․, Բռնակի նյութ` - պլաստմասսա"
"Խոզանակ՝ տափակ, STAYER 01085-38",350,10,"Լայնություն` - 38 մմ․, Բռնակի նյութ` - փայտ"
"Խոզանակ՝ տափակ, STAYER 01085-20",300,14,"Լայնություն` - 20 մմ․, Բռնակի նյութ` - պլաստմասսա"
"Խոզանակ՝ տափակ, STAYER 0104-75",2000,6,"Լայնություն` - 75 մմ․, Բռնակի նյութ` - փայտ"
"Խոզանակ՝ տափակ, STAYER 0104-63",1450,4,"Լայնություն` - 63 մմ․, Բռնակի նյութ` - փայտ"
"Խոզանակ՝ տափակ, STAYER 0104-50",700,11,"Լայնություն` - 50 մմ․, Բռնակի նյութ` - փայտ"
"Խոզանակ՝ տափակ, STAYER 0104-38",700,15,"Լայնություն` - 38 մմ․, Բռնակի նյութ` - փայտ"
"Խոզանակ՝ տափակ, STAYER 0104-25",550,16,"Լայնություն` - 25 մմ․, Բռնակի նյութ` - փայտ"
"Խոզանակ՝ տափակ, STAYER 0104-20",450,20,"Լայնություն` - 20 մմ․, Բռնակի նյութ` - փայտ"
"Խոզանակ՝ տափակ, STAYER 0104-100",2250,7,"Լայնություն` - 100 մմ․, Բռնակի նյութ` - փայտ"
Խոզանակ ներկի տափակ N100 STAYER 0102-100,1300,10,"Լայնություն` - 100մմ, Մազի երկարություն` - 58մմ, Բռնակի նյութ` - փայտ"
Խոզանակ ներկի տափակ N75 STAYER 0102-75,950,6,"Լայնություն` - 75մմ, Մազի երկարություն` - 58մմ, Բռնակի նյութ` - փայտ"
Խոզանակ ներկի տափակ N63 STAYER 0102-63,650,10,"Լայնություն` - 63մմ, Մազի երկարություն` - 52մմ, Բռնակի նյութ` - փայտ"
Խոզանակ ներկի տափակ N50 STAYER 0102-50,550,21,"Լայնություն` - 50մմ, Մազի երկարություն` - 51մմ, Բռնակի նյութ` - փայտ"
