Product Name,Price,Quantity Available,Specifications
Վալիկի զապաս կանաչ ZUBR 02506-25,2100,12,"Տրամագիծ` - 58 մմ․, Երկարություն` - 240 մմ․, Մազի երկարություն` - 18 մմ․, Վալիկի անցքի տրամագիծ` - 8 մմ․"
Վալիկի STAYER 03041-24,2950,10,"Երկարություն` - 240 մմ., Տրամագիծ` - 40 մմ․, Մազի երկարություն` - 6 մմ․, Վալիկի անցքի տրամագիծ` - 6 մմ․"
Վալիկի երկարացման պոչ ZUBR 05695-3.0,2400,1,Երկարություն` - 150 - 300 մմ․
Վալիկ ZUBR 03516-18,1000,6,"Երկարություն` - 180 մմ․, Տրամագիծ` - 40 մմ․, Մազի երկարություն` - 12 մմ․, Վալիկի անցքի տրամագիծ` - 6 մմ․"
Վալիկի զապաս STAYER 0231-23,1250,7,"Տրամագիծ` - 40 մմ., Երկարություն` - 240 մմ․, Մազի երկարություն` - 4 մմ․, Վալիկի անցքի տրամագիծ` - 6 մմ․"
Վալիկ ոզնի STAYER 03951-20,4200,4,"Տրամագիծ` - 75 մմ., Երկարություն` - 200 մմ., Մազի երկարություն` - 13 մմ․, Վալիկի անցքի տրամագիծ` - 8 մմ․"
Վալիկ STAYER 0341-24,2400,7,"Տրամագիծ` - 48 մմ․, Երկարություն` - 240 մմ․, Մազի երկարություն` - 9 մմ․, Վալիկի անցքի տրամագիծ` - 8 մմ․"
Վալիկ STAYER 0319-10,1400,11,"Տրամագիծ` - 30 մմ., Երկարություն` - 100 մմ., Մազի երկարություն` - 12 մմ․, Վալիկի անցքի տրամագիծ` - 6 մմ․"
Վալիկ ZUBR 03501-25,1600,4,"Տրամագիծ` - 240 մմ., Երկարություն` - 48 մմ․, Մազի երկարություն` - 18 մմ․, Վալիկի անցքի տրամագիծ` - 8 մմ․"
Վալիկ ZUBR 03501-18,1500,12,"Տրամագիծ` - 48 մմ․, Երկարություն` - 180 մմ․, Մազի երկարություն` - 18 մմ․, Վալիկի անցքի տրամագիծ` - 8 մմ․"
Վալիկի զապաս STAYER 0223-24,1800,7,"Տրամագիծ` - 68 մմ․, Երկարություն` - 240 մմ․, Մազի երկարություն` - 18 մմ․, Վալիկի անցքի տրամագիծ` - 8 մմ․"
Վալիկ զապաս STAYER 0222-24,1700,12,"Տրամագիծ` - 58 մմ․, Երկարություն` - 240 մմ․, Մազի երկարություն` - 18 մմ․, Վալիկի անցքի տրամագիծ` - 8 մմ․"
Վալիկի զապաս STAYER 0222-18,1850,6,"Տրամագիծ` - 58 մմ․, Երկարություն` - 180 մմ․, Մազի երկարություն` - 18 մմ․, Վալիկի անցքի տրամագիծ` - 8 մմ․"
Վալիկի զապաս STAYER 0219-10,700,27,"Տրամագիծ` - 30 մմ., Երկարություն` - 100 մմ., Մազի երկարություն` - 12 մմ․, Վալիկի անցքի տրամագիծ` - 6 մմ․"
"Վալիկի զապաս 9"" BERENT BT3237",1650,5,
"Վալիկ 9"" BERENT BT3236",2350,5,
Վալիկ ոզնի STAYER 03951-40,9400,2,"Երկարություն` - 400 մմ., Տրամագիծ` - 75 մմ․, Ասեղների երկարություն` - 13 մմ․, Վալիկի անցքի տրամագիծ` - 8 մմ․"
Վալիկի բռնակ STAYER 0563-24,600,12,"Երկարություն` - 240 մմ., Տրամագիծ` - 6 մմ."
Վալիկ գիպսաստվարաթղթի փշերով STAYER 0395-15,5400,1,"Երկարություն` - 150 մմ., Տրամագիծ` - 32 մմ., Հումք` - պլասմասսա / պողպատ, Բռնակի երկարություն` - 500 մմ․"
Վալիկի զապաս STAYER 0231-10,600,10,"Երկարություն` - 100 մմ., Տրամագիծ` - 30 մմ., Մազի երկարություն` - 4 մմ․, Վալիկի անցքի տրամագիծ` - 6 մմ․"
Վալիկի զապաս STAYER 0231-15,850,26,"Երկարություն` - 150 մմ., Տրամագիծ` - 30 մմ., Մազի երկարություն` - 4 մմ․, Վալիկի անցքի տրամագիծ` - 6 մմ․"
Վալիկի զապաս STAYER 0219-18_z01,950,8,"Երկարություն` - 180 մմ․, Տրամագիծ` - 40 մմ․, Մազի երկարություն` - 18 մմ․, Վալիկի անցքի տրամագիծ` - 6 մմ․"
Վալիկի զապաս STAYER 0219-24,950,9,"Երկարություն` - 240 մմ., Տրամագիծ` - 40 մմ․, Մազի երկարություն` - 18 մմ․, Վալիկի անցքի տրամագիծ` - 6 մմ․"
Վալիկի զապաս STAYER 0221-18,900,10,"Երկարություն` - 180 մմ․, Տրամագիծ` - 48 մմ․, Մազի երկարություն` - 18 մմ․, Վալիկի անցքի տրամագիծ` - 8 մմ․"
Վալիկ STAYER 0314-24,2500,9,"Երկարություն` - 240 մմ., Տրամագիծ` - 48 մմ․, Մազի երկարություն` - 12 մմ․, Վալիկի անցքի տրամագիծ` - 8 մմ․"
Վալիկի զապաս STAYER 0221-24,1150,11,"Երկարություն` - 240 մմ., Տրամագիծ` - 48 մմ․, Մազի երկարություն` - 18 մմ․, Վալիկի անցքի տրամագիծ` - 8 մմ․"
Վալիկ STAYER 0341-18,1950,2,"Երկարություն` - 180 մմ․, Տրամագիծ` - 48 մմ․, Մազի երկարություն` - 9 մմ․, Վալիկի անցքի տրամագիծ` - 8 մմ․"
Վալիկի զապաս STAYER 02182-24,1100,3,"Երկարություն` - 240 մմ., Տրամագիծ` - 48 մմ․, Մազի երկարություն` - 12 մմ․, Վալիկի անցքի տրամագիծ` - 8 մմ․"
Վալիկի զապաս STAYER 0241-24,1400,9,"Երկարություն` - 240 մմ., Տրամագիծ` - 48 մմ․, Մազի երկարություն` - 9 մմ․, Վալիկի անցքի տրամագիծ` - 8 մմ․"
Վալիկի զապաս STAYER 0231-18,850,8,"Երկարություն` - 180 մմ․, Տրամագիծ` - 40 մմ․, Մազի երկարություն` - 4 մմ․, Վալիկի անցքի տրամագիծ` - 6 մմ․"
Վալիկ պաստառի պլասմասե STAYER 0393-2,650,2,"Երկարություն` - 45 մմ․, Վալիկի անցքի տրամագիծ` - 6 մմ."
Վալիկ ոզնի STAYER 03951-25,5500,4,"Երկարություն` - 250 մմ., Տրամագիծ` - 75 մմ․, Ասեղների երկարություն` - 13 մմ․, Վալիկի անցքի տրամագիծ` - 8 մմ․"
Վալիկի զապաս STAYER 0531-05,400,28,"Երկարություն` - 55 մմ․, Տրամագիծ` - 15 մմ., Վալիկի անցքի տրամագիծ` - 6 մմ․"
Վալիկ STAYER 0316-18,3000,7,"Երկարություն` - 180 մմ․, Տրամագիծ` - 48 մմ․, Մազի երկարություն` - 10 մմ․, Վալիկի անցքի տրամագիծ` - 8 մմ․"
Վալիկի զապաս STAYER 05812-11,400,12,"Երկարություն` - 110 մմ․, Տրամագիծ` - 15 մմ., Մազի երկարություն` - 7 մմ․, Վալիկի անցքի տրամագիծ` - 6 մմ․"
Վալիկի զապաս STAYER 0214-24,1400,6,"Երկարություն` - 240 մմ., Տրամագիծ` - 48 մմ․, Մազի երկարություն` - 12 մմ․, Վալիկի անցքի տրամագիծ` - 8 մմ․"
Վալիկի զապաս STAYER 02041-24,2200,5,"Երկարություն` - 240 մմ., Տրամագիծ` - 40 մմ․, Մազի երկարություն` - 6 մմ․, Վալիկի անցքի տրամագիծ` - 6 մմ․"
Վալիկ STAYER 03-0501-07_z01,850,9,"Տրամագիծ` - 15 մմ., Երկարություն` - 70 մմ․, Մազի երկարություն` - 4 մմ․, Վալիկի անցքի տրամագիծ` - 6 մմ․"
