Product Name,Price,Quantity Available,Specifications
Ապակու քերիչ 60մմ VOREL 06820,300,2,"Երկարություն` - 125 մմ․, Սայրի լայնություն` - 60 մմ․"
"Շպակլի 4"" BERENT BT3140",750,3,
Քերիչ բետոնի համար 120*250մմ VOREL 05761,2550,1,"Սայրի չափսեր` - 120x250 մմ․, Սայրի հաստություն` - 0,9 մմ․"
Քերիչ բետոնի համար 75*200մմ VOREL 05750,3900,1,"Երկարություն` - 1300 մմ․, Սայրի չափսեր` - 75x200 մմ․, Սայրի հաստություն` - 0,9 մմ․"
Պոլիուրեթանային քերիչ DEXX 08134-18-32,1600,9,Չափսեր` - 180х320 մմ․
Պոլիուրեթանային քերիչ DEXX 08134-14-28,1200,6,Չափսեր` - 140х280 մմ․
Պոլիուրեթանային քերիչ DEXX 08134-12-100,3650,3,Չափսեր` - 120х1000 մմ․
Շպակլի SIBIN 10079-250,600,5,"Լայնություն` - 250 մմ., Հումք` - չժանգոտվող պողպատ / պլաստիկ"
Շպակլի սանր ZUBR 10078-35-10,990,6,"Լայնություն` - 350 մմ․, Ատամների չափսեր` - 10 х 10 մմ․"
Շպակլի ներժ+ալյումին SIBIN 10085-25,3100,3,Լայնություն` - 250 մմ.
Շպակլի ներժ+ալյումին SIBIN 10085-20,2100,4,Լայնություն` - 200 մմ.
Շպակլի ներժ+ալյումին SIBIN 10085-15,1800,5,Լայնություն` - 150 մմ.
Շպակլի SIBIN 10079-200,550,5,"Լայնություն` - 200 մմ., Հումք` - չժանգոտվող պողպատ / պլաստիկ"
Շպակլի SIBIN 10079-060,300,4,"Լայնություն` - 60 մմ․, Հումք` - չժանգոտվող պողպատ / պլաստիկ"
Շպակլի SIBIN 10079-040,250,4,"Լայնություն` - 40 մմ., Հումք` - չժանգոտվող պողպատ / պլաստիկ"
Շպակլի ներժ+ալյումին SIBIN 10085-60,3350,3,Լայնություն` - 600 մմ․
Շպակլի SIBIN 10079-450,900,7,Լայնություն` - 450 մմ.
Շպակլի SIBIN 10079-350,800,4,Լայնություն` - 350 մմ․
Շպակլի SIBIN 10079-300,650,9,Լայնություն` - 300 մմ.
Շպակլի ZUBR 10049-12-03,1800,3,"Երկարություն` - 210 մմ., Աշխատանքային լայնություն` - 120 մմ․, Հումք` - չժանգոտվող պողպատ/ պլաստիկ/ ռեզին"
Շպակլի ZUBR 10049-47,5950,2,"Լայնություն` - 470 մմ․, Հումք` - չժանգոտվող պողպատ / պլաստիկ"
Շպակլի ZUBR 10049-35,4800,5,"Լայնություն` - 350 մմ․, Հումք` - չժանգոտվող պողպատ"
Շպակլի ZUBR 10049-25,4300,3,"Լայնություն` - 250 մմ., Հումք` - չժանգոտվող պողպատ"
Շպակլի ZUBR 10049-15,2750,3,"Լայնություն` - 150 մմ., Հումք` - չժանգոտվող պողպատ"
Շպակլի STAYER 1018-20,600,1,"Լայնություն` - 200 մմ., Հումք` - ռեզին / փայտ"
Շպակլի 4կտոր STAYER 1012-H4,1500,3,"Լայնություն` - 50, 80, 100, 120 մմ․, Հումք` - չժանգոտվող պողպատ / պլաստիկ, Հավաքածուի կտորների քանակ` - 4 կտոր"
Շպակլիյի հավաքածու YAPONCHIK STAYER 1010-H4,500,2,"Լայնություն` - 50, 80, 100, 120 մմ․, Հումք` - պլաստիկ, Հավաքածուի կտորների քանակ` - 4 կտոր"
Շպակլիյի հավաքածու STAYER 1011-H4,1000,5,"Լայնություն` - 50, 80, 100, 120 մմ․, Հումք` - պողպատ / պլաստիկ, Հավաքածուի կտորների քանակ` - 4 կտոր"
Շպակլի ռեզին ZUBR 1016-80,450,3,Լայնություն` - 80 մմ․
Շպակլի ռեզինե ZUBR 1016-60,320,4,Լայնություն` - 60 մմ․
Շպակլի ռեզինե ZUBR 1016-40,200,4,Լայնություն` - 40 մմ.
Շպակլի ռեզինե ZUBR 1016-100,500,2,Լայնություն` - 100 մմ.
Շպակլի SIBIN 10079-600,1100,7,"Լայնություն` - 600 մմ․, Հումք` - չժանգոտվող պողպատ / պլաստիկ"
Շպակլի ZUBR 10078-30-10,850,5,Լայնություն` - 300 մմ.
Շպակլի ZUBR 10078-25-10,1100,2,"Լայնություն` - 250 մմ., Հումք` - չժանգոտվող պողպատ / պլաստիկ"
Շպակլի ZUBR 10078-20-10,750,3,"Լայնություն` - 200 մմ., Հումք` - չժանգոտվող պողպատ / պլաստիկ"
Շպակլի ZUBR 10078-15-10,700,3,"Լայնություն` - 150 մմ., Հումք` - չժանգոտվող պողպատ / պլաստիկ"
Շպակլի SIBIN 10079-150,600,2,"Լայնություն` - 150 մմ., Հումք` - չժանգոտվող պողպատ / պլաստիկ"
Շպակլի SIBIN 10079-100,350,19,"Լայնություն` - 100 մմ., Հումք` - չժանգոտվող պողպատ / պլաստիկ"
Շպակլի SIBIN 10079-080,300,10,"Լայնություն` - 80 մմ․, Հումք` - չժանգոտվող պողպատ / պլաստիկ"
Ապակու քերիչ BERENT BT6119,500,6,"Ընդհանուր երկարություն` - 230 մմ., Ծայրի լայնություն` - 105 մմ."
Շպակլիյի հավաքածու 4կտ սիլիկոնը մաքրելու համար YATO YT-52621,1500,3,Քանակ` - 4 կտոր
Շպակլիյի հավաքածու 4կտ սիլիկոնը մաքրելու համար YATO YT-5262,600,2,Քանակ` - 4 կտոր
Շպակլի ռեզինե 3կտ (40/60/80) STAYER 1027-H3,450,5,"Չափսեր` - 40 / 60 / 80 մմ․, Քանակ` - 3 կտոր"
Շպակլու հավաքածու շովերի համար STAYER 10165-H2,700,2,Չափս` - 60 х 60 մմ․
Շպակլի ռեզինե STAYER 1027-100,350,5,Չափս` - 100 մմ.
Շպակլի ռեզինե STAYER 1027-40,150,6,Չափս` - 40 մմ.
Շպակլի ռեզինե STAYER 1027-60,200,4,Չափս` - 60 մմ․
Շպակլի ռեզինե STAYER 1027-150,550,3,Չափս` - 15 սմ․
Շպակլի ռեզինե 3կտ STAYER 10155-H3,600,4,"Լայնություն` - 40 / 60 / 80 մմ․, Քանակ` - 3 կտոր"
Շպակլի պաստառի STAYER 10205,550,6,Չափս` - 280 մմ․
Շպակլի անպոչ 250մմ BERENT BT3246,550,4,
Շպակլի անպոչ 200մմ BERENT BT3245,550,3,
Շպակլի 5՛՛ BERENT BT3141,850,7,
Շպակլի 3՛՛ BERENT BT3139,700,7,
Շպակլի 2՛՛ BERENT BT3137,700,12,
Շպակլի 2.5՛՛ BERENT BT3138,600,7,
Շպակլի 1՛՛ BERENT BT3135,500,7,
Շպակլի 1.5՛՛ BERENT BT3136,600,8,
Ապակու քերիչ BERENT BT6118,2750,5,
Շպակլի սիլիկոնե 4կտ YATO YT-5261,800,1,
Շպակլի ռեզինե 15սմ ZUBR 1016-150,650,4,Չափս` - 15սմ
Շպակլի ներժից 10սմ ZUBR 10049-10,1600,2,"Լայնություն` - 10 սմ․, Հումք` - չժանգոտվող պողպատ"
Շպակլի ներժից 8սմ ZUBR 10049-08,1350,4,"Լայնություն` - 8 սմ․, Հումք` - չժանգոտվող պողպատ"
Շպակլի ներժից 6սմ ZUBR 10049-06,1150,3,"Լայնություն` - 6 սմ․, Հումք` - չժանգոտվող պողպատ"
Շպակլի ներժից 4սմ ZUBR 10049-04,1200,11,"Լայնություն` - 4 սմ․, Հումք` - չժանգոտվող պողպատ"
