Product Name,Price,Quantity Available,Specifications
Սյոմնիկ շառավոյի և ռուլավոյ կալոնկի համար YATO YT-06123,11000,1,"Աշխատանքային միջակայք` - 35-80 մմ․, Բանալու չափս` - 19 մմ․"
Սյոմնիկ շառավոյի և ռուլավոյ կալոնկայի համար YATO YT-6012,8800,1,"Երկարություն` - 135 մմ․, Բանալու չափս` - 19 մմ․"
Բանալի սյոմնիկ ղեկի ձողի համար 40-47մմ YATO YT-061602,7500,1,"Կրիչի չափս` - 1/2"" (12,7 մմ), Աշխատանքային միջակայք` - 40-47 մմ․"
Բանալի լարվածության գլանի համար 32մմ AUDI YATO YT-06273,1650,2,Չափս` - 32 մմ․
Սյոմնիկ շառավոյի և ռուլավոյ կալոնկայի համար 20մմ YATO YT-0614,6850,1,"Երկարություն` - 275 մմ․, Բանալու չափս` - 16 մմ․"
Սյոմնիկ շառավոյի և ռուլավոյ կալոնկայի համար 17մմ YATO YT-0613,6450,1,"Երկարություն` - 265 մմ․, Բանալու չափս` - 16 մմ․"
Ժանգոտված մասերը պտուտակահանելու հեղուկ KERRY KR940-2,1500,5,Ծավալ` - 335 մլ․
Հակասառեցման միջոց կողպեքի KERRY KR-983,900,4,Ծավալ` - 75 մլ․
Ժանգոտված մասերը պտուտակահանելու հեղուկ KERRY KR-940-1,1550,6,Ծավալ` - 210 մլ․
Կլուչ բալոնի խաչ չեխոլով YATO YT-08035,9900,1,Չափսեր` - 17*19*21*23
Բալոնի խաչաձև բանալի YATO YT-08002,5900,2,Չափսեր` - 17*19*21*23
