Product Name,Price,Quantity Available,Specifications
Ռետինե մոնտաժային բարձիկ (Դոմկրատ) 130*270մմ VOREL 39002,2300,1,"Բարձիկի չափսեր` - 130x270 մմ․, Բարձրացման միջակայք` - մինչև 50 մմ․, Խողովակի երկարություն` - 250 մմ․, Ծանրաբեռնվածության քաշ` - 135 կգ․"
Հիդրավլիկ հավաքածու կուզովը ուղելու համար 10տ VOREL 80450,36700,1,"Երկարություն` - 660 մմ․, Առավելագույն ծանրաբեռնվածություն` - 10 տ․, Աշխատանքային ճնշում` - 55 ՄՊա, Մխոցի հարված` - 127 մմ․"
Հիդրավլիկ հավաքածու կուզովը ուղելու համար 10տ VOREL 80412,138800,1,"Քաշ` - 35,4 կգ․, Ծանրաբեռնվածության քաշ` - 10 տ․, Աշխատանքային ճնշում` - 620 բար, Մխոցի հարված` - 150 մմ․, Կտորների քանակը հավաքածուում` - 15"
Դանկրատ Մեծ Հիդրավլիկ 3տ YATO YT-17213,95950,1,"Բարձրացվող մաքսիմալ քաշ` - 3 տ․, Բարձրացման միջակայք` - 145-500 մմ․, Քաշ` - 37 կգ․"
"Ակսեսուար հիդրավլիկ, կուզովը ոււղելու համար 4տ VOREL 80402",92000,1,"Թույլատրելի ծանրաբեռնվածություն` - 4 տ., Աշխատանքային ճնշում` - 560 բար, Մխոցի հարված` - 120 մմ., Հավաքածուի կտորների քանակ` - 16 կտոր"
Դանկրատ հիդրավլիկ ակերով BERENT BT9156,22600,1,"Բարձրացվող մաքսիմալ քաշ` - 2 տ, Բարձրությունը հիդրոգլանի բացված վիճակում` - 335 մմ, Սեփական բարձրություն` - 135 մմ"
Դանկրատ հիդրավլիկ BERENT BT9153,72000,1,"Բարձրացվող մաքսիմալ քաշ` - 50 տ, Բարձրությունը հիդրոգլանի բացված վիճակում` - 448 մմ, Սեփական բարձրություն` - 300 մմ"
Դանկրատ հիդրավլիկ BERENT BT9152,37800,1,"Բարձրացվող մաքսիմալ քաշ` - 32 տ, Բարձրությունը հիդրոգլանի բացված վիճակում` - 465 մմ, Սեփական բարձրություն` - 285 մմ"
Դանկրատ հիդրավլիկ BERENT BT9151,28900,1,"Բարձրացվող մաքսիմալ քաշ` - 20 տ, Բարձրությունը հիդրոգլանի բացված վիճակում` - 449 մմ, Սեփական բարձրություն` - 244 մմ"
Դանկրատ հիդրավլիկ BERENT BT9150,23700,1,"Բարձրացվող մաքսիմալ քաշ` - 16 տ․, Բարձրությունը հիդրոգլանի բացված վիճակում` - 445 մմ, Սեփական բարձրություն` - 225 մմ"
Դանկրատ հիդրավլիկ BERENT BT9149,19600,1,"Բարձրացվող մաքսիմալ քաշ` - 12 տ․, Բարձրությունը հիդրոգլանի բացված վիճակում` - 400 մմ, Սեփական բարձրություն` - 215 մմ"
Դանկրատ հիդրավլիկ BERENT BT9157,93100,1,"Բարձրացվող մաքսիմալ քաշ` - 3 տ․, Բարձրությունը հիդրոգլանի բացված վիճակում` - 135 մմ․, Սեփական բարձրություն` - 495 մմ․"
Դանկրատ Մեծ Հիդրավլիկ 3տ YATO YT-17211,95000,1,Բարձրացվող մաքսիմալ քաշ` - 3 տ․
"Ամբարձիչ՝ հիդրավլիկ, անիվներով, YATO YT-55556",169300,1,"Բեռի բարձացման քաշ` - մինչև 1000 կգ․, Փակ վիճակում բարձրությունը` - 152 սմ․, Լայնություն` - 48 սմ․, Ընդհանուր բարձրություն` - 210 սմ․"
Դանկրատ Մեծ Հիդրավլիկ 2.5տ YATO YT-1721,110000,1,Բարձրացվող մաքսիմալ քաշ` - 2.5տ․
Դանկրատ հիդրավլիկ BERENT BT9147,15500,1,"Բարձրացվող մաքսիմալ քաշ` - 8տ, Բարձրությունը հիդրոգլանի բացված վիճակում` - 390մմ, Սեփական բարձրություն` - 205մմ"
Դանկրատ հիդրավլիկ BERENT BT9146,13300,1,"Բարձրացվող մաքսիմալ քաշ` - 6տ, Բարձրությունը հիդրոգլանի բացված վիճակում` - 402մմ, Սեփական բարձրություն` - 197մմ"
Դանկրատ հիդրավլիկ BERENT BT9144,9600,1,"Բարձրացվող մաքսիմալ քաշ` - 2տ․, Բարձրությունը հիդրոգլանի բացված վիճակում` - 308մմ, Սեփական բարձրություն` - 158մմ"
Դանկրատ հիդրավլիկ BERENT BT9148,16950,1,"Բարձրացվող մաքսիմալ քաշ` - 10տ․, Բարձրությունը հիդրոգլանի բացված վիճակում` - 205մմ, Սեփական բարձրություն` - 390մմ"
