Product Name,Price,Quantity Available,Specifications
Գալովկայի հավաքածու 173կտ STHOR 58688,43000,1,"Կրիչի չափսեր` - 1/4 ""(6.3 մմ), 3/8 ""(9.5 մմ), 1/2"" (12.7 մմ), Հավաքածուի ընդհանուր քանակ` - 173 կտոր"
"Գալովկայի հավաքածու աստղիկ հարվածային 6կտ SPLINE 1/2 M14,M16,M18 YATO YT-10652",9500,1,"Տեսակ` - Հարվածային Torx, Կրիչի չափս` - 1/2 "" (12,7 մմ․), Չափսեր` - M14, M16, M18 (43 и 78 մմ․), Քանակ` - 6 հատ"
Հիդրավլիկ կտրիչ մետաղե թիթեղները ծակելու համար 22-60մմ YATO YT-18900,109000,1,"Կտրման տրամագիծ` - 22-60 մմ․, Սեղման ուժ` - 6 տ․, Պտտվող գլխիկ` - այո, Առավելագույն թիթեղի հաստություն` - 3 մմ․"
Մխոցային օղակների սպասարկման հավաքածու YATO YT-06373,29000,1,"Տրամագիծ` - 50-125, 60-175 մմ․, Բարձրություն` - 75, 100, 150 մմ․, Աշխատանքային միջակայք` - 50-100 մմ․, Քանակ` - 10 կտոր"
Պղնձե խողովակները լայնացնող գործիքի հավաքածու YATO YT-21825,60200,1,"Խողովակի տրամագիծ` - 3/8"" (9,5 մմ․), 1/2"" (12,7 մմ․), 5/8"" (15,9 մմ․), 3/4"" (19 մմ․), 7/8"" (22,2 մմ․), 1"" (25,4 մմ․), 1-1/8"" (28,6 մմ․)"
Պղնձե խողովակները լայնացնող գործիքի հավաքածու ՀԻԴՐԱՎԼԻԿ YATO YT-21826,84850,1,"Խողովակի տրամագիծ` - 3/8"" (9,5 մմ․), 1/2"" (12,7 մմ․), 5/8"" (15,9 մմ․), 3/4"" (19 մմ․), 7/8"" (22,2 մմ․), 1"" (25,4 մմ․), 1-1/8"" (28,6 մմ․)"
Դիզելով շարժիչի մոմերի ադապտերի հավաքածու 6կտ YATO YT-0622,42700,1,"Գործիքի կրիչի չափս` - 1/2 "" (12.7 մմ․), Չափսեր` - 21x90, 22x78, 22x110, 27x28, 28x78, 28x83 մմ․"
Խլացուցիչ խողովակի լայնացման գործիքի հավաքածու 29-42մմ 3կտYATO YT-06166,14950,1,"Աշխատանքային միջակայք` - 29-42, 38-62, 54-89 մմ․, Քանակ` - 3 կտոր"
Վնասված սվեչաները հանելու հավաքածու 7կտ YATO YT-05343,16500,1,Քանակ` - 7 կտոր
Ավտոմեքենայի ետնապակին հանելու գործիքի հավաքածու 7կտ YATO YT-0845,11300,1,Քանակ` - 7 կտոր
Փշի հավաքածու կլապանի համար 38կտ YATO YT-08196,15350,1,"Չափսեր` - 8-19 մմ, Քանակ` - 38 կտ"
Սյոմնիկ մեքենայի զսպանակի համար YATO YT-2544,10850,1,"Չափսեր` - 82 - 370 մմ., Քանակ` - 2 հատ"
Սյոմնիկ մեքենայի զսպանակի համար YATO YT-2547,9500,3,"Չափսեր` - 82 - 370 մմ., Քանակ` - 2 հատ"
Զաժիմ արգելակի 11կտոր YATO YT-0611,13300,1,
Գլխիկների+բանալու հավաքածու YATO YT-38791,52000,1,"Քանակ` - 108 կտոր, Մատերիալ` - Խրոմ-Վանանդիում, Քաշ` - 7,4կգ, Բրենդ` - YATO"
Գալովկայի հավաքածու 1/4 - 56կտոր YATO YT-14501,19500,1,"Քանակ` - 56կտ, Մատերիալ` - Խրոմ վանադիում, Բրենդ` - YATO, Քաշ` - 1,8կգ"
Գլխիկների հավաքածու 14կտ 40մմ-80մմ YATO YT-13630,189000,1,"Քանակ` - 14 կտոր, Չափս` - 1 դյույմ, Գլխադիրի չափսեր` - 40мм, 48мм, 50мм, 55мм, 60мм, 65мм, 70мм, 75мм, 80мм, Բրենդ` - YATO"
Վեցանիստի նասատկի կոմպլ. 15կտ YATO YT-0413,5300,2,"Չափսեր` - H4-H12, Բրենդ` - YATO"
Վեցանիստ նասատկի կոմպլ. 7կտ YATO YT-0412,1400,2,
Մնոգոգրան նասատկ. կոմպլ. 6կտ YATO YT-0414,1400,2,
"Գլխիկների հավաքածու՝ ճչանակով 1/2-12կտ, YATO YT-38671",13000,1,"Քանակ` - 12 կտոր, Չափս` - 1/2 դյույմ, Գլխադիրի չափսեր` - 10мм, 11мм, 12мм, 13мм, 14мм, 15мм, 17мм, 19мм, 21мм, 24мм, длиной 38мм., Երկարացուցիչ 1/2` - 125մմ, Բրենդ` - YATO"
