Product Name,Price,Quantity Available,Specifications
Պոմպ ձեռքի VOREL 82020,2350,2,Օդի ճնշում` - 0-0. 3 ՄՊա
Պոմպ դիզելային վառելիքի և շարժիչային յուղի տեղափոխման համար 12V-80W VOREL 78007,7800,1,"Հզորություն` - 80 Վտ․, Լարում` - 12 Վ․, Խողովակի տրամագիծ` - 10 մմ․, Առավելագույն արտադրողականություն` - 3 լ/րոպե, Խոնավության ճնշում` - 0,3 ՄՊա, Յուղի առաջարկվող ջերմաստիճան` - 40-50 C, Քաշ` - 0,6 կգ․"
Պոմպ ձեռքի մանոմետրով 1MPa VOREL 82021,3500,1,"Խողովակի երկարություն` - 570 մմ․, Չափման միջակայք` - 0-1 ՄՊա, Աշխատանքային ճնշում` - 0-1 ՄՊա"
Կոմպրեսոր պոմպ ավտոմեքենայի 12Վ-120Վտ STHOR 82105,6650,2,"Հզորություն` - 120 Վտ․, Լարում` - 12 Վ․, Առավելագույն ճնշում` - 10 բար, Օդի ծախս` - 25 լ/րոպե, Խողովակի երկարություն` - 46 սմ․, Մալուխի երկարություն` - 3 մ․, Գլխիկների քանակ` - 3 հատ"
Ապահովիչի հավաքածու ապակյա 6-30մմ 5ից-30Ամպ 120կտ YATO YT-83130,2400,2,"Երկարություն` - 30 մմ., Տրամագիծ` - 6 մմ., Ապահովիչներ` - 5A x20, 10A x20, 15A x20, 20A x20, 25A x20, 30A x20, Քանակ` - 120 կտոր"
Պոմպ ավտոմեքենայի անիվի 12վ/60Վտ CROWN CT36059,11600,1,"Հզորություն` - 60 Վտ․, Լարում` - 12 Վ․, Առավելագույն աշխատանքային ճնշում` - 10 ատմ, Մանոմետր` - անալոգային, Արտադրողականություն` - 13 լ/րոպե, Շարունակական շահագործման ժամանակ` - 20 րոպե, Օդի խողովակի երկարություն` - 2 մ․, Քաշ` - 500 գ․"
Պոմպ հիդրավլիկ YATO YT-55511,43000,1,"Առավելագույն քաշ` - 10 տ, Աշխատանքային ճնշում` - 620 բար"
Պոմպ հիդրավլիկ YATO YT-55510,40950,1,"Առավելագույն քաշ` - 4 տ., Աշխատանքային ճնշում` - 560 բար"
Պոմպ+փոխրակ ավտոյի YATO YT-73462,21500,1,
Պոմպ ճնշման հերմետիկությունը ստուգելու համար YATO YT-24800,58900,1,
"Պոմպ՝ մեքենայի համար 12Վ/120Վտ, CROWN CT36060",29000,1,"Առավելագույն հզորություն` - 120 Վտ, Արտադրողականություն` - 30 լ․/րոպե, Առավելագույն ճնշում` - 6,89 Բար, Առանց ընդմիջման աշխատանքի ժամանակ` - 20 րոպե, Քաշ` - 1,75 կգ․"
"Ճնշակ՝ մեքենայի համար, YATO YT-73460",15400,1,"Հզորություն` - 180 Վտ․, Լարում` - 12 Վ․, Մետաղական գլանի չափս` - 30 մմ․, Արտադրողականություն` - 40 լ/ր, Փողրակի երկարություն` - 1 մ․"
