Product Name,Price,Quantity Available,Specifications
Ավտոմեքենայի մարտկոցի իմպուլսային լիցքավորիչ փոքրիկ YATO YT-83033,19700,1,"Հզորություն` - 70 Վտ․, Լարում` - 220-240 Վ․, Հաճախականություն` - 50-60 Հց․, Ցուցադրման էկրանի տեսակ` - LCD, Կեռիկների քանակ` - 1, Լիցքավորման լարում` - 6/12 Վ․, Լիցքավորման հոսանք` - 1/4 Ա, Լիցքավորված մարտկոցի հզորություն` - 120 Ահ"
Ավտոմեքենայի մարտկոցի լիցքավորիչ 480/750վտ-12/24Վ-25Ամպ CROWN CT37006,47700,1,"Մարտկոցի լարում` - 12/24 վ․, Ներկառուցված մարտկոց` - առկա է, Լիցքավորման առավելագույն հոսանք` - 40 Ա, Ցանցի մատակարարման լարում` - 230 Վ․, Հզորություն` - 480 / 750 Վտ․"
Ավտոմեքենայի մարտկոցի լիցքավորիչ 900վտ-12/24Վ-20/22Ամպ CROWN CT37007,82000,1,"Ցանցի մատակարարման լարում` - 220-240 Վ․, Հաճախականություն` - 50 Հց․, Մարտկողցի լարում` - 12/24 Վ․, Լիցքավորման մալուխ` - 2մ․ + 2մ․, Հզորություն` - 900 Վտ․, Նոմինալ հոսանք` - 20 Ա"
Թվային անալիզատր 12վ մարտկոցի համար YATO YT-83113,17300,1,"Գործող ջերմաստիճանի միջակայք` - 0~40°C, Աշխատանքային լարում` - 12 Վ․, Լարման միջակայք` - 7-15 Վ․, Բեռնվածքի չափման հոսանք` - 100 Ա․, RSD չափման միջակայք` - 200-1200 Ա․"
Փչովի Էմալ մեքենայի նորոգման KUDO KU-41626,2600,3,"Ծավալ` - 520 մլ․ / ≈ 2 մ², Նախատեսված մակերևույթ` - Մետաղ, արդեն ներկված ծածկույթ, Ամբողջական չորացում` - 5 ժամ"
Մարտկոցի լիցքավորիչ մեխանիկական 600A YATO YT-83153,8850,2,"Հզորություն` - 600 Ա․, Երկարություն` - 2,5 մ․"
Մարտկոցի լիցքավորիչ մեխանիկական 400A YATO YT-83152,5350,3,"Հզորություն` - 400 Ա․, Երկարություն` - 2,5 մ․"
"Մարտկոցի լիցքավորիչ 260/480վտ, CROWN CT37005",43650,1,"Լարում` - 230 Վ․, Հաճախականություն` - 50 Հց․, Մուտքային հզորություն` - 260/480 Վտ․, Քաշ` - 10 կգ․"
"Մարտկոցի լիցքավորիչ 110/180վտ, CROWN CT37004",23750,1,"Լարում` - 230 Վ․, Հաճախականություն` - 50 Հց, Մուտքային հզորություն` - 110/180 Վտ., Քաշ` - 4,2 կգ․"
"Լիցքավորիչ՝ մեքենայի մարտկոցի համար, YATO YT-83060",115400,1,"Քաշ` - 16 կգ․, Տեսակ` - անիվներով"
Լիցքավորիչ մարտկոցի YATO YT-83080,29900,1,Հզորություն` - 7500Մ/Ա
