Product Name,Price,Quantity Available,Specifications
Ավտոմեքենայի սեղմակների հավաքածու /FORD/ 415կտ YATO YT-06660,5800,2,"Սեղմակների տեսակների քանակ` - 18, Հավաքածուի ընդհանուր քանակ` - 415 հատ"
Ներկ կաշվի համար ավտոմեքենայի սև փայլատ KUDO KU-5271M,3300,3,"Ծավալ` - 210 մլ․, Գույն` - սև փայլատ, Շերտերի միջև չորացման միջակայք` - 5-10 րոպե, Վերջնական չորացման ժամանակ` - 24 ժամ, Ներկման նախատեսված մակերևույթ` - հարթ կաշի"
Ներկ կաշվի համար ավտոմեքենայի սև KUDO KU-5271,3300,3,"Ծավալ` - 210 մլ․, Շերտերի միջև չորացման միջակայք` - 5-10 րոպե, Վերջնական չորացման ժամանակ` - 24 ժամ, Ներկման նախատեսված մակերևույթ` - հարթ կաշի"
Ավտոմեքենայի սեղմակների հավաքածու 300կտ /OPEL/ YATO YT-06652,6250,1,"Սեղմակների տեսակների քանակ` - 6, Հավաքածուի ընդհանուր քանակ` - 300 հատ"
Փոշեկուլ մարտկոցով 60վտ LUND 82955,9900,1,"Տեսակ` - առանց պարկի, Հզորություն` - 60 Վտ․, Լարում` - 5 Վ․, Մարտկոցի հզորություն` - 2000 մԱ/ժ, Մարտկոցի լարում` - 7,4 В, Աշխատունակություն` - 18-20 րոպե, Լիցքավորման ժամանակ` - 4-6 ժամ, Լիցքավորիչի տեսակ` - USB, Վակում` - 4,5 կՊա"
Մեքենայի աբիվկայի կլիպսերի հավաքածու 290կտ /BMW/ YATO YT-06661,6200,2,Քանակ` - 290 կտոր
Մեքենայի աբիվկայի կլիպսերի հավաքածու 370կտ /MITSUBISHI/ YATO YT-06659,5950,1,Քանակ` - 370 կտոր
Ավտոմեքենայի փոշեկուլ 12Վ-100Վտ SHTOR 82952,7650,2,"Մաքրման տեսակ` - թաց և չոր, Լարում` - 12 Վ, Հզորություն` - 100 Վտ․, Խողովակի երկարություն` - 0,39 մ․, Մալուխի երկարություն` - 3 մ․, Քաշ` - 0,9 կգ․, Տեսակ` - ցիկլոնային, առանց պարկի, Ապահովիչ` - 6x30 մմ, 250V/15A, BGDP"
"Ավտոմեքենայի փոշեկուլ 14,8վտ CROWN CT63006",29900,1,"Մարտկոցի տեսակ` - Lithium-ion, Անվանական լարում` - 14,8 Վ, Մարտկոցի հզորություն` - 2.2 Ահ, Տարողություն` - 0,5լ, Քաշ` - 1,5 կգ."
Մաքրող նյութ ունիվերսալ KULT KLT-23,1200,2,
Պլասմասի մաքրող նյութ վիշնյա հոտով KULT KLT-25-2,1750,5,"Արտիկուլ` - KLT-25-2, Քաշ` - 500մլ, Հոտ` - Վիշնյա, Էֆֆեկտ` - Փայլուն, Պահպանման ժամկետ` - 5 տարի"
Պլասմասի մաքրող նյութ Իրլանդական կրեմի հոտով KULT,1350,6,"Արտիկուլ` - KLT-24-2, Քաշ` - 500մլ, Հոտ` - Իրլանդական կրեմ, Էֆֆեկտ` - Մատվի, Պահպանման ժամկետ` - 5 տարի"
Մաքրող նյութ կտորի համար KERRY KR-981,2200,3,"Արտիկուլ` - KR-981, Քաշ` - 650մլ"
Չոր քիմմաքրում կտորե սրահի համար KERRY KR-979,1700,4,"Արտիկուլ` - KR-979, Քաշ` - 650մլ"
Մաքրող նյութ կտորի համար KERRY KR-978,1600,6,"Արտիկուլ` - KR-978, Քաշ` - 335մլ"
Պլասմասի մաքրող նյութ ունիվերսալ KERRY KR-974,1650,2,"Քաշ` - 650մլ, Մատերիալ` - Պլասմաս, Էֆֆեկտ` - Փրփուրային, Պահպանման ժամկետ` - 5 տարի"
Պլասմասի մաքրող նյութ ֆրեշ հոտով KERRY KR-908-3,1450,4,"Քաշ` - 335մլ, Հոտ` - Ֆրեշ, Էֆֆեկտ` - Փայլուն, Պահպանման ժամկետ` - 5 տարի"
Պլասմասի մաքրող նյութ բաբլ մաստակի հոտով KERRY KR-908-2,1400,7,"Քաշ` - 335մլ, Հոտ` - Բաբլ Մաստակ, Էֆֆեկտ` - Փայլուն, Պահպանման ժամկետ` - 5 տարի"
Պլասմասի մաքրող նյութ մոկաչինո հոտով KERRY KR-908-1,1450,4,"Քաշ` - 335մլ, Հոտ` - Մոկաչինո, Էֆֆեկտ` - Փայլուն, Պահպանման ժամկետ` - 5 տարի"
Պլասմասի մաքրող նյութ ելակի հոտով KERRY KR-906-11,2100,7,
Պլասմասի մաքրող նյութ անանասի հոտով KERRY KR-906-4,2100,7,"Քաշ` - 650մլ, Հոտ` - Անանաս, Էֆֆեկտ` - Փայլուն, Պահպանման ժամկետ` - 5 տարի"
