Product Name,Price,Quantity Available,Specifications
Սալիկի կլին TLS22016,2600,22,"Քանակ` - 100 հատ, Երկարություն` - 60 մմ․, Լայնություն` - 8 մմ․"
Սալիկի սեղմակ 2մմ/500 TLS22021,5200,2,"Սալիկի հաստություն` - 4-12 մմ․, Կարի հաստություն` - 2 մմ․, Քանակ` - 500 հատ"
Սալիկի սեղմակ 1․4մմ/500 TLS52020,5200,10,"Սալիկի հաստություն` - 4-12 մմ․, Կարի հաստություն` - 1,4 մմ․, Քանակ` - 500 հատ"
Սալիկի սեղմակ 1մմ/500 TLS42020,5200,12,"Սալիկի հաստություն` - 4-12 մմ․, Կարի հաստություն` - 1 մմ․, Քանակ` - 500 հատ"
Սալիկի սեղմակ 3մմ/100 TLS12019,1300,5,"Սալիկի հաստություն` - 4-12 մմ․, Կարի հաստություն` - 3 մմ․, Քանակ` - 100 հատ"
Սալիկի սեղմակ 2մմ/100 TLS12020,1300,8,"Սալիկի հաստություն` - 4-12 մմ․, Կարի հաստություն` - 2 մմ․, Քանակ` - 100 հատ"
Սալիկի սեղմակ 1․4մմ/100 TLS12016,1300,55,"Սալիկի հաստություն` - 4-12 մմ․, Կարի հաստություն` - 1,4 մմ․, Քանակ` - 100 հատ"
Սալիկի սեղմակ 1մմ/100 TLS12017,1300,33,"Սալիկի հաստություն` - 4-12 մմ․, Կարի հաստություն` - 1 մմ․, Քանակ` - 100 հատ"
Սալիկի ֆիքսատոր 1մմ/20 TLS42021,2200,16,"Կարի հաստություն` - 1 մմ․, Քանակ` - 20 հատ"
Սալիկի անկյունակ TLSA42020,1550,3,Քանակ` - 20 հատ
Սալիկի կլին TLSA32020,1300,2,Քանակ` - 100 հատ
Սալիկի պայտ 2մմ/100 TLSA32021,1200,2,"Կարի հաստություն` - 2 մմ․, Քանակ` - 100 հատ"
Սալիկի պայտ 1․5մմ/100 TLSA22021,1200,2,"Կարի հաստություն` - 1,5 մմ․, Քանակ` - 100 հատ"
Սալիկի պայտ 1մմ/100 TLSA12021,1200,2,"Կարի հաստություն` - 1 մմ․, Քանակ` - 100 հատ"
Սալիկի սեղմակ 1մմ/100 TLS12021,1300,5,"Սալիկի հաստություն` - 12-22 մմ․, Կարի հաստություն` - 1 մմ․, Քանակ` - 100 մմ․"
Սալիկի սեղմակ 0.5մմ/100 TLS22020,1300,30,"Սալիկի հաստություն` - 4-12 մմ․, Կարի հաստություն` - 0,5 մմ․, Քանակ` - 100 հատ"
Սալիկի կլին STAYER 3382-2,350,10,"Հաստություն` - 9 մմ․, Քանակ` - 100 հատ"
Սալիկի կլին STAYER 3382-1,350,22,"Հաստություն` - 6 մմ․, Քանակ` - 50 հատ"
Սալիկի խաչուկ ZUBR 33811-1.5,350,24,"Նյութը` - պլաստմասսա, Հաստություն` - 1,5 մմ․"
Սալիկի խաչուկ ZUBR 33811-3,450,29,"Նյութը` - պլաստմասսա, Քանակ` - 150 հատ, Հաստություն` - 3 մմ․"
Սալիկի խաչուկ ZUBR 33811-2.5,450,54,"Նյութը` - պլաստմասսա, Քանակ` - 150 հատ, Հաստություն` - 2,5 մմ․"
Սալիկի խաչուկ ZUBR 33811-2,470,34,"Նյութը` - պլաստմասսա, Քաշ` - 500 գր․, Հաստություն` - 2 մմ․"
Սալիկի խաչուկ ZUBR 33811-1,370,34,"Նյութը` - պլաստմասսա, Քաշ` - 500 գր․, Հաստություն` - 1 մմ․, Գույն` - սպիտակ"
