Product Name,Price,Quantity Available,Specifications
Վինտիլյատոր VENTS 150VKO TURBO,9950,2,"Լարում` - 220Վ, Հզորություն` - 29Վտ, Պտույտների հաճախականություն` - 2400պ/ր, Արտադրողականություն` - 358մ3/ժ"
Վինտիլյատոր VENTS 150S,9700,1,"Լարում` - 220Վ, Հզորություն` - 24Վտ, Պտույտների հաճախականություն` - 2400պ/ր, Արտադրողականություն` - 292մ3/ժ"
Վինտիլյատոր VENTS 125MA,9900,2,"Լարում` - 220Վ, Հզորություն` - 22Վտ, Պտույտների հաճախականություն` - 2400պ/ր, Արտադրողականություն` - 185մ3/ժ"
Վինտիլյատոր VENTS 125M,6900,7,"Լարում` - 220Վ, Հզորություն` - 16Վտ, Պտույտների հաճախականություն` - 2400պ/ր, Արտադրողականություն` - 185մ3/ժ"
Վինտիլյատոր VENTS 125K1,200,9,"Լարում` - 220Վ, Հզորություն` - 16Վտ, Պտույտների հաճախականություն` - 2400պ/ր, Արտադրողականություն` - 180մ3/ժ"
Վինտիլյատոր VENTS 125D,600,36,"Լարում` - 220Վ, Հզորություն` - 16Վտ, Պտույտների հաճախականություն` - 2400պ/ր, Արտադրողականություն` - 180մ3/ժ"
Վինտիլյատոր VENTS 125 PF,6900,6,"Լարում` - 220Վ, Հզորություն` - 16Վտ, Պտույտների հաճախականություն` - 2400պ/ր, Արտադրողականություն` - 185մ3/ժ"
Վինտիլյատոր VENTS 125 K,8650,3,"Լարում` - 220Վ, Հզորություն` - 16Վտ, Պտույտների հաճախականություն` - 2400պ/ր, Արտադրողականություն` - 180մ3/ժ"
Վինտիլյատոր VENTS 100VKO,4600,1,"Լարում` - 220 Վ, Հզորություն` - 14Վտ, Պտույտների հաճախականություն` - 2300պ/ր, Արտադրողականություն` - 105մ3/ժ"
Վինտիլյատոր VENTS 100S,5200,23,"Լարում` - 220Վ, Հզորություն` - 14Վտ, Պտույտների հաճախականություն` - 2300պ/ր, Արտադրողականություն` - 95մ3/ժ"
Վինտիլյատոր VENTS 100K,6900,3,"Լարում` - 220 Վ, Հզորություն` - 14Վտ, Պտույտների հաճախականություն` - 2300պ/ր, Արտադրողականություն` - 95մ3/ժ"
Վինտիլյատոր 125S TURBO VENTS,7600,1,"Լարում` - 220Վ, Հզորություն` - 24Վտ, Պտույտների հաճախականություն` - 2400պ/ր, Արտադրողականություն` - 226մ3/ր"
Վինտիլյատոր 125 VKO VENTS,5550,5,"Լարում` - 220Վ, Հզորություն` - 16Վտ, Պտույտների հաճախականություն` - 2400պ/ր, Արտադրողականություն` - 185մ3/ր"
Վինտիլյատոր 125 S VENTS,6650,2,"Լարում` - 220Վ, Հզորություն` - 16Վտ, Պտույտների հաճախականություն` - 2400պ/ր, Արտադրողականություն` - 180մ3/ր"
Վինտիլյատոր 100MA ավտոմատ բացովի VENTS,11900,2,"Արտադրողականություն` - 98մ3/ժ, Լարում` - 220Վ, Հզորություն` - 18Վտ, Պտույտների հաճախականություն` - 2300պ/ժ"
