Product Name,Price,Quantity Available,Specifications
Կոնքամանի կափարիչ դանդաղ իջնող (Նաև մանկական) FALA 75471,9900,2,Չափսեր` - 402-462x371x48 մմ․
Տրապ ներժից երկար 40սմ FALA 75375,17200,2,"Հեղեղատարի երկարություն` - 400 մմ., Հեղեղաջրերի լայնություն` - 70 մմ․, Եզրերի լայնություն` - 20 մմ․, Սիֆոնի բարձրություն` - 52 մմ․, Միացման չափս` - 50/40 մմ․"
Տրապ ներժից 50սմ FALA 75369,23000,2,"Հեղեղատարի երկարություն` - 500 մմ., Հեղեղաջրերի լայնություն` - 70 մմ․, Եզրերի լայնություն` - 20 մմ․, Սիֆոնի բարձրություն` - 52 մմ․, Միացման չափս` - 50/40 մմ․"
Տրապ ներժից երկար 80սմ FALA 75372,32000,2,Չափսեր` - 7*84*14 սմ․
Կոնքամանի կափարիչ դանդաղ իջնող FALA 75464,8500,2,Չափսեր` - 412-472x361x44 մմ․
Կոնքամանի կափարիչ FALA 75465,7650,2,Չափսեր` - 402-462x371x48 մմ․
Կոնքամանի կափարիչ դանդաղ իջնող (Նաև մանկական) FALA 75472,9200,1,Չափսեր` - 412-474x361x47 մմ․
Սիֆոնի գլխիկ նիկել FALA 75483,1300,3,
Սիֆոնի գլուխիկ նիկելից FALA 75487,4650,2,"Մանեկի չափս` - 1/4"""
Սիֆոնի գլխիկ լատունից FALA 75484,3990,2,"Մանեկի չափս` - 1/4"", Հումք` - լատունե"
Կոնքամանի կափարիչ դանդաղ իջնող FALA 75469,13800,1,Չափսեր` - 407-467x368x49 մմ․
Տրապ ներժից դուշեվոյ 40սմ FALA 75368,17950,2,"Հեղեղատարի երկարություն` - 400 մմ․, Հեղեղաջրերի լայնություն` - 70 մմ․, Եզրերի լայնություն` - 20 մմ․, Սիֆոնի բարձրություն` - 52 մմ․, Միացման չափս` - 50/40 մմ․"
Տրապ ներժից պտտվող սիֆոնով 50սմ FALA 75345,25600,1,"Հեղեղատարի երկարություն` - 500 մմ․, Հեղեղաջրերի լայնություն` - 70 մմ․, Եզրերի լայնություն` - 20 մմ․, Սիֆոնի բարձրություն` - 56 մմ․, Միացման չափս` - 50/40 մմ․"
ֆասկա հանող ZUBR 23791-36,3700,2,Տրամագիծ ունեցող խողովակների համար` - 4-36 մմ․
Գոֆռե ZUBR 51830-12,900,6,"Երկարություն` - 120 սմ․, Կոյուղու խողովակին միացման տրամագիծ` - 40 մմ․, Ջրահեռացման անցքի տրամագիծ` - 38 մմ․"
Կոնքամանի մուշտուկ գոֆռեով 90° ճկուն ANI-PLAST K712R,4500,2,
Կոնքամանի մուշտուկ գոֆռեով 90° ճկուն ANI-PLAST K719R,3600,3,
Ատվոդ ANI PLAST 110մմ-14 W1228,2500,2,
Ատվոդ 45մմ ANI PLAST M160,500,5,
Խողովակ պայկով PPR 32 ֆոլգա KALDO մետր 22205,1180,227.92,"Պատի հաստություն` - 4 մմ., Ներքին տրամագիծ` - 24 մմ․, Արտաքին տրամագիծ` - 32 մմ․"
Խողովակ պայկով PPR 25 ֆոլգա KALDO մետր 22201,800,720.52,"Պատի հաստություն` - 3,25 մմ․, Ներքին տրամագիծ` - 18,5 մմ․, Արտաքին տրամագիծ` - 25 մմ."
Խողովակ պայկայով PPR-20 ֆոլգա KALDO մետրով 22200,600,782.2,"Պատի հաստություն` - 3 մմ., Ներքին տրամագիծ` - 14 մմ., Արտաքին տրամագիծ` - 20 մմ․"
Խողովակ պայկայով PPR-25 KALDO մետր 22399,460,544.15,"Պատի հաստություն` - 3,5 մմ․, Ներքին տրամագիծ` - 18 մմ., Արտաքին տրամագիծ` - 25 մմ."
Խողովակ պայկայով PPR-20 KALDO մետր 22398,330,647.5,"Պատի հաստություն` - 2,8 մմ․, Ներքին տրամագիծ` - 14,4 մմ․, Արտաքին տրամագիծ` - 20 մմ․"
Խողովակ պայկայով PPR 32 KALDO մետր 22331,790,237,"Պատի հաստություն` - 5,4 մմ․, Ներքին տրամագիծ` - 21,2 մմ․, Արտաքին տրամագիծ` - 32 մմ․"
Խողովակ ջրի մետալոպալստի KALDO 2632 սառը 22277,830,243,"Չափսեր` - 4.3 PE-AL-PE Ø2632, Աշխատանքային ճնշում` - 10 բար, Աշխատանքային ջերմաստիճան` - 65 ºC, Միակցման եղանակ` - սեղմում / ձգում"
Խողովակ ջրի մետալոպալստի KALDO 1620 սառը 22278,370,77,"Չափսեր` - 4.1 PE-AL-PE Ø1620, Աշխատանքային ճնշում` - 10 բար, Աշխատանքային ջերմաստիճան` - 65 ºC, Միակցման եղանակ` - սեղմում / ձգում"
Կոնքամանի կափարիչի հեղույս РБМ СПУ-2,600,1,
Կոնքամանի կափարիչի հեղույս РБМ СПУ-1,500,4,
Կոնքամանի կափարիչ ամորտիզատրով СПУ-2А РБМ,4800,2,
Կոնքամանի կափարիչ СПУ-2 РБМ,3450,1,
Կոնքամանի կափարիչ СПУ-1 РБМ,3600,3,
