Product Name,Price,Quantity Available,Specifications
Ցնցուղի հավաքածու FALA 75663,56000,2,"Բարձրություն` - 96-126 սմ․, Խողովակի երկարություն` - 1,5 մ․"
Ցնցուղի հավաքածու FALA 75665,79000,2,"Բարձրություն` - 87-131 սմ․, Խողովակի երկարություն` - 1,5 մ․, Հումք` - չժանգոտվող պողպատ"
Ցնցուղի կախիչ մետաղական POTATO 32-1,1750,18,
Ցնցուղի կախիչ մետաղական POTATO 32,1750,17,
Ցնցուղի գլխադիր 3 կարգավորմամբ 1/2 FALA 75626,2750,2,"Տրամագիծ` - 100 մմ․, Կարգավորումների քանակ` - 3, Միացման չափս` - 1/2"""
Ցնցուղի գլխադիր FALA 75631,1150,5,"Տրամագիծ` - 60 մմ․, Միացման չափս` - 1/2"""
Ցնցուղի գլխադիր FALA 75627,2250,2,"Տրամագիծ` - 85 մմ․, Կարգավորումների քանակ` - 5, Գույն` - արծաթագույն"
Ցնցուղի ձողի բռնակ շարժական Kaldo Slider 21741,1950,2,"Հումք` - արույր (լատուն), Գույն` - արծաթագույն"
Ցնցուղի գլխադիր KALDO ST-HS126-15W 21701,6650,6,"Հումք` - արույր (լատուն), Գույն` - արծաթագույն"
Ցնցուղի գլխադիր KALDO ST-HS120-20W 21703,7550,6,
Ցնցուղի գլխադիր KALDO ST-HS116-12B 21693,4950,4,"Հումք` - արույր (լատուն), Գույն` - արծաթագույն"
Ցնցուղի գլխադիր FALA 75625,4500,6,"Տրամագիծ` - 118 մմ, Գույն` - արծաթագույն"
Ցնցուղի հավաքածու FALA 75662,52500,2,
Ցնցուղի գլխադիր KALDO ST-HS120-10W 21702,4450,5,"Հումք` - արույր (լատուն), Գույն` - արծաթագույն, սպիտակ"
Ցնցուղի գլխադիր KALDO ST-HS116-12A 21694,4700,4,"Հումք` - արույր (լատուն), Գույն` - արծաթագույն"
Ցնցուղի գլխադիր KALDO ST-HS116-10M 21691,4350,4,"Հումք` - արույր (լատուն), Գույն` - արծաթագույն"
Ցնցուղի գլխադիր KALDO ST-HS116-10A 21692,3800,4,"Հումք` - արույր (լատուն), Գույն` - արծաթագույն"
Ցնցուղի գլխադիր KALDO Pad Plus 21753,3650,3,"Հումք` - արույր (լատուն), Գույն` - արծաթագույն"
Ցնցուղի գլխադիր KALDO Pad 21752,2400,7,"Հումք` - արույր (լատուն), Գույն` - արծաթագույն"
