Product Name,Price,Quantity Available,Specifications
Փական շտուցեռով 3/4 MIRAYA M105102,3800,8,"Միացման տրամագիծ` - 3/4"", Աշխատանքային ջերմաստիճան` - -20°С-ից +75°С."
"Ամերիկանկա MF 1,1/4 MIRAYA M205104",5050,5,"Միացման տրամագիծ` - 1, 1/4"", Միացման տեսակ` - MF, Հումք` - լատուն"
Ամերիկանկա MF 1/2 MIRAYA M205101,1300,13,"Միացման տրամագիծ` - 1/2"", Միացման տեսակ` - MF, Հումք` - լատուն"
Ամերիկանկա MF 2 MIRAYA M205106,9000,1,"Միացման տրամագիծ` - 2"", Միացման տեսակ` - MF, Հումք` - լատուն"
Անկյուն FF 1 MIRAYA M201203,2650,5,"Միացման տրամագիծ` - 1"", Միացման տեսակ` - FF, Հումք` - լատուն"
Անկյուն FF 1/2 MIRAYA M201201,850,8,"Միացման տրամագիծ` - 1/2"", Միացման տեսակ` - FF, Հումք` - լատուն"
Անկյուն FF 3/4 MIRAYA M201202,1400,9,"Միացման տրամագիծ` - 3/4"", Միացման տեսակ` - FF, Հումք` - լատուն"
Անկյուն FM 1 MIRAYA M201103,2650,7,"Միացման տրամագիծ` - 1"", Միացման տեսակ` - FM"
Անկյուն FM 3/4 MIRAYA M201102,1650,19,"Միացման տրամագիծ` - 3/4"", Միացման տեսակ` - FM"
Անցում 1x1/2 MIRAYA M204203,900,3,"Միացման տրամագիծ` - 1"" x 1/2"", Հումք` - լատուն"
Անցում 1x3/4 MIRAYA M204204,1100,8,"Միացման տրամագիծ` - 1"" x 1/2"", Հումք` - լատուն"
Անցում FM 1/2*100 MIRAYA M210112,2000,4,"Միացման տրամագիծ` - 1/2"", Երկարություն` - 100 մմ., Միացման տեսակ` - FM, Հումք` - լատուն"
Անցում FM 1/2*15 MIRAYA M210102,630,2,"Միացման տրամագիծ` - 1/2"", Երկարություն` - 15 մմ., Միացման տեսակ` - FM, Հումք` - լատուն"
Անցում FM 1/2*20 MIRAYA M210103,650,2,"Միացման տրամագիծ` - 1/2"", Երկարություն` - 20 մմ., Միացման տեսակ` - FM, Հումք` - լատուն"
Անցում FM 1/2*30 MIRAYA M210105,800,8,"Միացման տրամագիծ` - 1/2"", Երկարություն` - 30 մմ., Միացման տեսակ` - FM, Հումք` - լատուն"
Անցում FM 1/2*40 MIRAYA M210106,1000,4,"Միացման տրամագիծ` - 1/2"", Երկարություն` - 40 մմ․, Միացման տեսակ` - FM, Հումք` - լատուն"
Անցում FM 1/2*50 MIRAYA M210107,1250,9,"Միացման տրամագիծ` - 1/2"", Երկարություն` - 50 մմ․, Միացման տեսակ` - FM, Հումք` - լատուն"
Անցում FM 1/2*60 MIRAYA M210108,1450,4,"Միացման տրամագիծ` - 1/2"", Երկարություն` - 60 մմ․, Միացման տեսակ` - FM, Հումք` - լատուն"
Անցում FM 1/2*70 MIRAYA M210109,1550,12,"Միացման տրամագիծ` - 1/2"", Երկարություն` - 70 մմ․, Միացման տեսակ` - FM, Հումք` - լատուն"
Անցում FM 1/2*90 MIRAYA M210111,1950,3,"Միացման տրամագիծ` - 1/2"", Երկարություն` - 90 մմ․, Միացման տեսակ` - FM, Հումք` - լատուն"
Անցում FM 1x1/2 MIRAYA M208105,900,12,"Միացման տրամագիծ` - 1"" x 1/2"", Միացման տեսակ` - FM, Հումք` - լատուն"
Անցում FM 1x3/4 MIRAYA M208106,1050,10,"Միացման տրամագիծ` - 1"" x 3/4"", Միացման տեսակ` - FM, Հումք` - լատուն"
Անցում FM 3/4*40 MIRAYA M210118,1400,10,"Միացման տրամագիծ` - 3/4"", Երկարություն` - 40 մմ, Միացման տեսակ` - FM, Հումք` - լատուն"
Անցում FM 3/4x1/2 MIRAYA M208104,800,11,"Միացման տրամագիծ` - 3/4"" x 1/2"", Միացման տեսակ` - FM"
Անցում MF 1/2x3/8 MIRAYA M206103,250,15,"Միացման տրամագիծ` - 1/2"" x 3/8"", Միացման տեսակ` - MF"
Անցում MF 1x1/2 MIRAYA M206105,950,7,"Միացման տրամագիծ` - 1"" x 1/2"", Միացման տեսակ` - MF"
Անցում MF 1x3/4 MIRAYA M206106,700,21,"Միացման տրամագիծ` - 1"" x 3/4"", Միացման տեսակ` - MF"
Անցում MF 3/4x1/2 MIRAYA M206104,400,18,"Միացման տրամագիծ` - 3/4"" x 1/2"", Միացման տեսակ` - MF"
Անցում MM 1x1/2 MIRAYA M203205,950,15,"Միացման տրամագիծ` - 1"" x 1/2"", Միացման տեսակ` - MM"
Անցում MM 1x3/4 MIRAYA M203206,1000,2,"Միացման տրամագիծ` - 1"" x 3/4"", Միացման տեսակ` - MM"
Անցում MM 3/4x1/2 MIRAYA M203204,600,13,"Միացման տրամագիծ` - 3/4"" x 1/2"", Միացման տեսակ` - MM, Հումք` - լատուն"
Բաչոկ 1 MIRAYA M203103,1100,7,"Չափս` - 1"""
"Բաչոկ 1,1/2 MIRAYA M203105",2200,5,"Չափսեր` - 1,1/2"""
"Բաչոկ 1,1/4 MIRAYA M203104",2050,7,"Չափսեր` - 1,1/4"""
Բաչոկ 1/2 MIRAYA M203101,400,18,"Չափս` - 1/2"""
Բաչոկ 2 MIRAYA M203106,3250,1,"Չափս` - 2"", Հումք` - լատուն"
Բաչոկ 3/4 MIRAYA M203102,570,25,"Չափս` - 3/4"", Հումք` - լատուն"
Զագլուշկա M 1 MIRAYA M207103,800,13,"Չափս` - 1"", Միացման տեսակ` - M, Հումք` - լատուն"
Զագլուշկա M 1/2 MIRAYA M207101,350,15,"Չափս` - 1/2"", Միացման տեսակ` - M, Հումք` - լատուն"
Զագլուշկա F 1 MIRAYA M207203,700,12,"Չափս` - 1"", Հումք` - լատուն"
Զագլուշկա F 1/2 MIRAYA M207201,300,18,"Չափս` - 1/2"""
Զագլուշկա F 3/4 MIRAYA M207202,450,20,"Չափս` - 3/4"""
Մուֆտ 1 MIRAYA M204103,1250,10,"Չափս` - 1"", Հումք` - լատուն"
Մուֆտ 1/2 MIRAYA M204101,650,8,"Չափս` - 1/2"", Հումք` - լատուն"
Մուֆտ 3/4 MIRAYA M204102,850,16,"Չափս` - 3/4"", Հումք` - լատուն"
Մուֆտ անցում 3/4x1/2 MIRAYA M204202,750,8,"Չափսեր` - 3/4'' x 1/2'', Հումք` - լատուն"
Փական շտուցեռով 1/2 MIRAYA M105201,4650,3,"Միացման տրամագիծ` - 1/2"", Աշխատանքային ջերմաստիճան` - -20°С-ից +75°С."
Փական ջրի FF 1 MIRAYA M102103,5400,14,"Միացման տրամագիծ` - 1"", Միացման տեսակ` - FF, Աշխատանքային ջերմաստիճան` - -20°С-ից +120°С"
Փական ջրի FF 1/2 MIRAYA M102101,2200,23,"Միացման տրամագիծ` - 1/2"", Միացման տեսակ` - FF, Աշխատանքային ջերմաստիճան` - -20°С-ից +120°С"
Փական ջրի FF 3/4 MIRAYA M102102,3450,13,"Միացման տրամագիծ` - 3/4"", Միացման տեսակ` - FF, Աշխատանքային ջերմաստիճան` - -20°С-ից +120°С"
Փական ջրի FF 1/2 MIRAYA M102201,2200,13,"Միացման տրամագիծ` - 1/2"", Միացման տեսակ` - FF, Աշխատանքային ջերմաստիճան` - -20°С-ից +120°С"
Փական ջրի FF 3/4 MIRAYA M102202,3300,14,"Միացման տրամագիծ` - 3/4"", Միացման տեսակ` - FF, Աշխատանքային ջերմաստիճան` - -20°С-ից +120°С"
Փական ջրի FM 1 MIRAYA M101103,5950,18,"Միացման տրամագիծ` - 1"", Միացման տեսակ` - FM, Աշխատանքային ջերմաստիճան` - -20°С-ից +120°С"
Փական ջրի FM 1/2 MIRAYA M101101,2350,5,"Միացման տրամագիծ` - 1/2"", Միացման տեսակ` - FM, Աշխատանքային ջերմաստիճան` - -20°С-ից +120°С"
Փական ջրի FM 3/4 MIRAYA M101102,3600,2,"Միացման տրամագիծ` - 3/4"", Միացման տեսակ` - FM, Աշխատանքային ջերմաստիճան` - -20°С-ից +120°С"
Փական ջրի ամերիկ FM 1 MIRAYA M104103,7400,5,"Միացման տրամագիծ` - 1"", Միացման տեսակ` - FM, Աշխատանքային ջերմաստիճան` - -20°С-ից +120°С"
Փական ջրի ամերիկ FM 1/2 MIRAYA M104101,3000,6,"Միացման տրամագիծ` - 1/2"", Միացման տեսակ` - FM, Աշխատանքային ջերմաստիճան` - -20°С-ից +120°С"
Փական ջրի ամերիկ FM 3/4 MIRAYA M104102,5150,4,"Միացման տրամագիծ` - 3/4"", Միացման տեսակ` - FM, Աշխատանքային ջերմաստիճան` - -20°С-ից +120°С"
Փական ջրի ամերիկ անկ FM 1/2 MIRAYA M104401,3250,5,"Միացման տրամագիծ` - 1/2"", Միացման տեսակ` - FM, Աշխատանքային ջերմաստիճան` - -20°С-ից +120°С"
Փական ջրի ամերիկ FM 3/4 MIRAYA M104402,5150,5,"Միացման տրամագիծ` - 3/4"", Միացման տեսակ` - FM, Աշխատանքային ջերմաստիճան` - -20°С-ից +120°С"
Փական ջրի FM 1 MIRAYA M101203,5850,7,"Միացման տրամագիծ` - 1"", Միացման տեսակ` - FM, Աշխատանքային ջերմաստիճան` - -20°С-ից +120°С"
Փական ջրի FM 1/2 MIRAYA M101201,2300,12,"Միացման տրամագիծ` - 1/2"", Միացման տեսակ` - FM, Աշխատանքային ջերմաստիճան` - -20°С-ից +120°С"
Փական ջրի սանիտարակ 1/2x3/4 MIRAYA M505101,1750,8,Միացման տրամագիծ` - 1/2''M x 3/4''M
Տրայնիկ 90° MFF 1/2 MIRAYA M202501,1200,2,"Միացման տրամագիծ` - 1/2"", Միացման տեսակ` - MFF"
Տրայնիկ 90° FMF 1/2 MIRAYA M202301,1350,10,"Միացման տրամագիծ` - 1/2"", Միացման տեսակ` - FMF"
Տրայնիկ պեր 90° FFF 3/4x1/2x3/4 MIRAYA M202201,1750,2,"Միացման տրամագիծ` - 3/4"" x 1/2"" x 3/4 "", Միացման տեսակ` - FFF"
Տրայնիկ 90° MMM 1/2 MIRAYA M202401,1200,9,"Միացման տրամագիծ` - 1/2"", Միացման տեսակ` - MMM"
Տրայնիկ 90° FFM 1/2 MIRAYA M202701,1300,1,"Միացման տրամագիծ` - 1/2"", Միացման տեսակ` - FFM"
Ֆիլտր ջրի F1 MIRAYA M301103,5850,7,"Միացման տրամագիծ` - 1"", Միացման տեսակ` - F, Աշխատանքային ջերմաստիճան` - -20°С-ից +120°С"
Փական ARCO 1/2-3/4 KALDO 21177,3000,48,Չափսեր` - 1/2-3/4
Փական 1/2 FF KALDO 22652,2350,1,"Չափս` - 1/2""FM"
Շտուցեռ մի կողմե զսպանակով 8մմ շլանգի համար YATO YT-24102,800,3,Տրամագիծ` - 8 մմ․
Շտուցեռ բրոնզից ունիվերսալ 6մմ YATO YT-2371,850,3,"Տրամագիծ` - 6 մմ, Առավելագույն աշխատանքային ճնշում` - 10 բար"
Փականջրի Q1620*1/2F KALDO 21542,3900,11,
Փական ջրի Q1620-1620 KALDO 21540,4850,7,
Փական ջրի Q1216-1216 KALDO 21541,4250,14,
Փական ARCO 1/2-1/2 KALDO 21167,2600,109,
