Product Name,Price,Quantity Available,Specifications
Հորի պոմպ 280վտ STHOR 79943,22500,2,"Հզորություն` - 280 Վտ․, Լարում` - 230 Վ․, Հաճախականություն` - 50 Հց․, Ջրի ջերմաստիճան` - 35˚С, Արտադրողականություն` - 1020 լ/ժ, Ջրի միացման տրամագիծ` - 1/2"", Անկման բարձրություն` - 68 մ․, Ընկղմման խորություն` - 5 մ․"
Պոմպ ջրի 370վտ YATO YT-85310,21000,2,"Հզորություն` - 370 Վտ․, Լարում` - 220-240 Վ․, Հաճախականություն` - 50 Հց․, Խորություն` - 35 մ․, Արտադրողականություն` - 35 լ/րոպե"
Պոմպ ջրի 550Վ YATO YT-85311,38950,1,"Հզորություն` - 550 Վտ․, Լարում` - 220 Վ․, Հաճախականություն` - 50 Հց․, Խորություն` - 55 մ․"
Պոմպ ջրի 750Վ YATO YT-85312,36950,2,"Հզորություն` - 750 Վտ․, Լարում` - 220 Վ․, Հաճախականություն` - 50 Հց․, Խորություն` - 65 մ․, Արտադրողականություն` - 3000 լ/ժամ"
Պոմպ ջրի բենզինով 1000լ CROWN CT35002,136000,1,"Ներծծման հզորություն` - 8 մ․, Ծախս` - 1000 լ/րոպե"
Պոմպ ջրի բենզինով 550լ CROWN CT35001,122500,1,"Վառելիքի տեսակ` - բենզին, Ներծծման հզորություն` - 8 մ․, Ծախս` - 550 լ/րոպե"
Պոմպ հորի 12Վտ CROWN CT35047,110000,1,"Առավելագույն ջրի մղում` - 44 մ․, Լարում` - 220 Վ, Նոմինալ հզորություն` - 1200 Վտ, Անցած մասնիկների չափ` - 0,5 մմ․, Ջրի տեսակ` - մաքուր, Հեղուկի թույլատրելի ջերմաստիճան` - 1°C -ից սկսած, Միացման տրամագիծ` - 1 - ½"", Էլեկտրական լարերի երկարություն` - 10 մ․"
Պոմպ հորի պապլավոկով 12Վտ CROWN CT35046F,81850,1,"Ընկղման խորություն` - 7 մ․, Առավելագույն ջրի մղում` - 44 մ․, Լարում` - 220/230 Վ, Նոմինալ հզորություն` - 1200 Վտ, Անջատման տեսակ` - լողացող անջատիչ, Ջրի տեսակ` - մաքուր, Անցած մասնիկների չափ` - 0,5 մմ․, Հեղուկի թույլատրելի ջերմաստիճան` - 1°C-ից +35°C, Պոմպի տրամագիծ` - 185 մմ․, Միացման տրամագիծ` - 1"", Էլեկտրական լարերի երկարություն` - 10 մ․, Արտադրողականություն` - 108.3 լ/րոպե"
Պոմպի ավտոմատիկա CROWN PS-01,18350,2,"Լարում` - 220-240 Վ, Հաճախականություն` - 50 Հց, Հզորություն` - 10 բար, Միացման խողովակի տրամագիծ` - 1"""
Պոմպ ջրի KALDO QB-70 36072,36000,5,"Հզորություն` - 0,55 կՎտ, Մուտքի/ ելքի անցքերը` - 1x1"", Առավել մղում` - 50 լ/րոպե, Առավել բարձրություն` - 50 մ․, Քաշ` - 9,7 կգ․"
Պոմպ ջրի KALDO QB-60 36083,17500,8,"Հզորություն` - 0.37 կՎտ, Մուտքի/ ելքի անցքերը` - 1x1"", Առավել մղում` - 35 լ/րոպե, Առավել բարձրություն` - 37 մ․, Քաշ` - 6 կգ․"
"Ջրի պոմպի ավտոմատ անջատիչ TPC-10A 1,5բար",9800,5,"Միացման տրամագիծ` - 1"", Մեկնարկային ճնշում` - 1,5 բար, Առավելագույն ճնշում` - 10 բար, Լարում` - 220Վ / 50Հց, Հզորություն` - 1,1 կՎտ, Ջրի առավելագույն հոսք` - 10 մ³/ժ"
"Պոմպ ջրի Թայֆու QB70 0,55kw 0.75HP",35000,2,"Հզորություն` - 0,55 կՎտ, Ներծծման խորություն` - 8 մ․, Արտադրողականություն` - 2,7 մ³/ժ"
"Պոմպ ջրի Թայֆու QB60 0,37kw 0.5HP",75600,1,"Հզորություն` - 0,37 կՎտ, Ներծծման խորություն` - 8 մ․, Արտադրողականություն` - 35 լ/րոպե"
Պոմպ մարտկոցով ջրի և յուղի համար 18Վ YATO YT-85290,81800,1,"Լարում` - 18 Վ, Հզորություն` - 380 Վտ, Մարտկոցի հզորություն` - 3000 mAh, Առավելագույն մղում` - 1800 լ/ժ․, Առավելագույն բարձրություն` - 22 մ․, Ջրի միացման տրամագիծ` - G3/4, Մարտկոցի տեսակ` - Li-Ion, Լիցքավորման ժամանակ` - 1,5 ժամ, Ներծծման խորություն` - 9 մ․, Հեղուկի ջերմաստիճան` - 35˚C"
Պոմպի ավտոմատիկա KALDO SK-X-15 36080,13500,9,
Պոմպի ավտոմատիկա KALDO SK-13A 36081,15000,9,
