Product Name,Price,Quantity Available,Specifications
Լվացարան ձախ անցքով Ֆորում-45,11000,2,
Լվացարան աջ անցքով Ֆորում-45,11000,2,
Լվացարան ձախ անցք ԲՐԻԶ-40,12900,2,
Լվացարան 2 դարակով Dreya 86,176900,1,
Լվացարան 2 դարակով Laym 60,130000,1,"Պահարանի չափսեր` - 442 x 576 x 800 մմ․, Լվացարանի չափսեր` - 245 x 610 մմ."
Լվացարան ԱՆԻՄՈ-55+պատվանդան,24500,1,Չափսեր` - 550 x 450 x 205 մմ․
Լվացարան մետաղական փայլատ HB5104,37150,1,Չափսեր` - 78*43*18 մմ․
Լվացարան մետաղական HB5104,37150,1,Չափսեր` - 78*43*18 մմ․
Լվացարան ներժ փայլատ 1տեղ չորանոցով HB7108,27000,1,Չափսեր` - 77*50 մմ․
Լվացարան ներժ փայլուն 2տեղ HB7106,37400,1,Չափսեր` - 84*44*18 մմ․
Լվացարան ներժ փայլատ 2տեղ HB7106,37400,1,Չափսեր` - 84*44*18 մմ․
Ջրահեռացման բակ պլաստմաս РБМ,9600,1,"Չափսեր` - 13 х 35 х 40 սմ․, Ծավալ` - 9 լ"
Ջրահեռացման բակ առամց գոֆրե РБМ,10550,1,
Ջրահեռացման բակ գոֆրեյով РБМ,10550,1,
Լվացարան ՆԵՈ-50+պատվանդան,37550,1,"Չափսեր` - 50x43x17.2 սմ, Քաշ` - 13,45 կգ"
Լվացարան ԻՐԻՍ-36 Առանց ոտք,15400,1,"Չափեր` - 35,4x36x15, Քաշ` - 6,75 կգ"
Լվացարան ԲՐԻԶ-50+պատվանդան,23800,2,"Չափեր` - 50x35.5x16.9, Քաշ` - 8,3կգ"
Լվացարան ԱՆԻՄՈ-50+պատվանդան,23500,1,"Չափեր` - 50x39.2x19 սմ, Քաշ` - 10,5 կգ"
Լվացարան ԱՆԻՄՈ-40 Առանց ոտք,1350,1,"Լայնություն` - 39,5 սմ, Խորություն` - 30,5 սմ, Բարձրություն` - 15,5 սմ"
