Product Name,Price,Quantity Available,Specifications
Ծորակ STEELY 4` FALA 75805,27600,2,"Հումք` - չժանգոտվող պողպատ, Բարձրություն` - 43 մմ․"
Ծորակ ճկվող FALA 75675,47000,2,
Ծորակ լվացարանի STEELY 2` FALA 75802,17000,2,"Հումք` - չժանգոտվող պողպատ, Բարձրություն` - 16 սմ․"
Ծորակ ջրատաքացուցիչով 3կվ FALA 75924,19200,2,"Հզորություն` - 3000 Վտ․, Լարում` - 230 Վ․, Հաճախականություն` - 50 Հց․, Երկարություն` - 180 մմ․, Ցնցուղի խողովակի երկարություն` - 1,5 մ․, Մալուխի երկարություն` - 1,2 մ․, Ջրի ճնշում` - 0.1 - 0.6 ՄՊա"
Ծորակ կարապ գայկայով POTATO 5109-2,11200,2,
Ծորակ ցնցուղի միացումով 35մմ ROEGEN RB100A,16600,1,
Ծորակ 35մմ ROEGEN RB001A,16100,1,
Ծորակ պատի 2տեղ 35մմ ROEGEN RE000A,14800,3,
Ծորակ լվացարանի 2տեղ 35մմ ROEGEN RC402A,1250,5,
Ծորակ լվացարանի 2տեղ 35մմ ROEGEN RB402A,8550,2,
Ծորակ լվացարանի 2տեղ 23սմ ROEGEN RE014A,12800,2,
Ծորակ լվացարանի 1տեղ 1/2 ROEGEN RP533A,2900,1,"Երկարություն` - 135 մմ․, Բարձրություն` - 220 մմ․"
Ծորակի միջուկ 35մմ պլասմասե POTATO 50-1,700,10,
Ծորակի միջուկ 35մմ լատունե POTATO 50-8,750,11,
Ծորակի միջուկ 22մմ լատունե POTATO 50-2,700,20,
Ծորակի միջուկ 25մմ պլասմասե POTATO 50-3,650,8,
Ծորակի միջուկ 1/2 կես պտույտ POTATO 51-5,1200,4,"Չափս` - 1/2"""
Ծորակի միջուկ 1/2 կես պտույտ POTATO 51-2,800,8,"Չափս` - 1/2"""
Ծորակի միջուկ 1/2 կես պտույտ POTATO 51-1,850,6,"Չափս` - 1/2"""
Ծորակի միջուկ 1/2 POTATO 51-3,1450,2,"Չափս` - 1/2"""
Ծորակ պատի 2տեղ POTATO 4754-6,9200,4,"Երկարություն` - 194 մմ․, Բարձրություն` - 189 մմ․"
Ծորակ գայկայով POTATO 4476,18500,3,"Երկարություն` - 175 մմ․, Բարձրություն` - 352 մմ․"
Ծորակ գայկայով POTATO 10306,18800,3,"Երկարություն` - 90 մմ․, Բարձրություն` - 162 մմ․"
Ծորակ կարապ շարժական գլխիկով POTATO 58201,11500,5,"Երկարություն` - 235 մմ․, Բարձրություն` - 285 մմ․"
Ծորակ կարապ POTATO 4302,12250,1,"Երկարություն` - 160 մմ․, Բարձրություն` - 349 մմ․"
Ծորակ խոհանոցի ցնցուղ POTATO 6021,14500,1,Երկարություն` - 194 մմ․
Ծորակ խոհանոցի 25սմ գայկով POTATO 4909,12900,2,Երկարություն` - 240 մմ․
Ծորակ խոհան 20սմ գայկով POTATO 4918,8900,2,Երկարություն` - 280 մմ․
Ծորակ խոհանոցի 15սմ գայկով POTATO 4518-2,8700,1,Երկարություն` - 150 մմ․
Ծորակ ցնցուղով POTATO 1409,21500,1,
Ծորակ 2 տեղ POTATO 46304,8900,3,
Ծորակ 2 տեղ պատի POTATO 46301,9500,4,Երկարություն` - 254 մմ․
Ծորակ 1տեղ լվացարանի POTATO 4165,4450,9,
Ծորակ 1 տեղ պատի POTATO 4178,3100,6,Երկարություն` - 144 մմ․
Ծորակ լոգասենյակի ցնցուղի անջատիչով POTATO 3018,22900,1,
Ծորակ լոգարանի POTATO 2259,21600,1,Երկարություն` - 384 մմ․
Ծորակ գեյզեր 3000վտ LCD էկրանով FALA 75921,14500,3,"Երկարություն` - 180 մմ․, Հզորություն` - 3000 Վտ․, Լարում` - 230 Վ․, Հաճախականություն` - 50 Հց․, Լարի երկարություն` - 1,2 մ․, Կարգավորելի` - 360˚, Ջրի միացման տրամագիծ` - 1/2"", Ջրամատակարարման ճնշում` - 0,1-0,6 ՄՊա, Ներկառուցված ֆիլտր` - այո"
Ծորակ ճկվող FALA 75706,15600,1,"Գույն` - սպիտակ, Խողովակի մացման տրամագիծ` - 3/8"", Խողովակի երկարություն` - 50 սմ․"
Ծորակ լվաց KALDO ZF390 7H39-M7313 26428,12500,2,Գույն` - արծաթագույն
Ծորակ լվաց KALDO ZF390 1H35 26424,15000,1,Գույն` - արծաթագույն
Ծորակ լվաց KALDO ZF326 1626 26324,15500,5,Գույն` - արծաթագույն
Ծորակ՝ ճկվող FALA 75705,19500,1,
Ծորակ՝ ճկվող FALA 75711,19300,3,
Ծորակ՝ ճկվող FALA 75707,19300,3,
Ծորակ՝ ճկվող FALA 75671,21450,4,Մոնտաժի մեթոդ` - Պատի վրա
Ծորակ՝ ճկվող FALA 75670,22900,3,Մոնտաժի մեթոդ` - Պատի վրա
Ծորակ՝ պատի KALDO ZF862 5001-M7116 26402,9850,1,"Հումք` - արույր (լատուն), Քարթրիջ` - կերամիկական, Գույն` - արծաթագույն"
Ծորակ՝ խոհանոցի KALDO MUGLER HB7126-15սմ 26106,7900,8,"Հումք` - արույր (լատուն), Քարթրիջ` - կերամիկական, Գույն` - արծաթագույն"
Ծորակ՝ խոհանոցի KALDO MUGLER HB7126 26160,7700,5,"Հումք` - արույր (լատուն), Քարթրիջ` - կերամիկական, Գույն` - արծաթագույն"
