Product Name,Price,Quantity Available,Specifications
Ծորակի ճկախողովակ 40սմ FALA 71841,850,15,"Երկարություն` - 400 մմ․, Առավելագույն աշխատանքային ճնշում` - 70 C, Առավելագույն ջերմաստիճան` - 1 ՄՊա, Չափսեր` - G1/2(F) x M10x1 (17 մմ․ կարճ), Ներքին տրամագիծ` - 8 մմ․"
Ճկախողովակ 30սմ FALA 71800,950,6,"Երկարություն` - 300 մմ․, Խողովակի արտաքին տրամագիծ` - 12 մմ․, Խողովակի ներքին տրամագիծ` - 8 մմ․, Միացման չափս` - G1/2(F) x G1/2(F)"
Ճկախողովակ 40սմ FALA 71801,1100,8,"Երկարություն` - 400 մմ․, Խողովակի արտաքին տրամագիծ` - 12 մմ․, Խողովակի ներքին տրամագիծ` - 8 մմ․, Միացման չափս` - G1/2(F) x G1/2(F)"
Ճկախողովակ 60սմ FALA 71803,1200,11,"Երկարություն` - 600 մմ․, Խողովակի արտաքին տրամագիծ` - 12 մմ․, Խողովակի ներքին տրամագիծ` - 8 մմ․, Միացման չափս` - G1/2(F) x G1/2(F)"
Ծորակի ճկախողովակ 50սմ FALA 71842,950,9,"Երկարություն` - 500 մմ․, Խողովակի ներքին տրամագիծ` - 8 մմ․, Միացման չափս` - G1/2(F) x M10x1 (17 մմ կարճ)"
Ծորակի ճկախողովակ 80սմ FALA 71850,1300,12,"Երկարություն` - 800 մմ․, Խողովակի ներքին տրամագիծ` - 8 մմ․, Միացման չափս` - G1/2(F) x M10x1 (50 մմ․ երկարությամբ)"
Ցնցուղի խողովակ 1.5մ FALA 75645,1200,4,"Երկարություն` - 1,5 մ․, Միացման չափս` - 1/2"", Հումք` - չժանգոտվող պողպատ"
Ցնցուղի խողովակ 2մ FALA 75647,1400,2,"Երկարություն` - 2 մ․, Միացման չափս` - 1/2"", Հումք` - չժանգոտվող պողպատ"
"Ցնցուղի խողովակ ձգվող 1,25-1,7մ FALA 75650",2250,5,"Երկարություն` - 1,25-1,75 մ․, Միացման չափս` - 1/2"""
Ցնցուղի խողովակ ձգվող 1.5-2մ FALA 75651,2450,5,"Երկարություն` - 1,5 - 2 մ․, Միացման չափս` - 1/2"""
"Ցնցուղի խողովակ սպիտակ-խրոմ PVC 1,5մ FALA 75652",1500,3,"Երկարություն` - 1,5 մ․, Միացման չափս` - 1/2"", Գույն` - սպիտակ-խրոմ"
Ցնցուղի խողովակ սպիտակ-խրոմ PVC 2մ FALA 75653,1800,2,"Երկարություն` - 2 մ․, Միացման չափս` - 1/2"", Գույն` - սպիտակ-խրոմ"
Ցնցուղի խողովակ սիլիկոնային մետալիկ 1.5մ FALA 75654,3000,4,"Երկարություն` - 1,5 մ․, Միացման չափս` - 1/2"""
Ցնցուղի խողովակ սիլիկոնային մետալիկ 2մ FALA 75655,3850,4,"Երկարություն` - 2 մ․, Միացման չափս` - 1/2"""
Խողովակ մետաղական 1/2FF 80սմ RF-304 KALDO 22971 21683,1750,3,"Չափսեր` - 1/2""Fx1/2""F- 80 սմ․, Աշխատանքային ճնշում` - 16 բար, Աշխատանքային ջերմաստիճան` - 100 ºC, Ներքին տարամագիծ` - 12 մմ․, Արտաքին տրամագիծ` - 18 մմ․"
Խողովակ մետաղական RF-304 100սմ KALDO 21719,1850,1,"Չափսեր` - 1/2""Fx1/2""F- 100 սմ․, Աշխատանքային ճնշում` - 16 բար, Աշխատանքային ջերմաստիճան` - 100 ºC, Ներքին տարամագիծ` - 12 մմ․, Արտաքին տրամագիծ` - 18 մմ․"
Խողովակ լվացքի մեքենայի ռետինե 4մ 966 KALDO 21689,2750,8,"Չափսեր` - 3/4""Fx3/4""F- 4 մ․, Աշխատանքային ճնշում` - 9 բար, Աշխատանքային ջերմաստիճան` - 60 ºC"
Խողովակ լվացքի մեքենայի ռետինե 3մ 942 KALDO 21687,2200,10,"Չափսեր` - 3/4""Fx3/4""F- 3 մ․, Աշխատանքային ճնշում` - 9 բար, Աշխատանքային ջերմաստիճան` - 60 ºC"
Խողովակ լվացքի մեքենայի ռետինե 2մ 941 KALDO 21686,1750,18,"Չափսեր` - 3/4""Fx3/4""F- 2 մ․, Աշխատանքային ճնշում` - 9 բար, Աշխատանքային ջերմաստիճան` - 60 ºC"
"Խողովակ լվացքի մեքենայի ռետինե 1,5մ 985 KALDO 22848",1550,15,"Չափսեր` - 3/4""Fx3/4""F- 1,5 մ․, Աշխատանքային ճնշում` - 9 բար, Աշխատանքային ջերմաստիճան` - 60 ºC"
Խողովակ գիպկի ծորակի 100սմ KALDO 22343,1800,32,"Չափսեր` - 1/2""FxM10-100 սմ․, Աշխատանքային ճնշում` - 10 բար, Աշխատանքային ջերմաստիճան` - 90 ºC"
Ճկախողովակ՝ բանալիով A90սմ KALDO 22944,1950,54,"Չափսեր` - 1/2""Fx1/2""F- 90 սմ․, Աշխատանքային ճնշում` - 10 բար, Աշխատանքային ջերմաստիճան` - 90 ºC"
Ճկախողովակ՝ բանալիով A250 KALDO 22945,4400,4,"Չափսեր` - 1/2""Fx1/2""F- 250 սմ․, Աշխատանքային ճնշում` - 10 բար, Աշխատանքային ջերմաստիճան` - 90 ºC"
Ճկախողովակ՝ բանալիով A200 KALDO 21651,3500,8,"Չափսեր` - 1/2""Fx1/2""F- 200 սմ․, Աշխատանքային ճնշում` - 10 բար, Աշխատանքային ջերմաստիճան` - 90 ºC"
Ճկախողովակ՝ բանալիով A150 KALDO 21650,2650,10,"Չափսեր` - 1/2""Fx1/2""F- 150 սմ․, Աշխատանքային ճնշում` - 10 բար, Աշխատանքային ջերմաստիճան` - 90 ºC"
Խողովակ գիպկի ծորակի 50սմ KALDO 22645,1350,39,"Չափսեր` - 1/2""FxM10-50 սմ․, Աշխատանքային ճնշում` - 10 բար, Աշխատանքային ջերմաստիճան` - 90 ºC"
Խողովակ գիպկի ծորակի 40սմ KALDO 22271,1300,66,"Չափսեր` - 1/2""FxM10-40 սմ․, Աշխատանքային ճնշում` - 10 բար, Աշխատանքային ջերմաստիճան` - 90 ºC"
Դուշի շլանգ KALDO 1/2FF 200սմ սպիտակ 22866,2950,8,"Չափսեր` - 1/2""F x 1/2""F - 200 սմ, Գույն` - սպիտակ"
Դուշի շլանգ KALDO 1/2FF 150սմ սպիտակ 22865,3150,7,"Չափսեր` - 1/2""F x 1/2""F - 150 սմ․, Գույն` - սպիտակ"
Տռոս կոյուղու 6մմ-3մ VOREL 55542,1250,2,"Երկարություն` - 3 մ., Տրամագիծ` - 6 մմ."
Գազի ճկախողովակ BERENT BT9197,550,6,Չափսեր` - 10մմ - 30մ
Գազի ճկախողովակ BERENT BT9194,500,33,Չափսեր` - 8մմ - 30մ
Գազի ճկախողովակ BERENT BT9195,550,38.5,Չափսեր` - 10մմ - 30մ
Դուշի շլանգ 2մ FALA 75649,2300,1,"Չափսեր` - 1/2""F x 1/2""F - 2մ․"
Դուշի շլանգ 1.5մ FALA 75648,2000,5,"Չափսեր` - 1/2""F"" x 1/2""F""` 150սմ"
Ծորակի ճկախողովակ երկար FALA 71848,1150,10,"Չափսեր` - 1/2""FxM10-50սմ․, Աշխատանքային ճնշում` - 10 բար, Աշխատանքային ջերմաստիճան` - 90 ºC, Արտաքին տրամագիծ` - 12 մմ․, Ներքին տրամագիծ` - 8 մմ․"
Ծորակի ճկախողովակ երկար FALA 71847,1100,11,"Չափսեր` - 1/2""FxM10-40սմ․, Աշխատանքային ճնշում` - 10 բար, Աշխատանքային ջերմաստիճան` - 90 ºC, Արտաքին տրամագիծ` - 12 մմ․, Ներքին տրամագիծ` - 8 մմ․"
Ծորակի ճկախողովակ կարճ FALA 71844,1250,9,"Չափսեր` - 1/2""F x M10-80սմ․, Աշխատանքային ճնշում` - 10 բար, Աշխատանքային ջերմաստիճան` - 90 ºC, Արտաքին տրամագիծ` - 12 մմ․, Ներքին տրամագիծ` - 8 մմ․"
