Product Name,Price,Quantity Available,Specifications
Անկյունակ 65*50*130 ZUBR 310156-65,550,83,"Չափսեր` - 65 х 50 х 130 մմ․, Անցքի տրամագիծ մեխի համար` - 5 - 7 մմ․, Անցքի տրամագիծ անկեռի համար` - 11 մմ․"
Ամրակ տափակ պատուհանի 90 120-120-35-2մմ ZUBR 31044-120,170,1,"Չափսեր` - 120 x 120 x 2 մմ․, Հումք` - պողպատ"
Ամրակ տափակ 90*40-2մմ ZUBR 31038-90,150,142,"Երկարություն` - 90 մմ․, Լայնություն` - 40 մմ․, Հաստություն` - 2 մմ․, Հումք` - պողպատ"
Ամրակ տափակ 75*40-2մմ ZUBR 31038-75,100,103,"Երկարություն` - 75 մմ., Լայնություն` - 40 մմ․, Հաստություն` - 2 մմ․, Հումք` - պողպատ"
Ամրակ տափակ 100*200 ZUBR 310256-100-200,650,42,Չափսեր` - 100 x 200 մմ.
Ամրակ /25մ/ տափակ մետրով 20*0.55մմ ZUBR 310248,250,36,"Հաստություն` - 0,55 մմ․, Լայնություն` - 20 մմ., Երկարություն` - 25 մ․, Անցքերի տրամագիծ մեխերի համար` - 3,5 մմ․"
Ամրակ տափակ մետրով 12*0.75մմ ZUBR 310247-12-75,250,25,"Հաստություն` - 0,75 մմ․, Լայնություն` - 12 մմ․, Երկարություն` - 25 մ․, Անցքերի տրամագիծ մեխերի համար` - 3 մմ․, Անցքերի տրամագիծ անկեռի համար` - 6 մմ․"
Ամրակ տափակ մետրով 12*0.5մմ -25մ ZUBR 310247-12-05,100,4.8,"Հաստություն` - 0,5 մմ․, Լայնություն` - 12 մմ․, Երկարություն` - 25 մ․, Անցքերի տրամագիծ մեխերի համար` - 3 մմ․, Անցքերի տրամագիծ անկեռի համար` - 6 մմ․"
"Ամրակ տափակ մետրով, ալիքաձև 12*0.5մմ ZUBR 310246-17",200,70.5,"Հաստություն` - 0,5 մմ․, Լայնություն` - 17 մմ․, Երկարություն` - 25 մ․, Անցքերի տրամագիծ` - 6 մմ․"
"Ամրակ տափակ մետրով,ալիքաձև 12*0.5մմ ZUBR 310246-12",150,28,"Հաստություն` - 0,5 մմ․, Լայնություն` - 12 մմ․, Երկարություն` - 25 մ․, Անցքերի տրամագիծ` - 4,5 մմ․"
Ամրակ տափակ մետրով 60*2մմ ZUBR 310245-060,1900,15,"Հաստություն` - 2 մմ․, Լայնություն` - 60 մմ․, Երկարություն` - 10 մ․"
Ամրակ տափակ մետրով 40*2մմ ZUBR 310245-040,1500,13.75,"Հաստություն` - 2 մմ․, Լայնություն` - 40 մմ․, Երկարություն` - 10 մ․"
Անկյունակ 80*80*40 ZUBR 310226-080-080,450,90,Չափսեր` - 80 х 80 х 40 մմ․
Ամրակ տափակ 40*150-90 ZUBR 310166-090,290,21,"Երկարություն` - 150 մմ., Լայնություն` - 40 մմ․"
Ամրակ տափակ 40*120-60 ZUBR 310166-060,250,8,"Երկարություն` - 120 մմ․, Լայնություն` - 40 մմ․, Հաստություն` - 2 մմ․, Բարձրություն` - 5 մմ․"
Անկյունակ ճեղքով 125*50*40 ZUBR 310166,350,12,Չափսեր` - 125 х 50 х 40 մմ․
Ամրակ տափակ 100*35 ZUBR 310236-100-35,120,128,"Չափսեր` - 100 х 35 մմ․, Մեխի համար անցքերի տրամագիծ` - 5 մմ․, Խարիսխի անցքի տրամագիծ` - 9 մմ․"
Կահույքի անկյուն (35*90*90) ZUBR 310126-35-090,250,142,"Չափսեր` - 35 х 90 х 90 մմ․, Մեխի համար անցքերի տրամագիծ` - 5 մմ․, Խարիսխի անցքի տրամագիծ` - 9 մմ․"
Կահույքի անկյուն (35*90*90) ZUBR 310116-35-090,350,87,"Չափսեր` - 35 х 90 х 90 մմ․, Մեխի համար անցքերի տրամագիծ` - 5 մմ․, Խարիսխի անցքի տրամագիծ` - 9 մմ․"
Կահույքի անկյուն 35*40*140 ZUBR 310156-35,350,94,"Չափսեր` - 35 х 40 х 140 մմ․, Մեխի համար անցքերի տրամագիծ` - 5 մմ․, Խարիսխի անցքի տրամագիծ` - 9 մմ․"
Կահույքի անկյուն (60*80*80) ZUBR 310206-060-080,350,169,Չափսեր` - 60 х 80 х 80 մմ․
Կահույքի անկյուն /55*70*70/ ZUBR 310126-55-070,270,117,"Չափսեր` - 55 х 70 х 70 մմ․, Մեխի համար անցքերի տրամագիծ` - 5 մմ․, Խարիսխի անցքի տրամագիծ` - 11 մմ․"
Ամրակ տափակ 60*120 ZUBR 310256-060-120,230,65,Չափսեր` - 60 х 120 մմ․
Կահույքի անկյուն /35*50*50/ 45° ZUBR 310136-35-050,200,104,Չափսեր` - 35 х 50 х 50 մմ․
Կահույքի անկյուն տափակ (40*120) ZUBR 310256-040-120,200,163,Չափսեր` - 40 х 120 մմ․
Կահույքի անկյուն (40*40*40) ZUBR 310206-040-040,140,112,Չափսեր` - 40 х 40 х 40 մմ․
Կահույքի անկյուն 60*40*40 ZUBR 310206-060-040,250,149,Չափսեր` - 60 х 40 х 40 մմ․
Կահույքի անկյուն ZUBR 310256-040-080,120,103,"Չափսեր` - 40х80 մմ․, Նյութ` - պողպատ"
Կահույքի անկյուն ZUBR 310145-070,250,96,"Չափսեր` - 55х70х35 մմ․, Նյութ` - պողպատ"
Կահույքի անկյուն ZUBR 310156-55,350,91,"Չափսեր` - 55 х 50 х 90 մմ․, Մեխի համար անցքերի տրամագիծ` - 5 մմ․, Խարիսխի անցքի տրամագիծ` - 11 մմ․, Նյութ` - պողպատ"
Կահույքի անկյուն ZUBR 31032-40,70,4,"Չափսեր` - 40 х 40 х 17 х 1.5 մմ․, Նյութ` - պողպատ"
Կահույքի անկյուն ZUBR 310206-060-060,300,110,"Չափսեր` - 60 х 60 х 60 մմ․, Նյութ` - պողպատ"
Կահույքի անկյուն ZUBR 310116-55-070,490,116,"Չափսեր` - 55х70х70 մմ․, Մեխի համար անցքերի տրամագիծ` - 5 մմ․, Խարիսխի անցքի տրամագիծ` - 11 մմ․, Նյութ` - պողպատ"
Կահույքի անկյուն ZUBR 310206-040-080,300,94,"Չափսեր` - 40х80х80 մմ․, Նյութ` - պողպատ"
Կահույքի անկյուն ZUBR 310226-040-080,300,96,"Չափսեր` - 40х80х40 մմ․, Նյութ` - պողպատ"
Կահույքի անկյուն ZUBR 310206-040-060,250,165,"Չափսեր` - 40х60х60 մմ․, Նյութ` - պողպատ"
Կահույքի անկյուն ZUBR 310226-040-060,250,139,"Չափսեր` - 40 х 60 х 40 մմ․, Նյութ` - պողպատ"
Կահույքի անկյուն ZUBR 310126-35-050,150,178,"Չափսեր` - 35 х 50 х 50 մմ․, Մեխի համար անցքերի տրամագիծ` - 5 մմ․, Խարիսխի անցքի տրամագիծ` - 9 մմ․, Նյութ` - պողպատ"
Կահույքի անկյուն ZUBR 310116-35-050,160,142,"Չափսեր` - 35х50х50 մմ․, Մեխի համար անցքերի տրամագիծ` - 5 մմ․, Խարիսխի անցքի տրամագիծ` - 9 մմ․, Նյութ` - պողպատ"
