Product Name,Price,Quantity Available,Specifications
Թել պատշարի 2.5մմ-300մ VOREL 69609,1350,5,"Երկարություն` - 300 մ․, Տրամագիծ` - 2,5 մմ․"
Էլեմենտ 1.5V AA YATO YT-89950,650,17,"Նոմինալ լարում` - 1,5 Վ․, Նոմինալ հզորություն` - 2600 մԱ/Ժ, Քանակ` - 4 հատ"
Էլեմենտ 1.5V AAA YATO YT-89940,600,37,"Նոմինալ լարում` - 1,5 Վ․, Նոմինալ հզորություն` - 1150 մԱ/ժ․, Քանակ` - 4 հատ"
Աղբի տոպրակ կապիչով 65*70/60լ UNIPACK A35,650,4,"Չափսեր` - 65х70 սմ․, Տարողունակություն` - 60 լ․, Գույն` - դեղին, Քանակ` - 15 հատ"
Աղբի տոպրակ 160լ/10 110*85 UNIPACK A24,600,23,"Չափսեր` - 110x85 սմ․, Տարողունակություն` - 160 լ․, Քանակ` - 10 հատ"
Կտոր հատակի մաքրման 100*50 UNIPACK T8,650,10,Չափսեր` - 50x100 սմ․
Աղբի տոպրակ կապիչով 65*70/60լ UNIPACK A33,1300,15,"Չափսեր` - 65x70 սմ․, Տարողունակություն` - 60 լ․, Քանակ` - 40 հատ"
Աղբի տոպրակ կապիչով 55*60/40լ UNIPACK A34,600,2,"Չափսեր` - 55*60 սմ․, Տարողունակություն` - 40 լ․, Քանակ` - 15 հատ"
Աղբի տոպրակ կապիչով 55*60/40լ UNIPACK A32,1250,13,"Չափսեր` - 55x60 սմ․, Տարողունակություն` - 40 լ․, Քանակ` - 40 հատ"
Բագաժի ռեզին ցանց 70х90սմ ZUBR 40504,4700,2,Չափսեր` - 70 х 90 սմ․
Թել շողուլի 6մմ-20մ ZUBR 50321-06-020,1600,4,"Հաստություն` - 6 մմ․, Երկարություն` - 20 մ."
Թել շողուլի 5մմ-20մ ZUBR 50321-05-020,1300,5,"Հաստություն` - 5 մմ., Երկարություն` - 20 մ."
Թել շողուլի սև 4մմ-20մ ZUBR 50321-04-020,750,5,"Հաստություն` - 4 մմ., Երկարություն` - 20 մ."
Լվացքի ճոպան 4մմ-200մ ZUBR 4-304120-03-04,250,15.1,"Ճոպանի տրամագիծ` - 3 մմ., Ճոպանի տրամագիծը ծածկույթով` - 4 մմ․, Երկարություն` - 200 մ․"
Թել շողուլի սև 3մմ-20մ ZUBR 50311-03-020,800,6,"Երկարություն` - 20 մ., Հաստություն` - 3 մմ․"
Պարան տնտեսական 9մմ-25մ SIBIN 50269,1500,6,"Հաստություն` - 9 մմ․, Երկարություն` - 25 մ․, Հումք` - պոլիեսթեր, Գույն` - սպիտակ"
Պարան տնտեսական 6մմ-25մ SIBIN 50266,470,10,"Հաստություն` - 6 մմ․, Երկարություն` - 25 մ․, Հումք` - պոլիեսթեր, Գույն` - սպիտակ"
Թել կապրոնից 4մմ-20մ ZUBR 50210-04,2500,6,"Տրամագիծ` - 4 մմ., Երկարություն` - 20 մ."
Թել կապրոնից 3մմ-20մ ZUBR 50210-03,1700,5,"Տրամագիծ` - 3 մմ., Երկարություն` - 20 մ."
Մկրատ ZUBR 40442-24,2450,1,Երկարություն` - 230 մմ.
Մկրատ ZUBR 40442-21,1950,2,Երկարություն` - 200 մմ.
Թել շողուլի 3մմ-20մ SIBIN 50223,300,10,"Երկարություն` - 20 մ., Հաստություն` - 3 մմ․, Գույն` - սպիտակ"
Լվացքի տրոս փակ 4մմ-100մ STAYER 30410-40,150,248.5,"Տրամագիծ` - 4 մմ., Ընդհանուր երկարություն` - 100 մ․"
Տռոս լվացքի փակ 3մմ-200մ STAYER 30410-30,110,215.9,"Տրամագիծ` - 3 մմ., Ընդհանուր երկարություն` - 200 մ․"
Թել շողուլի 3.1մմ-20մ ZUBR 50203,850,8,"Երկարություն` - 20 մ., Հաստություն` - 3,1 մմ"
"Ուղեբեռի ժապավեն պրյաշկայով 2,5 մ VOREL 82331",1450,7,"Երկարություն` - 2,5 մ․, Լայնություն` - 25 մմ․, Քանակ` - 2 հատ"
Պարան-ռեզին սարդ կեռիկով STAYER 40510-z01,1700,5,"Երկարություն` - 800 մմ․, Տրամագիծ` - 7 մմ․, Կեռիկների քանակ` - 8"
Մկրատ STAYER 40465-13,1200,3,Երկարություն` - 135 մմ․
Մկրատ STAYER 40465-18,1150,2,Երկարություն` - 175 մմ․
Մկրատ STAYER 40466-19,1500,2,Երկարություն` - 195 մմ․
Մկրատ STAYER 40466-21,1650,3,Երկարություն` - 215 մմ.
Մկրատ STAYER 40466-24,2200,2,Երկարություն` - 245 մմ․
Քեչա կահույքի d=10mm STAYER 40910-10,250,4,"Տրամագիծ` - 10 մմ., Քանակ` - 32 կտոր"
Քեչա կահույքի հավաքածու STAYER 40916-H125,1200,2,"Քանակ` - 125 կտոր, Գույն` - շականակագույն"
Քեչա կահույքի հավաքածու STAYER 40916-H175,1480,1,"Քանակ` - 175 կտոր, Գույն` - շականակագույն"
Քեչա կահույքի հավաքածու STAYER 40916-H98,1750,2,"Քանակ` - 98 կտոր, Գույն` - շականակագույն"
Քեչա կահույքի հավաքածու STAYER 40917-H125,1150,2,"Քանակ` - 125 կտոր, Գույն` - սպիտակ"
Քեչա կահույքի հավաքածու STAYER 40917-H175,1650,2,"Քանակ` - 175 կտոր, Գույն` - սպիտակ"
"Տռոս իզալյացիայով 2,5մմ-200մ STAYER 30410-25 (մետրով)",100,193.2,"Տրամագիծ` - 2,5 մմ․, Ընդհանուր երկարություն` - 200 մ․"
Տռոս լվացքի փակ 6մմ-150մ STAYER 30410-60,350,95.8,"Տրամագիծ` - 6 մմ․, Երկարություն` - 150 մ․"
Տռոս լվացքի փակ 5մմ-100մ STAYER 30410-50,150,182.5,"Տրամագիծ` - 5 մմ․, Երկարություն` - 100 մ․"
Խոզանակ տնտեսական DEXX 39124,1100,1,
Աղբի տոպրակ 240լ-10հ Standart PM2410S,2700,1,"Քանակ` - 10 հատ, Ծավալ` - 240 լ․, Ծանրաբեռնվածության քաշ` - 25-30 կգ․"
Աղբի տոպրակ 120լ-30հ Econom PM1230E,2900,1,"Քանակ` - 30 հատ, Ծավալ` - 120 լ․"
Պարկ 55x95 STB008P կանաչ 0801920,100,924,"Երկարություն` - 95 սմ․, Լայնություն` - 55 սմ․, Գույն` - կանաչ, Հումք` - վերամշակված պոլիպրոպիլեն, Ծանրաբեռնվածության քաշ` - մինչև 50 կգ․"
Աղբի տոպրակ 60լ-30հ PRO963C,450,1,"Քանակ` - 30 հատ, Ծավալ` - 60 լ․"
Բագաժի ռեզին ճռիկով VOREL 82351,1990,2,"Երկարություն` - 5 մ․, Հաստություն` - 25 մմ․"
Բագաժի ռեզին 100 սմ VOREL 82370,1300,5,"Երկարություն` - 100 սմ, Քանակ` - 2 հատ"
Քեչա կահույքի ոտքերի համար՝ մեխով 28 մմ VOREL 74923,650,11,"Չափսեր` - 28 մմ., Քանակ` - 8 հատ"
Քեչա կահույքի ոտքերի համար՝ մեխով 24 մմ VOREL 74922,650,13,"Չափս` - 24 մմ., Քանակ` - 12 հատ"
Քեչա կարիչնիվի կահույքի ոտքերի համար 100x120 մմ VOREL 74869,300,9,"Չափսեր` - 100 x 120 մմ, Քանակ` - 1 հատ"
Քեչա կահույքի ոտքերի համար 28x28 մմ VOREL 74863,250,7,"Չափսեր` - 28 x 28 մմ, Քանակ` - 12 հատ"
Քեչա կահույքի ոտքերի համար 20x20 մմ VOREL 74861,250,4,"Չափսեր` - 20 x 20 մմ, Քանակ` - 20 հատ"
Քեչա կահույքի ոտքերի համար 20 և 38 մմ VOREL 74858,250,5,"Չափսեր` - 20 և 38 մմ, Քանակ` - 12 հատ"
Քեչա կահույքի ոտքերի համար 50 մմ VOREL 74856,250,13,"Չափս` - 50 մմ., Քանակ` - 2 հատ"
Քեչա կահույքի ոտքերի համար 40 մմ VOREL 74855,250,4,"Չափս` - 40 մմ., Քանակ` - 4 հատ"
Քեչա կահույքի ոտքերի համար 28 մմ VOREL 74853,250,13,"Չափս` - 28 մմ., Քանակ` - 12 հատ"
Քեչա կահույքի ոտքերի համար 20 մմ VOREL 74851,250,7,"Չափս` - 20 մմ., Քանակ` - 20 հատ"
Քեչա կահույքի 100x120 մմ VOREL 74828,250,14,Չափսեր` - 100 x 120 մմ
Քեչա կահույքի 100x120մմ VOREL 74812,250,9,Չափսեր` - 100 х 120 մմ
Օդորակիչի մաքրող միջոց KUDO KU-H402,1550,3,Ծավալ` - 400 մլ․
Ծամոնի հետքերի մաքրող միջոց KUDO KU-H407,1700,3,Ծավալ` - 210 մլ․
Փչովի հեղուկ ջրապաշտպան կաշվի և տեքստիլի KUDO KU-H430,1500,4,"Ծավալ` - 400 մլ․ / ≈ 2 մ², Ամբողջական չորացում` - 10-20 րոպե"
Շողուլ 400գ BERENT BT4028,4200,2,
Շողուլի 300գ BERENT BT4027,3250,3,
Բագաժի ռեզին 80սմ VOREL 82308,800,3,"Երկարություն` - 80 սմ․, Քանակ` - 2 հատ"
Բագաժի ռեզին 200սմ VOREL 82320,1400,3,"Երկարություն` - 200 սմ․, Քանակ` - 2 հատ"
Բագաժի ռեզին 60սմ VOREL 82305,1950,4,Երկարություն` - 60 սմ.
Բագաժի ռեզին սարդ VOREL 82300,700,4,Չափսեր` - 80 սմ x 8 մմ - 8 կեռիկով
Բագաժի ռեզին 150սմ VOREL 82315,1100,5,"Երկարություն` - 150 սմ․, Քանակ` - 2 հատ"
"Թել՝ պատշարի, VOREL 69608",950,4,"Երկարություն` - 200 մ., Հաստություն` - 2.5 մմ."
Մկրատ 245մմ YATO YT-19766,1200,2,"Երկարություն` - 245 մմ․, Բրենդ` - YATO"
"Մաքրող մածուկ միներալ՝ 250 մլ, FROSCH",800,2,
"Մաքրող մածուկ լավանդա՝ 500 մլ, FROSCH",950,2,
"Պարկետի խնամքի միջոց 1լ, EMSAL",2950,1,
"Հատակի ունիվերսալ խնամքի միջոց 1լ, EMSAL",2950,1,
"Կահույքի պոլիշ 250մլ, EMSAL",1400,2,
"Լամինատի խնամքի միջոց 1լ, EMSAL",2900,4,
"Կրոտ՝ 60գր․, RORAX",700,12,
Տնտեսական մկրատ BERENT BT6093,1300,1,Երկարություն` - 265 մմ․
Տնտեսական մկրատ BERENT BT6097,4400,1,Երկարություն` - 225 մմ․
Տնտեսական մկրատ BERENT BT6092,1650,3,Երկարություն` - 215 մմ․
Տնտեսական մկրատ BERENT BT6096,3400,2,Երկարություն` - 200 մմ․
Տնտեսական մկրատ BERENT BT6091,1200,4,Երկարություն` - 195 մմ․
"Ճոպան՝ լվացքի համար, STAYER 550145-4",2550,1,"Երկարություն` - 20 մ․, Տրամագիծ` - 4 մմ․"
"Ճոպան՝ լվացքի համար, STAYER 50145-3",1600,3,"Երկարություն` - 20 մ․, Տրամագիծ` - 3 մմ․"
"Ճոպան՝ լվացքի համար, STAYER 50145-2",800,3,"Երկարություն` - 20 մ․, Տրամագիծ` - 2 մմ․"
"Ճոպան՝ լվացքի համար, STAYER 50145-2,5",990,2,"Երկարություն` - 20 մ․, Տրամագիծ` - 2,5 մմ․, Քաշ` - 240 գր․"
"Պարան-ռեզին՝ կեռիկով, STAYER 40505-80",1100,9,"Երկարություն` - 80 սմ․, Հաստություն` - 8 մմ."
"Պարան-ռեզին՝ կեռիկով, STAYER 40505-60",1100,3,"Երկարություն` - 60 սմ․, Հաստություն` - 8 մմ."
"Պարան-ռեզին՝ կեռիկով, STAYER 40505-120",1990,6,"Երկարություն` - 120 սմ․, Հաստություն` - 8 մմ."
"Պարան-ռեզին՝ կեռիկով, STAYER 40505-100",1550,5,"Երկարություն` - 100 սմ․, Հաստություն` - 8 մմ."
"Պատշարի թել, SIBIN 50527",350,5,"Երկարություն` - 50 մ․, Հաստություն` - 2 մմ․"
"Պատշարի թել, SIBIN 50529",350,3,"Երկարություն` - 50 մ․, Տրամագիծ` - 2 մմ․, Գույն` - սպիտակ"
Թել շողուլի SIBIN 50264,350,35,"Երկարություն` - 25 մ․, Հաստություն` - 4 մմ․, Գույն` - սպիտակ"
Թել շողուլի SIBIN 50265,350,28,"Երկարություն` - 25 մ․, Հաստություն` - 5 մմ․, Գույն` - սպիտակ"
"Թել՝ շողուլի, SIBIN 50263",250,94,"Երկարություն` - 25 մ․, Հաստություն` - 3 մմ․"
Թել շողուլի SIBIN 50254,400,6,"Երկարություն` - 20 մ․, Հաստություն` - 4 մմ․, Գույն` - սպիտակ"
"Թել՝ շողուլի, STAYER 50415-03-020",650,6,"Երկարություն` - 20 մ․, Հաստություն` - 3 մմ․"
"Թել՝ շողուլի, STAYER 50412-03-020",650,1,"Երկարություն` - 20 մ․, Հաստություն` - 3 մմ․"
"Թել՝ շողուլի, STAYER 50414-03-020",650,5,"Երկարություն` - 20 մ․, Հաստություն` - 3 մմ․"
"Թել՝ շողուլի, ZUBR 50350-02-020",700,1,"Երկարություն` - 20 մ․, Հաստություն` - 4 մմ․"
Թել շողուլի STAYER 50410-04-020,650,8,"Երկարություն` - 20 մ․, Տրամիգիծ` - 4 մմ․"
Թել շողուլի STAYER 50410-02-020,500,2,"Երկարություն` - 20 մ․, Տրամիգիծ` - 2 մմ․"
"Թել՝ պատշարի, STAYER 50120-060",1150,6,Երկարություն` - 60 մ․
"Թել՝ կանեփի, STAYER 50110-060",600,5,Երկարություն` - 60 մ․
"Թել՝ կանեփի, ZUBR 50105-060",1150,6,Երկարություն` - 60 մ․
"Մաքրող նյութ՝ ցեմենտի համար, GLUTOCLEAN 379R",4500,1,Ծավալ` - 1 լ
"Մաքրող նյութ՝ ներժի համար, GLUTOCLEAN 367R",5900,2,Ծավալ` - 500 մլ․
"Մաքրող նյութ՝ մամուռի համար, GLUTOCLEAN 477R",4500,1,Ծավալ` - 750 մլ․
"Մաքրող նյութ՝ բորբոսի դեմ, առանց քլոր, GLUTOCLEAN 304R",4500,3,Ծավալ` - 750 մլ․
"Մաքրող նյութ՝ բնական կաշվի համար, GLUTOCLEAN 301R",5700,2,Ծավալ` - 750 մլ․
"Մաքրող նյութ՝ արհետսական կաշվի համար, GLUTOCLEAN 304R",5500,3,Ծավալ` - 750 մլ․
"Մաքրող նյութ՝ ապակու և հայելու համար, GLUTOCLEAN 304R",4900,1,Ծավալ` - 750 մլ․
Մկրատ- ZUBR 40481-29,1950,2,Երկարություն` - 290 մմ․
Մկրատ ZUBR 40442-19,2100,1,Երկարություն` - 190 մմ․
Մկրատ ZUBR 40441-17,1750,2,Երկարություն` - 175 մմ․
Մկրատ ZUBR 40441-13,1450,3,Երկարություն` - 135 մմ․
Մկրատ սղոց BERENT BT6098,1000,3,
