Product Name,Price,Quantity Available,Specifications
Կողպեկ կախովի երկար ձողով 40*105մմ VOREL 77700,850,6,"Չափսեր` - 40x105 մմ., Քաշ` - 55 գ․, Հումք` - արույր, Բանալիների քանակ` - 3 հատ"
Կողպեք ճոպանով բանալիով 950մմ ZUBR 37261-95,2350,2,"Ճոպանի տրամագիծ` - 10 մմ., Ճոպանի երկարություն` - 950 մմ․, Բանալիների քանակ` - 3 հատ"
Կողպեք ճոպանով բանալիով 120մմ ZUBR 37261-120,2200,3,"Ճոպանի տրամագիծ` - 10 մմ․, Ճոպանի երկարություն` - 1200 մմ․, Բանալիների քանակ` - 3 հատ"
Փականք ճոպանով 1000մմ ZUBR 37260-100,3450,2,"Երկարություն` - 1000 մմ․, Ճոպանի նյութ` - պողպատ, Ճոպանի հաստություն` - 18 մմ․"
Փականք ճոպանով 950մմ ZUBR 37269-95,1450,2,"Երկարություն` - 950 մմ․, Ճոպանի նյութ` - պողպատ, Ճոպանի հաստություն` - 6 մմ․"
Փականք ճոպանով 650մմ ZUBR 37269-65,1250,6,"Երկարություն` - 650 մմ․, Ճոպանի տրամագիծ` - 6 մմ., Ճոպանի նյութը` - պողպատ, Բանալիների քանակ` - 2"
Հակասառեցման միջոց կողպեքի սիլիկոնային KUDO KU-H440,450,4,Ծավալ` - 60 մլ․
Փականք ճոպանով կոդով ZUBR 37262-65,4650,5,"Տրամագիծ` - 10 մմ., Երկարություն` - 65 սմ․, Ճոպանի նյութը` - պողպատ"
"Փականք՝ ճոպանով,կոդով, ZUBR 37267-65",1650,1,"Երկարություն` - 65 սմ․, Ճոպանի նյութը` - պողպատ"
"Փականք՝ ճոպանով, ZUBR 37262-95",3850,3,"Երկարություն` - 95 սմ․, Ճոպանի նյութը` - պողպատ, Ճոպանի հաստություն` - 10 մմ․"
"Փականք՝ ճոպանով, ZUBR 37261-65",2400,3,"Երկարություն` - 650 մմ․, Ճոպանի նյութը` - պողպատ"
Կողպեք կախովի նիկել երկար ձողով N60մմ BERENT BT3275,2200,7,
Կողպեք կախովի նիկել երկար ձողով N50մմ BERENT BT3274,1950,8,
Կողպեք կախովի նիկել երկար ձողով N40մմ BERENT BT3273,1350,2,
Կողպեք կախովի նիկել երկար ձողով N30մմ BERENT BT3272,850,2,
Կողպեք կախովի նիկել N60մմ BERENT BT3270,1800,4,
Կողպեք կախովի նիկել N50մմ BERENT BT3269,1650,4,
Կողպեք կախովի նիկել N40մմ BERENT BT3268,1250,3,
Կողպեք կախովի նիկել N30մմ BERENT BT3267,850,7,
Կողպեք կախովի N63մմ BERENT BT3265,1700,7,
Կողպեք կախովի N50մմ BERENT BT3264,1150,3,
Կողպեք կախովի N38մմ BERENT BT3263,900,3,
Կողպեք կախովի N32մմ BERENT BT3262,750,7,
Կողպեք կախովի N25մմ BERENT BT3261,500,8,
