Product Name,Price,Quantity Available,Specifications
Հատակ մաքրիչի գլխադիր նասատկա քեչա LUND 67165,750,2,"Չափսեր` - 410x130 մմ․, Տեսակ` - միակողմանի, Հումք` - միկրոֆիբրա"
Հատակ մաքրիչ LUND 67160,5500,2,"Երկարություն` - 118 սմ․, Գլխադիրի չափս` - 410x130 մմ․, Գլխադիրի տեսակ` - միակողմանի, Գլխադիրի հումք` - միկրոֆիբրա, Ձողի հումք` - ալյումին, Ձողի տրամագիծ` - 22 մմ․, Կոնտեյների տարողություն` - 350 մլ․, Ծալվող` - այո, Շարժական գլխադիր` - այո"
Օդանցքի ցանց 440x440 4444RC,3500,2,"Չափսեր` - 440 x 440 մմ․, Խորություն` - 19 մմ․, Գույն` - սպիտակ, Հումք` - պլաստիկ"
Օդանցքի ցանց 340x340 3434RC,2100,4,"Չափսեր` - 340 x 340 մմ․, Խորություն` - 17 մմ․, Գույն` - սպիտակ, Հումք` - պլաստիկ"
Օդանցքի ցանց 250x250 2525RC,1350,18,"Չափսեր` - 250 x 250 մմ․, Խորություն` - 16 մմ․, Գույն` - սպիտակ, Հումք` - պլաստիկ"
Օդանցքի ցանց 200x300 2030RC,1150,10,"Չափսեր` - 200 x 300 մմ․, Խորություն` - 16 մմ․, Գույն` - սպիտակ, Հումք` - պլաստիկ"
Օդանցքի ցանց 200x200 2020RC,700,7,"Չափսեր` - 200 x 200 մմ․, Խորություն` - 16 մմ․, Գույն` - սպիտակ, Հումք` - պլաստիկ"
Օդանցքի ցանց 180x250 1825RC,750,12,"Չափսեր` - 180 x 250 մմ․, Խորություն` - 14 մմ., Գույն` - սպիտակ, Հումք` - պլաստիկ"
Օդանցքի ցանց 150x150 1515RC,650,11,"Չափսեր` - 150 x 150 մմ․, Խորություն` - 11 մմ․, Գույն` - սպիտակ, Հումք` - պլաստիկ"
Օդանցքի ցանց 450x131 4513DP,2950,2,"Չափսեր` - 450 x 131 մմ․, Խորություն` - 35 մմ․, Գույն` - սպիտակ, Հումք` - պլաստիկ"
Օդանցքի ցանց 450x91 4409DP,2550,3,"Չափսեր` - 450 x 91 մմ․, Խորություն` - 35 մմ․, Գույն` - սպիտակ, Հումք` - պլաստիկ"
