Product Name,Price,Quantity Available,Specifications
Ժանգ հանող KUDO KU-70005-12,850,2,"Աշխատանքային ջերմաստիճանի միջակայք` - 10 - 30 °C, Ծավալ` - 15 մլ."
Ժանգ հանող խոզանակ BERETN BT3168,990,6,Չափսեր` - 6*15 շարք
Ժանգ հանող խոզանակ BERETN BT3166,990,7,Չափսեր` - 4*15 շարք
Ժանգ հանող խոզանակ BERETN BT3165,990,4,Չափս` - 3*15 շարք
Ժանգ հանող խոզանակ 3կտոր YATO YT-6351,1200,3,Բրենդ` - YATO
Ժանգ հանող խոզանակ՝ պլաստմասսա,350,2,
Գայլիկոնիչի փուշ խողովակի 3կտ /H/,600,2,
"Ժանգ մաքրող խոզանակների հավաքածու, YATO YT-47593",2700,2,"Քանակ` - 6 կտոր, Տեսակ` - տափակ, օվալ, Տրամագիծ` - 37 մմ․ (2 հատ), 50 մմ․, 62 մմ․ (2 հատ), 75 մմ․"
"Ժանգ մաքրող խոզանակ՝ փափուկ, YATO YT-4757",800,2,"Տրամագիծ` - 100 մմ․, Տեսակ` - փափուկ, Քաշ` - 152 գր․"
Ժանգ մաքրող խոզանակ YATO YT-7791,1400,2,"Տրամագիծ` - 75 մմ․, Նյութ` - պլաստմասսա"
Ժանգ մաքրող խոզանակ YATO YT-47782,1600,2,"Տրամագիծ` - 75 մմ․, Տեսակ` - պլաստմասսա"
Ժանգ մաքրող խոզանակ YATO YT-47780,1150,2,"Տրամագիծ` - 25 մմ․, Տեսակ` - պլաստմասսա"
Ժանգ մաքրող խոզանակ YATO YT-4759,1250,2,"Տրամագիծ` - 75 մմ․, Քաշ` - 140 գր․, Տեսակ` - շատ կոշտ"
"Ժանգ մաքրող խոզանակ՝ խողովակի համար, YATO YT-47497",750,2,Տրամագիծ` - 50 մմ․
Ժանգ մաքրող խոզանակ YATO YT-47511,1850,3,Տրամագիծ` - 100 մմ․
Անկյունահղկիչ մեքենայի ժանգ մաքրող խոզանակ YATO YT-4764,3100,3,"Խոզանակի տրամագիծ` - 125 մմ․, Քաշ` - 385 գր․"
Անկյունահղկիչ մեքենայի ժանգ մաքրող խոզանակ YATO YT-47658,1300,3,"Խոզանակի տրամագիծ` - 65 մմ․, Պտույտների հաճախականոււթյուն` - 12500 պտ․/րոպե"
Անկյունահղկիչի խոզանակ STAYER 35128-080,2650,3,"Տրամագիծ` - 80 մմ․, Տեսակ` - կոշտ"
Անկյունահղկիչի խոզանակ STAYER 35133-115,3200,1,"Տրամագիծ` - 115 մմ․, Տեսակ` - տափակ"
Անկյունահղկիչ մեքենայի ժանգ մաքրող խոզանակ YT-4769,3990,4,"Տրամագիծ` - 100 մմ․, Քաշ` - 1,1 կգ․, Տեսակ` - կոշտ"
Ժանգ մաքրող խոզանակ YATO YT-6354,650,4,"Երկարություն` - 270 մմ., Շարքերի քանակ` - 4, Բռնակի նյութ` - պլաստմասսա"
Ժանգ մաքրող խոզանակ YATO YT-6356,700,5,"Երկարություն` - 270 մմ., Շարքերի քանակ` - 6, Բռնակի նյութ` - պլաստմասսա"
Ժանգ մաքրող խոզանակ YATO YT-6355,700,4,"Երկարություն` - 270 մմ․, Շարքերի քանակ` - 5, Բռնակի նյութ` - պլաստմասսա"
Ժանգ մաքրող խոզանակ YATO YT-6353,700,4,"Երկարություն` - 240 մմ․, Շարքերի քանակ` - 3, Բռնակի նյութ` - պլաստմասսա"
ժանգ հանող հեղուկ WD-40 400մլ,5500,3,Ծավալ` - 400 մլ
