Product Name,Price,Quantity Available,Specifications
Ծեփամածիկ փայտի FARBITEX PROFI պոպոք 0.25մլ 43-4766,800,5,"Ծավալ` - 0,25 մլ․, Գույն` - պոպոք"
Ծեփամածիկ փայտի FARBITEX PROFI սպիտակ 0.8մլ 43-6047,1300,6,"Ծավալ` - 0,8 մլ․, Գույն` - սպիտակ"
Ծեփամածիկ փայտի FARBITEX PROFI սպիտակ 0.25մլ 43-4761,800,7,"Ծավալ` - 0,25 մլ․, Գույն` - սպիտակ"
Ծեփամածիկ փայտի FARBITEX PROFI մախագոն 0.25մլ 43-4765,800,4,"Ծավալ` - 0,25 մլ․, Գույն` - մախագոն"
Ծեփամածիկ փայտի FARBITEX PROFI դուբ 0.8մլ 43-6050,1300,5,"Ծավալ` - 0,8 մլ․, Գույն` - դուբ"
Ծեփամածիկ փայտի FARBITEX PROFI դուբ 0.25մլ 43-4764,800,3,"Ծավալ` - 0,25 մլ․, Գույն` - դուբ"
Ծեփամածիկ փայտի FARBITEX PROFI բուկ 0.8մլ 43-6049,1300,3,"Ծավալ` - 0,8 մլ․, Գույն` - բուկ"
Ծեփամածիկ փայտի FARBITEX PROFI բուկ 0.25մլ 43-4763,800,5,"Ծավալ` - 0,25 մլ․, Գույն` - բուկ"
Ծեփամածիկ փայտի FARBITEX PROFI բերյոզա 0.25մլ 43-4762,800,5,"Ծավալ` - 0,25 մլ․, Գույն` - բերյոզա"
Ծեփամածիկ փայտի FARBITEX PROFI սոճի 0.25մլ 43-4767,800,3,"Ծավալ` - 0,25 մլ, Գույն` - սոճի"
Սալիկի սոսինձ Շեն T3 ECO 25կգ,2200,50,Քաշ` - 25 կգ․
Սալիկի սոսինձ K80 25կգ LITOFLEX GREY,6900,49,"Քաշ` - 25 կգ․, Գույն` - մոխրագույն, Աշխատանքային ջերմաստիճան` - +5°C - +35°C"
Սալիկի սոսինձ K18 25կգ,5700,45,"Քաշ` - 25 կգ․, Գույն` - սպիտակ, Աշխատանքային ջերմաստիճան` - +5°C - +35°C"
Սալիկի սոսինձ K17 25կգ,4400,44,"Քաշ` - 25 կգ․, Գույն` - մոխրագույն, Աշխատանքային ջերմաստիճան` - +5°C - +35°C"
Սալիկի սոսինձ 25կգ Շեն T1,4400,79,Քաշ` - 25 կգ․
Սալիկի սոսինձ 25կգ BENZER N9 K33 ՇԵՆ,1600,116,"Քաշ` - 25 կգ․, Գույն` - մոխրագույն"
Զատիրկա 1կգ CERESIT ձիթապտղի գույն,2200,5,"Մածուկի պատրաստման ջրի քանակ` - 0,32–0,33 լ․ (1 կգ զատիրկայի համար), Կիրառման ջերմաստիճան` - +5-ից +30°C, Կծկման դեֆորմացիա` - մինչև 2,5 մմ/մ․, Աշխատանքային ջերմաստիճան` - -50-ից +70°C, Քաշ` - 1 կգ․"
Զատիրկա 1կգ CERESIT վարդագույն,1600,6,"Մածուկի պատրաստման ջրի քանակ` - 0,32–0,33 լ․ (1 կգ զատիրկայի համար), Կիրառման ջերմաստիճան` - +5-ից +30°C, Կծկման դեֆորմացիա` - մինչև 2,5 մմ/մ․, Աշխատանքային ջերմաստիճան` - -50-ից +70°C, Քաշ` - 1 կգ․"
Զատիրկա 2կգ CERESIT սիյենա,2900,5,"Մածուկի պատրաստման ջրի քանակ` - 0,32–0,33 լ․ (1 կգ զատիրկայի համար), Կիրառման ջերմաստիճան` - +5-ից +30°C, Կծկման դեֆորմացիա` - մինչև 2,5 մմ/մ․, Աշխատանքային ջերմաստիճան` - -50-ից +70°C, Քաշ` - 2 կգ․"
Զատիրկա 1կգ CERESIT սիենա,1600,10,"Մածուկի պատրաստման ջրի քանակ` - 0,32–0,33 լ․ (1 կգ զատիրկայի համար), Կիրառման ջերմաստիճան` - +5-ից +30°C, Կծկման դեֆորմացիա` - մինչև 2,5 մմ/մ․, Աշխատանքային ջերմաստիճան` - -50-ից +70°C, Քաշ` - 1 կգ․"
Զատիրկա 2կգ CERESIT արծաթամոխրագույն,2800,9,"Մածուկի պատրաստման ջրի քանակ` - 0,32–0,33 լ․ (1 կգ զատիրկայի համար), Կիրառման ջերմաստիճան` - +5-ից +30°C, Կծկման դեֆորմացիա` - մինչև 2,5 մմ/մ․, Աշխատանքային ջերմաստիճան` - -50-ից +70°C, Քաշ` - 2 կգ․"
Զատիրկա 1կգ CERESIT արծաթամոխրագույն,1500,24,"Մածուկի պատրաստման ջրի քանակ` - 0,32–0,33 լ․ (1 կգ զատիրկայի համար), Կիրառման ջերմաստիճան` - +5-ից +30°C, Կծկման դեֆորմացիա` - մինչև 2,5 մմ/մ․, Աշխատանքային ջերմաստիճան` - -50-ից +70°C, Քաշ` - 1 կգ․"
Զատիրկա 2կգ CERESIT մոխրագույն,2800,9,"Մածուկի պատրաստման ջրի քանակ` - 0,32–0,33 լ․ (1 կգ զատիրկայի համար), Կիրառման ջերմաստիճան` - +5-ից +30°C, Կծկման դեֆորմացիա` - մինչև 2,5 մմ/մ․, Աշխատանքային ջերմաստիճան` - -50-ից +70°C, Քաշ` - 2 կգ․"
Զատիրկա 1կգ CERESIT մոխրագույն,1400,20,"Մածուկի պատրաստման ջրի քանակ` - 0,32–0,33 լ․ (1 կգ զատիրկայի համար), Կիրառման ջերմաստիճան` - +5-ից +30°C, Կծկման դեֆորմացիա` - մինչև 2,5 մմ/մ․, Աշխատանքային ջերմաստիճան` - -50-ից +70°C, Քաշ` - 1 կգ․"
Զատիրկա 1կգ CERESIT ռոսա,1500,5,"Մածուկի պատրաստման ջրի քանակ` - 0,32–0,33 լ․ (1 կգ զատիրկայի համար), Կիրառման ջերմաստիճան` - +5-ից +30°C, Կծկման դեֆորմացիա` - մինչև 2,5 մմ/մ․, Աշխատանքային ջերմաստիճան` - -50-ից +70°C, Քաշ` - 1 կգ"
Զատիրկա 1կգ CERESIT դեղձի գույն,1500,6,"Մածուկի պատրաստման ջրի քանակ` - 0,32–0,33 լ․ (1 կգ զատիրկայի համար), Կիրառման ջերմաստիճան` - +5-ից +30°C, Կծկման դեֆորմացիա` - մինչև 2,5 մմ/մ․, Աշխատանքային ջերմաստիճան` - -50-ից +70°C, Քաշ` - 1 կգ․"
Զատիրկա 2կգ CERESIT նատուրա,2800,5,"Մածուկի պատրաստման ջրի քանակ` - 0,32–0,33 լ․ (1 կգ զատիրկայի համար), Կիրառման ջերմաստիճան` - +5-ից +30°C, Կծկման դեֆորմացիա` - մինչև 2,5 մմ/մ․, Աշխատանքային ջերմաստիճան` - -50-ից +70°C, Քաշ` - 2 կգ․"
Զատիրկա 1կգ CERESIT նատուրա,1500,20,"Մածուկի պատրաստման ջրի քանակ` - 0,32–0,33 լ․ (1 կգ զատիրկայի համար), Կիրառման ջերմաստիճան` - +5-ից +30°C, Կծկման դեֆորմացիա` - մինչև 2,5 մմ/մ․, Աշխատանքային ջերմաստիճան` - -50-ից +70°C, Քաշ` - 1 կգ․"
Զատիրկա 2կգ CERESIT մուգ շականակագույն,2900,12,"Մածուկի պատրաստման ջրի քանակ` - 0,32–0,33 լ․ (1 կգ զատիրկայի համար), Կիրառման ջերմաստիճան` - +5-ից +30°C, Կծկման դեֆորմացիա` - մինչև 2,5 մմ/մ․, Աշխատանքային ջերմաստիճան` - -50-ից +70°C, Քաշ` - 2 կգ․"
Զատիրկա 1կգ CERESIT մուգ շականակագույն,1600,10,"Մածուկի պատրաստման ջրի քանակ` - 0,32–0,33 լ․ (1 կգ զատիրկայի համար), Կիրառման ջերմաստիճան` - +5-ից +30°C, Կծկման դեֆորմացիա` - մինչև 2,5 մմ/մ․, Աշխատանքային ջերմաստիճան` - -50-ից +70°C, Քաշ` - 1 կգ․"
Զատիրկա 1կգ CERESIT անանուխ,1500,4,"Մածուկի պատրաստման ջրի քանակ` - 0,32–0,33 լ․ (1 կգ զատիրկայի համար), Կիրառման ջերմաստիճան` - +5-ից +30°C, Կծկման դեֆորմացիա` - մինչև 2,5 մմ/մ․, Աշխատանքային ջերմաստիճան` - -50-ից +70°C, Քաշ` - 1 կգ․"
