Product Name,Price,Quantity Available,Specifications
Շպրից հեղուկի համար 200մլ YATO YT-07083,3950,1,Տարողություն` - 200 մլ․
Սպրիչ շպակլովկի համար VOREL 04450,4200,1,"Երկարություն` - 660 մմ․, Տրամագիծ` - 60 մմ․, Գլխիկի չափսեր` - 80x20 մմ․, Բռնակի լայնություն` - 140 մմ․"
"Յուղի սպրիչ 0,2լ VOREL 78030",2850,3,"Ծավալ` - 200 սմ³, Շլանգի երկարություն` - 230 սմ"
Պոմպ բաչոկի մետաղական YATO YT-07115,14900,2,"Երկարություն` - 1,28 մ, Արտադրողականություն` - 21 լ/րոպե"
Ցնցուղ յուղի համար գիպկի քթով 5լ YATO YT-06985,5250,1,Ծավալ` - 5 լ․
Սմազկա ալյումինի SD-1.SD-2 MAX,600,2,Ծավալ` - 60 մլ․
Սմազկա A9624 ագդեզիոնի AXIOM,1550,2,Ծավալ` - 210 մլ․
Սմազկա A9623 ալյումինի AXIOM,1750,3,Ծավալ` - 210 մլ․
Քսայուղ PTFE-ով մոտոցիկլետի և հեծանիվի շղթաների KERRY KR936-2,1950,3,Ծավալ` - 210 մլ․
Սմազկա պետլյաների KERRY KR936-1,1500,5,Ծավալ` - 210 մլ․
Սմազկա սիլիկոնային ունիվերսալ KU-H422,1400,3,Ծավալ` - 210 մլ․
Տաուտի սրսկիչ 500գ BERENT BT9080,8750,2,
Տաուտի սպրիչ 400մլ VOREL 78040,3600,2,Տարողունակություն` - 400 մլ․
Սպրիչ շպակլովկի թեք ծայրով VOREL 04452,4550,1,"Երկարություն` - 660 մմ․, Տրամագիծ` - 60 մմ․, Գլխիկի տրամագիծ` - 20 մմ․, Բռնակի լայնություն` - 140 մմ․"
Տաուտի սպրիչ 500գ YATO YT-0704,17900,1,"Ճնշում` - 42-70MPA, Տարողունակություն` - 500մլ, Քաշ` - 2.1kգ, Բրենդ` - YATO"
Յուղի սպրիչ 120cc YATO YT-0701,7800,1,"Երկարություն` - 240մմ, Տարողունակություն` - 120սմ3, Քաշ` - 700գ, Բրենդ` - YATO"
Պոմպ բաչոկի մետաղական YATO YT-0712,11400,2,"Ծավալ` - 0.35լ, Արտադրողականություն` - 16-18լ /րոպեում, Բրենդ` - YATO"
"Տաուտ LITOL 24, 400գր․",2350,4,
Յուղի սպրիչ 500մլ 1 շտուցեր YATO YT-0708,6250,2,
Յուղի սպրիչ 500մլ 2 շտուցեր YATO YT-0707,8500,1,
Տաուտի սպրիչ 800g YATO YT-07043,12000,1,
Տաուտի սպրիչ խողովակ ռետինե 50սմ YATO YT-0710,800,2,
Տաուտի սպրիչ խողովակ ռետինե 30սմ YATO YT-0709,650,4,
Տաուտի սպրիչ օդով 400գ BERENT BT9173,14850,1,
Տաուտի սպրիչ 400գ BERENT BT9023,4700,2,
Յուղի աման մետաղյա BERENT BT9021,990,2,
Յուղի աման պլասմաս BERENT BT9086,900,3,
Յուղի աման 200մլ YATO YT-06912,1250,2,Տարողություն` - 200 մլ․
Յուղի աման 500մլ YATO YT-06914,2500,2,
Յուղի աման սև BERENT BT9085,1700,2,
