Product Name,Price,Quantity Available,Specifications
Փայտե ռեյկա 45*45*2000 մմ,2150,47,"Բարձրություն` - 45 մմ․, Լայնություն` - 45 մմ․, Երկարություն` - 2 մ․"
Փայտե ռեյկա 35*35*2000 մմ,1400,69,"Բարձրություն` - 35 մմ․, Լայնություն` - 35 մմ․, Երկարություն` - 2 մ․"
Փայտե ռեյկա 30*60*2000 մմ,2150,13,"Բարձրություն` - 30 մմ., Լայնություն` - 60 մմ․, Երկարություն` - 2 մ․"
Փայտե ռեյկա 25*40*2000 մմ,1200,42,"Բարձրություն` - 25 մմ., Լայնություն` - 40 մմ․, Երկարություն` - 2 մ․"
Փայտե ռեյկա 25*30*2000 մմ,1000,38,"Բարձրություն` - 25 մմ., Լայնություն` - 30 մմ., Երկարություն` - 2 մ․"
Փայտե ռեյկա 25*25*2000 մմ,700,39,"Բարձրություն` - 25 մմ., Լայնություն` - 25 մմ․, Երկարություն` - 2 մ․"
Փայտե ռեյկա 20*80*2000 մմ,2400,17,"Բարձրություն` - 20 մմ., Լայնություն` - 80 մմ․, Երկարություն` - 2 մ․"
Փայտե ռեյկա 20*70*2000 մմ,2150,6,"Բարձրություն` - 20 մմ., Լայնություն` - 70 մմ․, Երկարություն` - 2 մ․"
Փայտե ռեյկա 20*60*2000 մմ,1800,22,"Բարձրություն` - 20 մմ., Լայնություն` - 60 մմ․, Երկարություն` - 2 մ․"
Փայտե ռեյկա 20*50*2000 մմ,1400,27,"Բարձրություն` - 20 մմ., Լայնություն` - 50 մմ․, Երկարություն` - 2 մ․"
Փայտե ռեյկա 20*100*2000 մմ,2100,32,"Բարձրություն` - 20 մմ., Լայնություն` - 100 մմ., Երկարություն` - 2 մ․"
Փայտե ռեյկա 15*40*2000 մմ,1050,45,"Բարձրություն` - 15 մմ., Լայնություն` - 40 մմ․, Երկարություն` - 2 մ․"
Փայտե ռեյկա 15*30*2000 մմ,850,50,"Բարձրություն` - 15 մմ., Լայնություն` - 30 մմ., Երկարություն` - 2 մ․"
Փայտե ռեյկա 15*20*2000 մմ,650,80,"Բարձրություն` - 15 մմ., Լայնություն` - 20 մմ., Երկարություն` - 2 մ․"
"Փայտե ռեյկա 12,5*12,5*2000 մմ",400,195,"Բարձրություն` - 12,5 մմ․, Լայնություն` - 12,5 մմ․, Երկարություն` - 2 մ․"
Փայտե ռեյկա 10*40*2000 մմ,1000,41,"Բարձրություն` - 10 մմ., Լայնություն` - 40 մմ․, Երկարություն` - 2 մ․"
Փայտե ռեյկա 10*30*2000 մմ,800,57,"Բարձրություն` - 10 մմ., Լայնություն` - 30 մմ., Երկարություն` - 2 մ․"
Փայտե ռեյկա 10*10*2000 մմ,350,156,"Բարձրություն` - 10 մմ., Լայնություն` - 10 մմ․, Երկարություն` - 2 մ․"
Փայտե ռեյկա 50*50*2000 մմ,2750,17,"Բարձրություն` - 50 մմ., Լայնություն` - 50 մմ․, Երկարություն` - 2 մ․"
Փայտե ռեյկա 50*40*2000 մմ,2300,58,"Բարձրություն` - 50 մմ., Լայնություն` - 40 մմ․, Երկարություն` - 2 մ․"
Փայտե ռեյկա 50*30*2000 մմ,2000,23,"Բարձրություն` - 50 մմ., Լայնություն` - 30 մմ., Երկարություն` - 2 մ․"
Փայտե ռեյկա 50*10*2000 մմ,900,35,"Բարձրություն` - 50 մմ., Լայնություն` - 10 մմ․, Երկարություն` - 2 մ․"
Փայտե ռեյկա 40*60*2000 մմ,2750,19,"Բարձրություն` - 40 մմ., Լայնություն` - 60 մմ․, Երկարություն` - 2 մ․"
Փայտե ռեյկա 40*40*2000 մմ,1900,7,"Բարձրություն` - 40 մմ., Լայնություն` - 40 մմ․, Երկարություն` - 2 մ․"
Փայտե ռեյկա 30*40*2000 մմ,1400,27,"Բարձրություն` - 30 մմ., Լայնություն` - 40 մմ․, Երկարություն` - 2 մ․"
Փայտե ռեյկա 30*30*2000 մմ,1200,26,"Բարձրություն` - 30 մմ., Լայնություն` - 30 մմ., Երկարություն` - 2 մ․"
Փայտե ռեյկա 20*40*2000 մմ,1200,39.5,"Բարձրություն` - 20 մմ., Լայնություն` - 40 մմ․, Երկարություն` - 2 մ․"
Փայտե ռեյկա 20*30*2000 մմ,950,40,"Բարձրություն` - 20 մմ., Լայնություն` - 30 մմ., Երկարություն` - 2 մ․"
Փայտե ռեյկա 20*20*2000 մմ,800,29,"Բարձրություն` - 20 մմ., Լայնություն` - 20 մմ., Երկարություն` - 2 մ․"
Փայտե ռեյկա 15*15*2000 մմ,650,180,"Բարձրություն` - 15 մմ․, Լայնություն` - 15 մմ., Երկարություն` - 2 մ․"
Փայտե ռեյկա 10*60*2000 մմ,1500,47,"Բարձրություն` - 10 մմ., Լայնություն` - 60 մմ․, Երկարություն` - 2 մ․"
Փայտե ռեյկա 10*20*2000 մմ,500,133,"Բարձրություն` - 10 մմ., Լայնություն` - 20 մմ., Երկարություն` - 2 մ․"
"Փայտե ռեյկա 0,6*20*2000 մմ",330,74,"Բարձրություն` - 0,6 մմ․, Լայնություն` - 20 մմ., Երկարություն` - 2 մ․"
"Փայտե ռեյկա 0,6*16 *2000 մմ",280,122,"Բարձրություն` - 0,6 մմ․, Լայնություն` - 16 մմ․, Երկարություն` - 2 մ․"
