Product Name,Price,Quantity Available,Specifications
Պտուտակ կլոր գլխով (սամառեզ) 4.2*32,8,752,
Պտուտակ կլոր գլխով (սուր) 4.2x13,10,37084,Չափսեր` - 4.2x13 մմ․
Պտուտակ կլոր գլխով (սուր) 4.2x13,6,1769,Չափսեր` - 4.2x13 մմ․
Պտուտակ կլոր գլխով (սուր) 4.2x25,8,3711,"Չափսեր` - 4,2x25 մմ․"
"Պտուտակ փայտի 3,5*35",5,11530,"Չափսեր` - 3,5*35 մմ․"
"Պտուտակ փայտի 4,8*100",19,1610,"Չափսեր` - 4,8*100 մմ․"
"Պտուտակ փայտի 4,2*70",10,3501,"Չափսեր` - 4,2*70 մմ․"
"Պտուտակ փայտի 3,5*25",5,13621,"Չափսեր` - 3,5*25 մմ․"
"Պտուտակ փայտի 4,2*64",9,1396,"Չափսեր` - 4,2*64 մմ․"
"Պտուտակ փայտի 3,5*51",6,8544,"Չափսեր` - 3,5*51 մմ․"
"Պտուտակ փայտի 3,5*70",6,11250,"Չափսեր` - 3,5*70 մմ․"
Պտուտակ վեցանիստ գլխով 8*60 տրիֆոն,60,2662,Չափսեր` - 8*60 մմ․
Պտուտակ վեցանիստ գլխով 6*50 տրիֆոն,15,1052,Չափսեր` - 6*50 մմ․
Պտուտակ վեցանիստ գլխով 6x100 տրիֆոն,32,612,Չափսեր` - 6x100 մմ․
Պտուտակ թիթեղի մետաղի 5.5*19,14,1648,"Չափսեր` - 5,5*19 մմ․"
Պտուտակ թիթեղի փայտի 4.8*25,13,3973,"Չափսեր` - 4,8*25 մմ․"
Պտուտակ թիթեղի փայտի 4.8*35,15,3598,"Չափսեր` - 4,8*35 մմ․"
Պտուտակ թիթեղի մետաղի 5.5*32,20,4107,"Չափսեր` - 5,5*32 մմ․"
Պտուտակ թիթեղի մետաղի 5.5*64,18,1837,"Չափսեր` - 5,5*64 մմ․"
Պտուտակ թիթեղի մետաղի 6.3*160,130,90,"Չափսեր` - 6,3*160 մմ․"
Պտուտակ թիթեղի փայտի 4.8*51 շականակագույն,22,1710,"Չափսեր` - 4,8*51 մմ․, Գույն` - շականակագույն"
Դյուբել սպիտակ N8,5,5705,Չափս` - N8
Դյուբել սպիտակ N7,5,3934,Չափս` - N7
Դյուբել սպիտակ N6,5,9272,Չափս` - N6
Դյուբել սպիտակ N14,40,1333,Չափս` - N14
Դյուբել սպիտակ N10,8,7690,Չափս` - N10
Հարվածային դյուբել 6*80,20,2049,Չափսեր` - 6*80 մմ․
Հարվածային դյուբել 6*40,8,6131,Չափսեր` - 6*40 մմ․
Հարվածային դյուբել 6*35 KNAUF,27,3365,Չափսեր` - 6*35 մմ․
Հարվածային դյուբել 6*60,12,4801,Չափսեր` - 6*60 մմ․
Հարվածային դյուբել SM-L 8*60 ֆիշեր,20,935,Չափս` - 8*60 մմ․
Պենոպլաստի ամրակ 8.5սմ,20,610,"Չափս` - 8,5 սմ․"
Պենոպլաստի ամրակ 6սմ,15,2265,Չափս` - 6 սմ․
Պենոպլաստի ամրակ 10սմ,20,2688,Չափս` - 10 սմ․
